profile,sigma,R_over_a,T_over_a,Veff,Veff_jackknife_error,plateau_fit_T3_5,plateau_fit_error,Veff_minus_own_plateau,paired_residual_jackknife_error,z2,plateau_p_value,plateau_energy_shift_from_constant,paired_shift_z_from_constant,in_plateau_fit
constant,,1,2,0.48731887893,0.00131744137675,0.481551711859,0.00126554735044,0.00576716707082,0.00207501060232,2.7793434233,0.593235771255,0,0,no
constant,,1,3,0.479992469483,0.00198269116313,0.481551711859,0.00126554735044,-0.00155924237588,0.00152625494337,2.7793434233,0.593235771255,0,0,yes
constant,,1,4,0.483634847815,0.00276551426206,0.481551711859,0.00126554735044,0.00208313595666,0.0024589548669,2.7793434233,0.593235771255,0,0,yes
constant,,1,5,0.482896545827,0.00351395654781,0.481551711859,0.00126554735044,0.00134483396831,0.00327815199826,2.7793434233,0.593235771255,0,0,yes
constant,,2,2,0.712132941223,0.00285018643753,0.696894489623,0.00399781047308,0.0152384516005,0.0052243676804,2.91680305305,0.974754924285,0,0,no
constant,,2,3,0.696815874062,0.00514688523835,0.696894489623,0.00399781047308,-7.8615560778e-05,0.00324159514407,2.91680305305,0.974754924285,0,0,yes
constant,,2,4,0.696374146712,0.00859284309716,0.696894489623,0.00399781047308,-0.000520342910796,0.00760621219227,2.91680305305,0.974754924285,0,0,yes
constant,,2,5,0.700531465353,0.0166039114703,0.696894489623,0.00399781047308,0.00363697573052,0.0161154394149,2.91680305305,0.974754924285,0,0,yes
constant,,3,2,0.849426340112,0.00489570430069,0.834223485916,0.00733927156433,0.0152028541963,0.00970312451036,1.56679986741,0.378350591515,0,0,no
constant,,3,3,0.827263786981,0.00919044507812,0.834223485916,0.00733927156433,-0.00695969893515,0.00553167005875,1.56679986741,0.378350591515,0,0,yes
constant,,3,4,0.853139414682,0.0156877707884,0.834223485916,0.00733927156433,0.0189159287661,0.0138651089146,1.56679986741,0.378350591515,0,0,yes
constant,,3,5,0.832847276196,0.0397323463907,0.834223485916,0.00733927156433,-0.00137620972011,0.0390486163983,1.56679986741,0.378350591515,0,0,yes
constant,,4,2,0.953942828346,0.00759815509211,0.924332431539,0.0113258113532,0.0296103968069,0.0136860241443,2.16354994661,0.776784637668,0,0,no
constant,,4,3,0.920558068343,0.0132008923995,0.924332431539,0.0113258113532,-0.00377436319621,0.00678156009585,2.16354994661,0.776784637668,0,0,yes
constant,,4,4,0.94337653515,0.0295510745711,0.924332431539,0.0113258113532,0.0190441036116,0.0272945416796,2.16354994661,0.776784637668,0,0,yes
