tmin,tmax,npts,corr_ok,V_corr,err_corr_formula,err_corr_jackknife,chi2_corr,dof_corr,chi2_dof_corr,p_value_corr,cov_condition,V_uncorr,err_uncorr,chi2_uncorr,dof_uncorr,chi2_dof_uncorr,p_value_uncorr,rank_score
7,11,5,True,0.47961669506506693,0.0006242367979717261,0.0006242367979717009,2.250122723055731,4,0.5625306807639328,0.6898640818950534,78.339093218177,0.47953464594347817,0.0005222265011105445,1.6759320035027472,4,0.4189830008756868,0.7950848222192362,0.7061146955103321
7,10,4,True,0.4796140245280685,0.0006242561653696841,0.0006242561653697304,1.9551785484148936,3,0.6517261828049645,0.5817614838673255,21.697349494716107,0.4795630697206626,0.0005253910425232007,1.4322350870286356,3,0.47741169567621183,0.6979963470625674,0.5947960075234249
7,9,3,True,0.47962910542684245,0.0006250014375135048,0.0006250014375135183,1.7108987461706702,2,0.8554493730853351,0.4250921231961543,9.479409674158642,0.4795332787746456,0.0005374407802648209,1.3629361704386667,2,0.6814680852193333,0.5058737811294352,0.437201110657861
6,11,6,True,0.4785089073038371,0.0003953949730698621,0.0003953949730698585,7.509500462071892,5,1.5019000924143784,0.1854204339523635,178.16366926656985,0.47877867106020866,0.00032747834948993967,5.129541989096372,5,1.0259083978192742,0.4002762961768991,0.20538243210407592
6,10,5,True,0.4785203619199772,0.00039578804482603763,0.0003957880448260415,7.0875977822443526,4,1.7718994455610881,0.13133086291797375,49.28616232633716,0.4787861790953139,0.00032825439971116216,5.018768486524965,4,1.2546921216312412,0.28537714708054196,0.140892874006752
5,11,7,True,0.4790302903359174,0.0002468498322443149,0.0002468498322443112,10.358909100813033,6,1.7264848501355055,0.11032873116170756,347.77332909423166,0.4790225672445079,0.00021567519508808113,6.109107164164991,6,1.0181845273608319,0.41107957254796235,0.13079903415899746
5,10,6,True,0.4790435503747648,0.0002477425984320651,0.00024774259843209187,9.960706223655855,5,1.992141244731171,0.0763563046955139,96.38995488050548,0.47902631573674215,0.00021589643774503714,5.961946589625267,5,1.1923893179250533,0.3099393118540788,0.08651347980089047
6,9,4,True,0.4785484712022621,0.0003987570765834534,0.00039875707658344246,6.752658484453419,3,2.250886161484473,0.08021349283439022,21.8619646388692,0.4787611871077766,0.00033113246019469923,4.689643096844478,3,1.563214365614826,0.19598558902689805,0.07519576960470077
5,9,5,True,0.4790608407344883,0.0002489401010594575,0.00024894010105943725,9.458071428234726,4,2.3645178570586816,0.05061595253969702,43.068184690809005,0.47901742305077444,0.00021670921041020018,5.737038727330245,4,1.4342596818325613,0.21966590002004813,0.048325595398523394
6,8,3,True,0.47856564028525056,0.0003992128358922547,0.0003992128358922469,5.942122808244254,2,2.971061404122127,0.051248885675241,9.718175633180591,0.4788050628218981,0.00033804599541830907,4.273534904686597,2,2.1367674523432987,0.11803578328094465,0.02682765759279846
5,8,4,True,0.47908223988004417,0.00025014916224746944,0.0002501491622475045,8.699203221288808,3,2.8997344070962696,0.033569371982882845,19.028831156446373,0.4790402939953295,0.00021861283994034555,5.105826936289544,3,1.7019423120965147,0.16420997758602363,0.015574683840957452
4,11,8,True,0.47957065253850967,0.00018343403570884184,0.00018343403570882124,21.059737773039107,7,3.0085339675770153,0.0036827341867452005,961.0215832905617,0.4793412299416948,0.0001631897907383063,11.215796492556255,7,1.6022566417937507,0.1294791495708617,0.003512054835204899
4,10,7,True,0.47958144620048265,0.00018397182775978566,0.00018397182775979677,20.470111041709597,6,3.4116851736182663,0.0022830706755969563,267.1887884439062,0.4793437482817021,0.00016328556781315193,11.012973702191465,6,1.8354956170319108,0.08797629105002851,-0.010950632796768368
4,9,6,True,0.4795829775881728,0.0001839766627767139,0.00018397666277672803,19.151898986674446,5,3.8303797973348894,0.0018008382902188233,118.10867002918327,0.47934004322922585,0.0001636363412339264,10.893267122378829,5,2.178653424475766,0.05353773386738216,-0.024806757656478967
5,7,3,True,0.4790727946229251,0.00025061594911646303,0.00025061594911647664,8.317544777305821,2,4.158772388652911,0.015626729700525727,6.381546113432467,0.479016128263548,0.00022274695101797087,4.785771657034413,2,2.3928858285172065,0.0913656375022766,-0.032548718072532484
4,8,5,True,0.47960000360984345,0.00018474121464415408,0.00018474121464411502,18.123586249583933,4,4.530896562395983,0.0011673165247927488,52.71515093430789,0.47935620686949093,0.00016445129180187149,9.916126146683798,4,2.4790315366709494,0.04186447629501927,-0.04445061472312691
4,7,4,True,0.4795814385306093,0.00018628763992054257,0.00018628763992054482,17.522887138944412,3,5.840962379648137,0.0005516213981695252,17.80680884835312,0.4793494688580653,0.00016618959577064217,9.83713449290873,3,3.2790448309695766,0.020002513370857133,-0.07626762619479321
