tau,nc,corr_id,ReW,ImW,AbsW
1,1,0,0.5393436545505882,3.863818338611932e-05,0.5393436559345938
1,2,0,0.5394842204530292,-8.544157195337183e-05,0.5394842272189937
1,3,0,0.5393248028274212,1.412595460066564e-05,0.5393248030124143
1,4,0,0.5397308912449471,-1.251252229732638e-05,0.5397308913899853
1,5,0,0.5390195162618207,4.646998432263116e-06,0.5390195162818521
1,6,0,0.5393978822366925,1.838244938953795e-05,0.5393978825499255
1,7,0,0.5396505001469871,6.716801814666721e-05,0.5396505043270468
1,8,0,0.5396254815845082,3.018454551430407e-05,0.5396254824287111
1,9,0,0.5394891697416042,3.396361905937126e-05,0.5394891708106966
1,10,0,0.5396956271793206,-4.97740909393277e-05,0.5396956294745588
1,11,0,0.5395514178929803,1.339088249316038e-05,0.5395514180591515
1,12,0,0.5393649824365668,7.606165565035507e-06,0.5393649824901983
1,13,0,0.5395715930044613,-9.109569057107973e-05,0.5395716006942887
1,14,0,0.5392362563766354,-4.578668140360089e-05,0.5392362583205146
1,15,0,0.5390066785747281,3.275695964760822e-05,0.5390066795700946
1,16,0,0.5393482745950806,4.026591114904649e-05,0.5393482760981387
1,17,0,0.539741675668562,3.065347691827247e-05,0.5397416765390114
1,18,0,0.539888720058728,2.201413361940096e-05,0.5398887205075447
1,19,0,0.5392206253395713,1.643738250363817e-06,0.5392206253420766
1,20,0,0.5393185244883059,8.139305528360999e-05,0.5393185306301582
1,21,0,0.5396645798149959,8.026429532416027e-05,0.5396645857838489
1,22,0,0.5398174473801365,-0.0001425510307326559,0.5398174662020513
1,23,0,0.5398709500847271,1.348895661590058e-05,0.5398709502532414
1,24,0,0.538990408054367,-3.509072116082991e-05,0.5389904091966496
1,25,0,0.5392404437829771,6.24553651168514e-05,0.5392404473997984
1,26,0,0.5391165319967753,1.922876320136444e-05,0.5391165323396931
1,27,0,0.5390853061555427,-5.848835007962204e-05,0.5390853093284051
1,28,0,0.5394822632564302,3.877749604224063e-05,0.5394822646500759
1,29,0,0.5394192581277333,9.670157903768957e-06,0.5394192582144117
1,30,0,0.5396738115787936,-5.690981516520699e-05,0.5396738145794275
1,31,0,0.5397191712716424,-6.331704633728497e-05,0.5397191749856557
1,32,0,0.5397724659148481,9.071335409410554e-06,0.5397724659910738
1,33,0,0.5396997594684901,7.949404179348903e-05,0.5396997653229514
1,34,0,0.5394848608441812,3.671851387504846e-05,0.5394848620937522
1,35,0,0.5392780822996691,-5.650634315059782e-05,0.5392780852600776
1,36,0,0.5394770316900148,-4.685950388147884e-05,0.539477033725146
1,37,0,0.5398083007287885,-4.253087906596346e-05,0.5398083024042681
1,38,0,0.5398009448036134,7.986064137779727e-05,0.5398009507110891
1,39,0,0.5395611679862033,-6.702069949733822e-05,0.5395611721486361
1,40,0,0.5390263211196243,2.256360682626078e-05,0.5390263215918799
1,41,0,0.5392825417401231,-5.623206491280772e-05,0.5392825446718378
1,42,0,0.5396482633574224,-2.176508100719787e-05,0.5396482637963368
1,43,0,0.5394453744303982,9.915037662540763e-05,0.5394453835423468
1,44,0,0.5396039560843764,-6.065447491814218e-05,0.539603959493326
1,45,0,0.5395417857040481,-2.392379463179097e-05,0.5395417862344499
1,46,0,0.539627933816388,-1.457051116463043e-05,0.5396279340130974
1,47,0,0.5394330962082903,1.342628648228706e-05,0.5394330963753778
1,48,0,0.5397539561249644,-4.434767505656194e-05,0.539753957946828
1,49,0,0.5398757233777347,-1.388002294865179e-05,0.5398757235561601
1,50,0,0.5397335608588564,8.944492688372244e-05,0.5397335682702863
1,51,0,0.5401637531586042,2.671094834983805e-05,0.5401637538190287
1,52,0,0.5399260716248055,-3.467716552428038e-05,0.5399260727383893
1,53,0,0.540045082860599,9.617272149777614e-05,0.5400450914239511
1,54,0,0.5395267938360804,-2.85466531203163e-05,0.5395267945912898
1,55,0,0.5397758702775429,-3.111798317670991e-05,0.539775871174516
1,56,0,0.5391678561270731,-6.225945114712731e-05,0.5391678597217229
1,57,0,0.5396132780472852,1.583071735089318e-05,0.5396132782794992
1,58,0,0.5396378359487928,3.349118335485738e-05,0.5396378369880632
1,59,0,0.5397127201283918,2.247394325787181e-05,0.5397127205963056
1,60,0,0.5392874129084255,-2.875804282732086e-05,0.5392874136752013
1,61,0,0.5396590899171788,-4.112437519455395e-05,0.5396590914841071
1,62,0,0.5393342651325226,-3.194006024507355e-05,0.539334266078288
1,63,0,0.5396856997085054,-4.583371922409318e-05,0.5396857016547584
1,64,0,0.5390957284755136,-7.116254316082444e-05,0.5390957331723673
1,65,0,0.5394283187336526,-2.355726239066472e-05,0.5394283192480348
1,66,0,0.5389342584362582,-8.584362370277962e-05,0.5389342652730176
1,67,0,0.5384905865860077,-7.91162513233308e-05,0.5384905923979767
1,68,0,0.5396254260764924,-7.919881048881443e-05,0.5396254318883493
1,69,0,0.5396324021979411,0.000103258130164298,0.5396324120771119
1,70,0,0.5397047129220373,1.139734388765792e-06,0.5397047129232407
1,71,0,0.5393962564239018,-7.126563991037082e-05,0.53939626113175
1,72,0,0.5395485671974248,3.182238660501116e-05,0.5395485681358615
1,73,0,0.5394490188663963,1.591207965947226e-05,0.5394490191010749
1,74,0,0.5390937507461262,8.312163178602384e-05,0.5390937571542932
1,75,0,0.5391293900394966,4.824394809459455e-05,0.5391293921980493
1,76,0,0.5390827243967463,4.313331296985384e-05,0.5390827261223466
1,77,0,0.5396533846940419,-3.59359426911324e-06,0.5396533847060069
1,78,0,0.539347244187155,6.821043119474278e-05,0.5393472485003901
1,79,0,0.5391542568351115,2.922056408222809e-05,0.5391542576269456
1,80,0,0.5388151408924073,1.417737857848869e-05,0.5388151410789259
1,81,0,0.5393421163087256,4.889505839333072e-05,0.5393421185250616
1,82,0,0.5394364797397313,0.0001517753132404828,0.5394365010914067
1,83,0,0.5395400476078009,-1.353479870173515e-05,0.5395400477775667
1,84,0,0.5396525712162438,6.0356026122553e-05,0.5396525745914245
1,85,0,0.5394211559230906,7.894930536785856e-05,0.5394211617005733
1,86,0,0.5389306158445046,-0.0001133829687934988,0.5389306277715479
1,87,0,0.5389772033724747,5.381995493608651e-05,0.5389772060595898
1,88,0,0.5390805369744948,-2.117683496445184e-05,0.5390805373904423
1,89,0,0.5391825343729738,8.053964050760792e-06,0.5391825344331262
1,90,0,0.5395772186102243,-3.663776700785625e-05,0.5395772198540927
1,91,0,0.5392692838432456,-1.851123814640736e-05,0.5392692841609588
1,92,0,0.5391738719638837,7.591913331872717e-05,0.5391738773088337
1,93,0,0.5394758581048603,5.211274162998445e-05,0.5394758606218755
1,94,0,0.5390728160758013,1.802861138166208e-07,0.5390728160758315
1,95,0,0.5397329447310062,-7.70010398081407e-05,0.5397329502236856
1,96,0,0.5395352724163655,-9.765085102917275e-05,0.539535281253312
1,97,0,0.5393423841127087,-6.748912924144432e-05,0.5393423883352422
1,98,0,0.5396594619979896,1.48484894175796e-05,0.5396594622022645
1,99,0,0.5394339660634965,-1.427919132348045e-05,0.5394339662524865
1,100,0,0.5396464266413437,-1.135307301214992e-05,0.5396464267607666
2,1,0,0.3261513058301,0.0001140351902656819,0.32615132576566974
2,2,0,0.3265863032432961,8.291004171980287e-06,0.32658630334853744
2,3,0,0.3261121907037352,-0.0001084687395991881,0.32611220874272223
2,4,0,0.3267994175740343,8.890200408594908e-05,0.3267994296664154
2,5,0,0.3258899668728193,4.741226542087783e-05,0.3258899703217179
2,6,0,0.3263992491783891,4.023542071980485e-05,0.32639925165831063
2,7,0,0.3267923412392325,7.106707754750084e-05,0.32679234896666187
