# R/a=6, Ncfg=100, axis-averaged rho_S = <LS>/<L> - <S>
# Errors from pyerrors/Gamma method with correlated ensemble labels
# dx  rhoS_tau4  err4  rhoS_tau6  err6  delta  pull
 -2 -0.00114600 0.00048368 +0.00647575 0.00426604 +0.00762174 +1.775
 -1 -0.00608759 0.00045715 -0.00696039 0.00457799 -0.00087280 -0.190
  0 -0.01079440 0.00053192 -0.01029829 0.00422465 +0.00049611 +0.117
  1 -0.01476176 0.00049194 -0.01191324 0.00375665 +0.00284852 +0.752
  2 -0.00763650 0.00045039 -0.01173701 0.00422322 -0.00410052 -0.965
  3 -0.00686653 0.00043316 -0.01161599 0.00403479 -0.00474946 -1.170
  4 -0.00822942 0.00048122 -0.01274212 0.00416236 -0.00451270 -1.077
  5 -0.01563616 0.00047752 -0.01564770 0.00457674 -0.00001154 -0.003
  6 -0.01016971 0.00046824 -0.01656824 0.00385969 -0.00639854 -1.646
  7 -0.00664719 0.00046523 -0.00412675 0.00523566 +0.00252045 +0.480
  8 -0.00097063 0.00044950 +0.00570055 0.00428477 +0.00667117 +1.548
