,R1,R2,R3,R4,R5,R6
R1,2.562385743134181e-07,1.2180396260290227e-07,2.8805246808847247e-08,1.5941782027998338e-08,6.158685504150234e-08,3.23262970524105e-07
R2,1.2180396260290224e-07,1.941841102542515e-06,1.2459825261978823e-06,7.777536050867936e-07,2.3646964317163737e-06,1.172502444000156e-06
R3,2.8805246808847257e-08,1.2459825261978825e-06,8.520063073477666e-06,4.400626273621174e-06,5.148515720789144e-06,8.14564570428258e-06
R4,1.5941782027998368e-08,7.777536050867935e-07,4.400626273621174e-06,2.3891681609526337e-05,1.3683571478228418e-05,1.529691020254221e-05
R5,6.158685504150227e-08,2.3646964317163737e-06,5.148515720789144e-06,1.3683571478228418e-05,5.5731794819864614e-05,3.324935866922615e-05
R6,3.232629705241049e-07,1.1725024440001558e-06,8.14564570428258e-06,1.529691020254221e-05,3.324935866922615e-05,0.00010783082943122958
