dx,rho_S_tau4_jk,err_tau4_jk,rho_S_tau4_pe,err_tau4_pe,rho_S_tau6_jk,err_tau6_jk,rho_S_tau6_pe,err_tau6_pe,err_ratio_tau4_pe_over_jk,err_ratio_tau6_pe_over_jk
-2,-0.0019675911217908,0.000228621131562,-0.001967592257255,0.0002308664526649,0.0007138476925912,0.0011898155142461,0.0007138404395021,0.0012131403723494,1.0098211442116456,1.0196037602670522
-1,-0.0065705601309046,0.0002346128338087,-0.0065705607131707,0.0002369295172478,-0.0056980432201697,0.0013591058957747,-0.0056980319330157,0.001385881944861,1.0098744957873405,1.0197012235540612
0,-0.0105484694007781,0.0002127140919591,-0.0105484700379394,0.0002168674577424,-0.010766152815049,0.0013648634090609,-0.0107661515586976,0.0013916317546656,1.0195255788887678,1.0196124721543514
1,-0.0173527760945215,0.0002420833195753,-0.0173527761960254,0.0003026333553991,-0.018024184375186,0.0013644936115979,-0.0180241650046655,0.001377803020297,1.2501206441237926,1.009754101144903
2,-0.010960638443532,0.0002177627669637,-0.0109606384485672,0.0002199051722382,-0.0100558620660984,0.0012835716923653,-0.0100558531325474,0.0012963900393809,1.009838253363382,1.0099864675201577
3,-0.0169574302788793,0.0002200790215178,-0.0169574301588797,0.0002368386932428,-0.0175703778166895,0.0013274027589184,-0.0175703677068814,0.0013403516960148,1.0761529727341343,1.009755092800132
4,-0.0102045761771409,0.0001943217015586,-0.0102045763505118,0.000228905373005,-0.0104954274945564,0.0015156910888896,-0.0104954328243547,0.0015873765064142,1.1779712259053623,1.0472955327441535
5,-0.0065047771752421,0.0002128554210747,-0.0065047777729334,0.0002170300453276,-0.0065229877063643,0.0013694164383922,-0.0065229905047625,0.0013829378946916,1.0196124873485601,1.009873881983829
6,-0.0010410812012038,0.0001844583954653,-0.0010410820812873,0.0001898565899212,-0.0011695631653654,0.0014665771162504,-0.0011695756812994,0.0014807586087601,1.029265105783247,1.0096697898477769
