R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability
0,1,100,0.009785879737605354,0.00036936089065283756,3.774427037289769,ok,0.00035520671082392864,3.62978822904326,100,ok,good
0,2,100,0.0033969215934051885,0.0003730788557083631,10.982851545136086,ok,0.00035721638224056775,10.515885410310045,100,ok,marginal
0,3,100,0.001054882346640364,0.00041706202442539487,39.536354528414705,ok,0.00041301387375802085,39.152600768550705,100,ok,diagnostic_only
0,4,100,0.0006176796721808058,0.0003629996637205982,58.76827100995187,ok,0.0003501888966186354,56.69425632581428,100,ok,diagnostic_only
0,5,100,0.00028292778712412514,0.0003522026270695297,124.48498984478061,ok,0.0003454452559957731,122.09661677529769,100,ok,diagnostic_only
0,6,100,-2.918338894355886e-05,0.00036821012551683363,1261.7113325287817,ok,0.00036463380045116325,1249.4566726173264,100,ok,diagnostic_only
0,7,100,0.0005932154212305981,0.00031897239288481734,53.77007769338224,ok,0.000309914648292309,52.24318808998683,100,ok,diagnostic_only
0,8,100,-0.000560722870022269,0.00034337215192405395,61.23740804622736,ok,0.00034003794423921087,60.642781384270336,100,ok,diagnostic_only
0,9,100,-0.0006036828623989264,0.0005394644017620832,89.36221903307795,ok,0.000374411674382792,62.02125283049246,100,ok,diagnostic_only
1,1,100,0.4977756748511606,0.0005129740351916682,0.1030532549315617,ok,0.0005079932904769094,0.10205265466794937,100,ok,good
1,2,100,0.4857195602262138,0.0005317285229698921,0.10947233064327296,ok,0.0005215266255745,0.107371962811547,100,ok,good
1,3,100,0.48015726140143833,0.0007999958679097629,0.16661121932735318,ok,0.0007922304393802015,0.16499395157909577,100,ok,good
1,4,100,0.4808566399825244,0.0011208483936303653,0.2330940867679606,ok,0.00101927861638996,0.21197141343977347,100,ok,good
1,5,100,0.4806330846601883,0.001552594138705769,0.3230310580478384,ok,0.0015375892726010414,0.3199091618272866,100,ok,good
1,6,100,0.4778486030405269,0.0035422913547877876,0.7412999289415861,ok,0.0024142989308137417,0.5052434841185425,100,ok,good
1,7,100,0.477117883990498,0.0034916137192752524,0.7318136327383589,ok,0.00345769304118346,0.7247041364838719,100,ok,good
1,8,100,0.48457815999382925,0.006440711903624851,1.3291378843212558,ok,0.006242408579888359,1.2882150074547005,100,ok,good
1,9,100,0.47132191626641684,0.009051649218472766,1.9204812901923873,ok,0.00896460246081014,1.9020126481330137,100,ok,good
2,1,100,0.726419595384968,0.0009300855853362938,0.1280369625551459,ok,0.00090369059342456,0.12440338878050869,100,ok,good
2,2,100,0.7101035120195777,0.001080566177939268,0.15217023428965615,ok,0.0010598186165443526,0.14924846851273327,100,ok,good
2,3,100,0.7008143055123909,0.0017446644451022816,0.24894817805220085,ok,0.0017277840085513192,0.2465394891287319,100,ok,good
2,4,100,0.7081735484677993,0.0035430296876706635,0.5003052846772298,ok,0.0035080969525645546,0.4953724916942541,100,ok,good
2,5,100,0.6977573138796535,0.00702363776157819,1.0066018115274964,ok,0.006955357964200472,0.9968162032623429,100,ok,good
2,6,100,0.7118811787292124,0.01415960269778386,1.9890401826692954,ok,0.01402214326387712,1.9697308599882095,100,ok,good
2,7,100,0.6802980675958653,0.02620504020790259,3.8519939209161227,ok,0.0251795023354332,3.7012456061232286,100,ok,good
2,8,100,0.6690478844185327,0.08064099478974515,12.053097643351787,ok,0.05480471567896098,8.191448916483992,100,ok,marginal
2,9,100,0.5170568302419809,0.0858719306002977,16.607832171970326,ok,0.08347666018588595,16.144581272975188,100,ok,marginal
3,1,100,0.869986150468662,0.0014239926494615028,0.1636799216509823,ok,0.0013835603562617886,0.15903245764503995,100,ok,good
3,2,100,0.8502666785234454,0.0019896384982374996,0.2340017018769526,ok,0.0019701772813344814,0.23171286504556998,100,ok,good
3,3,100,0.8341414682634378,0.0037342044103076694,0.4476703955363524,ok,0.003467602943577764,0.4157092142651549,100,ok,good
