cfg,R,T,Veff_log_Re_ratio
13,3,3,9.4806224377572212e-01
14,0,1,1.0330438151576244e-02
14,0,2,7.1816290184147846e-03
14,0,3,-6.4796067656313645e-03
14,1,1,4.9733042729854710e-01
14,1,2,4.7040796258995948e-01
14,1,3,4.6470308936734389e-01
14,2,1,7.3263568817659508e-01
14,2,2,7.0988383457053350e-01
14,2,3,7.2213664936206412e-01
14,3,1,8.8648449161214804e-01
14,3,2,8.4244401750732822e-01
14,3,3,8.1976400914232361e-01
15,0,1,-4.5417927771895924e-03
15,0,2,2.8950197831758857e-02
15,0,3,-1.1770424269755022e-02
15,1,1,4.7647269300699197e-01
15,1,2,5.0868715073953619e-01
15,1,3,4.6698738221848435e-01
15,2,1,7.0801707435005001e-01
15,2,2,7.3747673938225833e-01
15,2,3,7.2023420162797147e-01
15,3,1,8.9633536832915217e-01
15,3,2,9.0882463604866026e-01
15,3,3,8.1685473776652240e-01
16,0,1,-1.4185267021001927e-04
16,0,2,7.5904464120464853e-03
16,0,3,1.0569813001847171e-02
16,1,1,4.8681614562741210e-01
16,1,2,4.9225102790410441e-01
16,1,3,4.9553811664622061e-01
16,2,1,7.0833083730708435e-01
16,2,2,7.1791095343138223e-01
16,2,3,7.0337402074925315e-01
16,3,1,8.7838678968480965e-01
16,3,2,8.7780286353886949e-01
16,3,3,7.2944656586478263e-01
17,0,1,1.3352711561532952e-03
17,0,2,1.4574821597743010e-02
17,0,3,1.9005626990023065e-02
17,1,1,4.7958185006461618e-01
17,1,2,5.0846418564058027e-01
17,1,3,4.9368458190882364e-01
17,2,1,7.0590034195946705e-01
17,2,2,7.4481857980526167e-01
17,2,3,7.0588218323267304e-01
17,3,1,8.1754723617076053e-01
17,3,2,9.1513102850930528e-01
17,3,3,9.4845234822786473e-01
18,0,1,1.0115741889624840e-02
18,0,2,-2.2432265041445795e-03
18,0,3,1.3228276250531041e-02
18,1,1,4.9092707001552682e-01
18,1,2,4.8711874458776844e-01
18,1,3,4.5933765787145292e-01
18,2,1,7.1351663092966666e-01
18,2,2,7.1368456881170828e-01
18,2,3,6.0007619064260942e-01
18,3,1,8.7028134142254032e-01
18,3,2,7.8648037967757667e-01
18,3,3,7.5973281671593484e-01
19,0,1,1.9718853085937599e-02
19,0,2,5.1858469834313060e-03
19,0,3,-9.4252743118248964e-04
19,1,1,5.0158336614706223e-01
19,1,2,5.1444506568034598e-01
19,1,3,4.9400096792517828e-01
19,2,1,7.0788484873825475e-01
19,2,2,7.3429853271861367e-01
19,2,3,7.1764196681944958e-01
19,3,1,8.4996314101751924e-01
19,3,2,8.7561381608557265e-01
19,3,3,8.9097020427220774e-01
20,0,1,1.9137047011595226e-02
20,0,2,1.2168693752997121e-02
20,0,3,-1.8210684563051176e-02
20,1,1,5.1205053892663743e-01
20,1,2,4.9515554354271712e-01
20,1,3,4.8001866318190767e-01
20,2,1,7.5648960879571669e-01
20,2,2,7.1120409145893893e-01
20,2,3,6.9842745319030419e-01
20,3,1,9.3706305371335075e-01
20,3,2,8.2443984738279952e-01
20,3,3,8.7977124049627753e-01
21,0,1,7.8444835142514584e-03
21,0,2,-6.9268898160505087e-03
21,0,3,1.6249115127968582e-02
21,1,1,4.9361589580900606e-01
21,1,2,4.7137325987336398e-01
21,1,3,5.0601931668971267e-01
21,2,1,7.0129233822721770e-01
21,2,2,7.0632839877893294e-01
21,2,3,6.7265681537251065e-01
21,3,1,8.5628461391038968e-01
21,3,2,7.9697228744597259e-01
21,3,3,7.9847588202960540e-01
22,0,1,1.4019237171679676e-02
22,0,2,-3.2800701707544834e-03
22,0,3,1.1340803488751562e-03
22,1,1,4.9717646277746269e-01
22,1,2,4.7022664905401051e-01
22,1,3,4.9780962036580234e-01
22,2,1,7.1376951284929080e-01
22,2,2,6.9082848108659578e-01
22,2,3,6.8441198723176400e-01
22,3,1,8.1799529648295444e-01
22,3,2,8.9367822677883924e-01
22,3,3,7.0027835947777339e-01
23,0,1,-2.6879108531864689e-04
23,0,2,1.1915686671980242e-02
23,0,3,9.3011648842094945e-03
23,1,1,4.8817438866432844e-01
23,1,2,4.9926602839904388e-01
23,1,3,5.0283857040332980e-01
23,2,1,7.0017691299429441e-01
23,2,2,7.4348921174198135e-01
23,2,3,7.8155199965445521e-01
23,3,1,7.8380687500066792e-01
23,3,2,8.3530723889819003e-01
23,3,3,8.9502509236972172e-01
24,0,1,1.6435458208032105e-02
24,0,2,-9.7455811272404976e-04
24,0,3,-8.4493702029216529e-03
24,1,1,4.9495011874268774e-01
24,1,2,4.8923125188176281e-01
24,1,3,4.6612523588911026e-01
24,2,1,7.1506395217726715e-01
24,2,2,7.0427502271314468e-01
24,2,3,7.8581383916868430e-01
24,3,1,8.2216869706668427e-01
24,3,2,8.9924129339631842e-01
24,3,3,8.6385492733694469e-01
25,0,1,1.6789467716348948e-02
25,0,2,-4.0608172725327353e-04
25,0,3,-1.0818140606073455e-03
25,1,1,5.1091870257315142e-01
25,1,2,4.7573404585396623e-01
25,1,3,4.8002387120259493e-01
25,2,1,7.4935386557788697e-01
25,2,2,6.8030062798916080e-01
25,2,3,7.5388825376625113e-01
25,3,1,9.1701068318823031e-01
25,3,2,7.9616091894685270e-01
25,3,3,8.8455033615199907e-01
26,0,1,3.1087215554009358e-03
26,0,2,9.5486723643354414e-03
26,0,3,-2.6961829731164950e-03
26,1,1,4.9703539620494114e-01
26,1,2,4.9908695012058074e-01
26,1,3,4.8738104500671398e-01
26,2,1,7.4635664496281073e-01
26,2,2,6.9337639765724768e-01
26,2,3,7.0437614465188680e-01
26,3,1,8.9356634735794194e-01
26,3,2,7.9300581993190644e-01
26,3,3,9.0750510463093059e-01
27,0,1,1.1758200927222634e-03
27,0,2,1.5667972180132717e-02
27,0,3,5.8996931856977733e-03
27,1,1,4.8607052137673618e-01
27,1,2,5.0892624578449797e-01
27,1,3,4.8528999128436295e-01
27,2,1,7.1163577452296245e-01
27,2,2,7.6440642403117653e-01
27,2,3,6.4564496423714912e-01
27,3,1,8.6071177277152777e-01
27,3,2,8.7212951831506835e-01
27,3,3,8.1375698589939405e-01
28,0,1,1.5039776231352100e-02
28,0,2,-3.7926936424696961e-03
28,0,3,1.4371769374318833e-03
28,1,1,5.0058940738742408e-01
28,1,2,4.8396976142753556e-01
28,1,3,4.8704129581776329e-01
28,2,1,7.2860439044987291e-01
28,2,2,6.9168751263121231e-01
28,2,3,7.0310875282471053e-01
28,3,1,8.9072240729277274e-01
28,3,2,8.0327969379394504e-01
28,3,3,8.7533260744478691e-01
29,0,1,3.3816357049642159e-03
29,0,2,-2.2565332577689939e-03
29,0,3,7.9873469505125794e-03
29,1,1,4.9768079383844127e-01
29,1,2,4.8334987557858117e-01
29,1,3,4.6677810533701330e-01
29,2,1,7.2601612181050879e-01
29,2,2,6.8497651063121134e-01
29,2,3,6.9299279951808757e-01
29,3,1,8.7215423475108034e-01
29,3,2,8.1248910748128600e-01
29,3,3,8.3107565407221173e-01
30,0,1,1.9687362812879229e-02
30,0,2,1.0979308925315623e-02
30,0,3,2.5688002222730415e-03
30,1,1,4.9113253958908204e-01
30,1,2,4.9333493324606348e-01
30,1,3,4.7654778159610384e-01
30,2,1,7.0839785157527380e-01
30,2,2,7.5819047938537676e-01
30,2,3,5.8480677130876402e-01
30,3,1,8.5498199165750732e-01
30,3,2,9.1817686303351764e-01
30,3,3,7.4928742503973034e-01
31,0,1,2.8558956261741843e-02
31,0,2,4.4528528168801158e-04
31,0,3,-1.0184352889711966e-02
31,1,1,5.1586560960587990e-01
31,1,2,4.7423102112600829e-01
31,1,3,5.0562288183716653e-01
31,2,1,7.2316475070571007e-01
31,2,2,6.7758940959829084e-01
31,2,3,7.3749115262653597e-01
31,3,1,8.6084239844682486e-01
31,3,2,7.7767388280042826e-01
31,3,3,8.4256679288303682e-01
32,0,1,9.0655871562569136e-03
