cfg,R,T,Veff_log_Re_ratio
65,0,3,5.2339422651678498e-04
65,1,1,5.0439816733593301e-01
65,1,2,4.9196991374716420e-01
65,1,3,4.7815958302654249e-01
65,2,1,7.5429661148214144e-01
65,2,2,6.9992100126055667e-01
65,2,3,6.7008606419557060e-01
65,3,1,9.0445434833025851e-01
65,3,2,8.4734120779967115e-01
65,3,3,7.4322066259914188e-01
66,0,1,2.2926712493854817e-02
66,0,2,-6.1913963747709409e-03
66,0,3,-5.4532965832731562e-03
66,1,1,5.1158896140269794e-01
66,1,2,4.8275329343016471e-01
66,1,3,4.7281308371761654e-01
66,2,1,7.4645282971497795e-01
66,2,2,7.0126488518960528e-01
66,2,3,6.8663663091805704e-01
66,3,1,9.0365586081494842e-01
66,3,2,8.3125254754996103e-01
66,3,3,8.6769703678476551e-01
67,0,1,-2.0414145322117424e-04
67,0,2,2.7384673719802756e-03
67,0,3,-5.7684294880462313e-04
67,1,1,4.9512813062539168e-01
67,1,2,4.8063434467764254e-01
67,1,3,4.7428896300719586e-01
67,2,1,7.3698183055763133e-01
67,2,2,6.9454556813289958e-01
67,2,3,6.0958476414276752e-01
67,3,1,8.5764115676746144e-01
67,3,2,7.6858093085917378e-01
67,3,3,8.4227409186813429e-01
68,0,1,1.4357250293927561e-02
68,0,2,1.2053694457182202e-02
68,0,3,-8.9695611893409605e-03
68,1,1,5.0363678509178911e-01
68,1,2,4.8590907456139953e-01
68,1,3,4.6632350338683626e-01
68,2,1,7.4995899285055956e-01
68,2,2,6.9837230137462825e-01
68,2,3,6.9747746513390652e-01
68,3,1,9.0084843302517437e-01
68,3,2,8.2151313011781513e-01
68,3,3,8.2376583463825725e-01
69,0,1,8.6452747625142996e-03
69,0,2,1.0965578486335816e-02
69,0,3,5.9412917038920883e-03
69,1,1,5.0135444826779030e-01
69,1,2,4.9425959682568937e-01
69,1,3,4.8808421495863663e-01
69,2,1,7.2957738619810120e-01
69,2,2,7.0481153286634823e-01
69,2,3,6.8562373679866306e-01
69,3,1,8.6503641490256422e-01
69,3,2,8.4441202889927280e-01
69,3,3,8.4638910672654988e-01
70,0,1,-1.6999563914625787e-02
70,0,2,3.5694793348325076e-03
70,0,3,2.5258201742868955e-02
70,1,1,4.7221537385080775e-01
70,1,2,4.8830598192938723e-01
70,1,3,5.0943071701980835e-01
70,2,1,6.9623631395238905e-01
70,2,2,7.0514557639145925e-01
70,2,3,6.9001065123185634e-01
70,3,1,8.5359222693263093e-01
70,3,2,8.7521179815743877e-01
70,3,3,9.1545174529590734e-01
71,0,1,6.6244095969062262e-03
71,0,2,4.6361858429354906e-03
71,0,3,4.3282485316769159e-03
71,1,1,4.9679899399377586e-01
71,1,2,4.8565971994339652e-01
71,1,3,5.2395781322099932e-01
71,2,1,7.3388221490216776e-01
71,2,2,7.2619384409040855e-01
71,2,3,7.5812073527120893e-01
71,3,1,9.1812948266487182e-01
71,3,2,8.4503588607074509e-01
71,3,3,9.0849168113753564e-01
72,0,1,6.0412524618341521e-03
72,0,2,5.6563387407105854e-04
72,0,3,9.6582378189386184e-03
72,1,1,4.9306111084202009e-01
72,1,2,4.7848498273859402e-01
72,1,3,4.6756335141426891e-01
72,2,1,7.1905594161274189e-01
72,2,2,7.0810395947821581e-01
72,2,3,7.3211123760724406e-01
72,3,1,8.1526996048446609e-01
72,3,2,8.6946179585889360e-01
72,3,3,8.8326866394426140e-01
73,0,1,3.8176344852658261e-03
73,0,2,1.3628575255649809e-02
73,0,3,2.2769351721909754e-03
73,1,1,4.7536097215920781e-01
73,1,2,4.9535715103010830e-01
73,1,3,5.0127162677999260e-01
73,2,1,6.8050090260224227e-01
73,2,2,7.4681021610571496e-01
73,2,3,8.3679551253446094e-01
73,3,1,7.9333639511844123e-01
73,3,2,8.8204435937224035e-01
73,3,3,1.0318036259276608e+00
74,0,1,2.6922532875065376e-03
74,0,2,1.6792732377799203e-02
74,0,3,-1.6673661832689285e-02
74,1,1,4.7708065661634724e-01
74,1,2,4.9636674031136080e-01
74,1,3,4.5120648952990339e-01
74,2,1,7.2154407112761143e-01
74,2,2,7.4063738536782031e-01
74,2,3,6.6273782749413068e-01
74,3,1,8.8712748304238920e-01
74,3,2,9.2409863419006222e-01
74,3,3,6.3913085811325676e-01
75,0,1,1.0707769166583064e-02
75,0,2,1.0092531088732112e-02
75,0,3,-9.4321816145407997e-03
75,1,1,5.0263116130112551e-01
75,1,2,4.8570077957183644e-01
75,1,3,4.7665509689765095e-01
75,2,1,7.2900345583590842e-01
75,2,2,7.3488591473694231e-01
75,2,3,5.9391806167774408e-01
75,3,1,8.8756524485032173e-01
75,3,2,9.2858793560869446e-01
75,3,3,7.8240635195648844e-01
76,0,1,-9.7103088026797191e-04
76,0,2,-5.5786870704515462e-03
76,0,3,3.3745673960919000e-04
76,1,1,4.8895037973007949e-01
76,1,2,4.7667329394685981e-01
76,1,3,4.8366110109564042e-01
76,2,1,7.0305026221773848e-01
76,2,2,7.1942833534752293e-01
76,2,3,6.9139073569159737e-01
76,3,1,8.3559657257912656e-01
76,3,2,8.7228969852224947e-01
76,3,3,8.8569874774830359e-01
77,0,1,1.1330681105314358e-02
77,0,2,-8.1200533676751736e-03
77,0,3,8.5642757170801519e-03
77,1,1,5.0332243883588468e-01
77,1,2,4.7052851819673674e-01
77,1,3,4.8745850048857536e-01
77,2,1,7.2944588560404799e-01
77,2,2,6.3617092254207119e-01
77,2,3,7.4038503374353737e-01
77,3,1,8.5545144614631363e-01
77,3,2,7.7515052256694073e-01
77,3,3,8.8851881503239372e-01
78,0,1,1.3571251691513509e-02
78,0,2,1.4195526248919507e-02
78,0,3,5.7652826337407058e-04
78,1,1,4.8997909339614831e-01
78,1,2,4.9268624890707480e-01
78,1,3,4.9119708468791423e-01
78,2,1,7.2930097274162764e-01
78,2,2,7.2165980835635890e-01
78,2,3,7.0121465178038067e-01
78,3,1,8.5566724618061130e-01
78,3,2,9.0978963010977432e-01
78,3,3,7.8919033715740994e-01
79,0,1,3.2887066609667529e-03
79,0,2,-3.3713667095735520e-03
79,0,3,1.6360199030700538e-02
79,1,1,4.8839516846526054e-01
79,1,2,4.9164955749109907e-01
79,1,3,5.1225077027079824e-01
79,2,1,7.2082017803703458e-01
79,2,2,7.1746836719582285e-01
79,2,3,6.7021463785612889e-01
79,3,1,8.4041351684119836e-01
79,3,2,8.4300432655239710e-01
79,3,3,8.0161256506574752e-01
80,0,1,7.9821146254023360e-03
80,0,2,1.2536568514605181e-02
80,0,3,-6.9941452887924173e-03
80,1,1,5.0512132803518017e-01
80,1,2,5.0201758635794058e-01
80,1,3,4.7056310190780409e-01
80,2,1,7.1631087202499233e-01
80,2,2,7.4303948983902635e-01
80,2,3,6.8382568454907133e-01
80,3,1,8.5615750193064233e-01
80,3,2,9.4986291994193617e-01
80,3,3,7.0982744340088511e-01
81,0,1,1.1376087981493557e-02
81,0,2,-1.7204440139391680e-03
81,0,3,1.4328882377608531e-03
81,1,1,4.9386875930792279e-01
81,1,2,4.9518135486698772e-01
81,1,3,4.5731478418617982e-01
81,2,1,7.2244423133106428e-01
81,2,2,6.9977046614379312e-01
81,2,3,7.1020347081719193e-01
81,3,1,8.7742631527924630e-01
81,3,2,8.3449225304549834e-01
81,3,3,9.6284460668364580e-01
82,0,1,-6.6979446212053623e-03
82,0,2,9.4885196148062883e-03
82,0,3,2.1207117963483986e-03
82,1,1,4.8452663182438294e-01
82,1,2,4.9519513946841826e-01
82,1,3,4.8093743370890701e-01
82,2,1,7.1054771503987291e-01
82,2,2,7.5432568247904397e-01
82,2,3,6.6471700071940609e-01
82,3,1,8.4940878773031869e-01
82,3,2,8.9864616830511979e-01
82,3,3,7.1634527718424745e-01
83,0,1,3.1500085844057275e-03
83,0,2,7.6656008928381938e-03
83,0,3,-2.2186167929269937e-03
83,1,1,4.8753757922733942e-01
83,1,2,4.9865981746909160e-01
83,1,3,4.4228456228519802e-01
83,2,1,7.2399660625605655e-01
83,2,2,7.1522337978135953e-01
83,2,3,6.0210523256979609e-01
83,3,1,8.5086043214781060e-01
83,3,2,8.0291385346709665e-01
83,3,3,7.0743791358877672e-01
84,0,1,-1.0968820540368424e-02
84,0,2,1.3817821826010424e-02
84,0,3,1.2301746517933834e-02
84,1,1,4.6982154043100571e-01
84,1,2,4.7851596931535317e-01
84,1,3,5.0688830641752314e-01
84,2,1,6.9126451441801529e-01
84,2,2,7.0373626838239611e-01
84,2,3,7.5943542131413022e-01
84,3,1,8.2064553205869528e-01
84,3,2,7.8783129395782914e-01
84,3,3,8.3688542901825458e-01
85,0,1,6.2601407824877517e-03
85,0,2,-3.2088228204895340e-03
85,0,3,1.1378308964797790e-02
85,1,1,4.8736596885533945e-01
85,1,2,4.9862306371184317e-01
85,1,3,5.0054301341359042e-01
85,2,1,7.1173870042805376e-01
85,2,2,7.2926499867895933e-01
85,2,3,7.6240368255310431e-01
85,3,1,8.4339317734055042e-01
85,3,2,8.7675014352349545e-01
85,3,3,9.4040229880907189e-01
86,0,1,7.2254236061853926e-03
86,0,2,5.1680226619098199e-03
86,0,3,5.9711138673192391e-03
86,1,1,4.9476591471588549e-01
86,1,2,5.1793789282117642e-01
86,1,3,4.5514851374709953e-01
86,2,1,7.2886915076205494e-01
86,2,2,7.1523017366154118e-01
86,2,3,6.5936761193706395e-01
86,3,1,8.7259702627207703e-01
86,3,2,9.0821004658074722e-01
86,3,3,8.0846539661342498e-01
87,0,1,1.2966210531039454e-02
87,0,2,-9.4628905910878721e-04
87,0,3,9.4164285789306561e-03
87,1,1,4.9532582891901672e-01
87,1,2,4.6669455925137976e-01
87,1,3,5.2921709044586296e-01
87,2,1,7.3392916694430899e-01
87,2,2,6.9068232606708635e-01
87,2,3,7.6272693434447292e-01
87,3,1,9.0502115466579058e-01
87,3,2,8.5588483539703031e-01
87,3,3,7.0493466073859778e-01
88,0,1,7.8616450591433556e-03
88,0,2,9.4587450353689137e-03
88,0,3,-5.2239977172284921e-03
88,1,1,4.9974768209171355e-01
88,1,2,5.0238033878920030e-01
88,1,3,4.9467655074373795e-01
88,2,1,7.4898407657257848e-01
88,2,2,7.0530797371894549e-01
88,2,3,7.3410493505491692e-01
88,3,1,8.8561263384536326e-01
88,3,2,8.3498407528489305e-01
88,3,3,8.5438379782351148e-01
89,0,1,5.3838700050520107e-03
89,0,2,-1.2173714181602338e-04
89,0,3,5.8940413613224746e-03
89,1,1,4.9347473456997992e-01
89,1,2,4.8694778130704780e-01
89,1,3,4.6853946081585329e-01
89,2,1,7.1226795531107101e-01
89,2,2,7.3138746023361656e-01
89,2,3,5.8383181721072552e-01
89,3,1,8.5787653677047904e-01
89,3,2,9.6841239085261466e-01
89,3,3,6.6290584850516066e-01
90,0,1,6.7029296085899760e-03
90,0,2,-5.7071989969673109e-03
90,0,3,7.5192732263770811e-03
90,1,1,4.8907631099767684e-01
90,1,2,4.6893034474097389e-01
90,1,3,5.2873057452788974e-01
90,2,1,7.1801644461371006e-01
90,2,2,6.7842330720580613e-01
90,2,3,7.8443741077975560e-01
90,3,1,8.3558231579281395e-01
90,3,2,8.7677920065933501e-01
90,3,3,1.1022180922784490e+00
91,0,1,7.9143625169526017e-03
91,0,2,7.3956185927476293e-03
91,0,3,-6.3679464510457539e-03
91,1,1,5.0454873369934783e-01
91,1,2,4.7671161209728413e-01
91,1,3,4.7693919912966559e-01
91,2,1,7.4333480325919665e-01
91,2,2,7.1476922550196942e-01
91,2,3,6.2889915464126611e-01
91,3,1,9.0365338591412503e-01
91,3,2,8.3300704538995174e-01
91,3,3,7.8602233889136031e-01
92,0,1,1.0202107143484677e-02
92,0,2,-7.8169888259271489e-04
92,0,3,5.1462508591401676e-03
92,1,1,5.1212548276350645e-01
92,1,2,4.6686359054113191e-01
92,1,3,4.8862500961443217e-01
92,2,1,7.3520555128859444e-01
92,2,2,6.6492686648494692e-01
92,2,3,7.4064597765208739e-01
92,3,1,9.1328447495772846e-01
92,3,2,7.4236075756806685e-01
92,3,3,9.6116316468559337e-01
93,0,1,-6.7277941575831345e-03
93,0,2,2.8347962532670489e-03
93,0,3,1.5140606369028075e-02
93,1,1,4.8069621675120883e-01
93,1,2,4.9817621564349651e-01
93,1,3,4.9398984158503212e-01
93,2,1,7.1329647762388437e-01
93,2,2,7.1398132946270121e-01
93,2,3,7.9403548994052842e-01
93,3,1,8.6223413672503624e-01
93,3,2,8.4266196449224406e-01
93,3,3,8.9967684245044255e-01
94,0,1,1.4087437930128944e-02
94,0,2,1.5207877831791476e-03
94,0,3,-1.1695683698266299e-02
94,1,1,5.0391908363589666e-01
94,1,2,4.6826847684884321e-01
94,1,3,4.9946324462117975e-01
94,2,1,7.2287457649158859e-01
94,2,2,7.1069537243082070e-01
94,2,3,7.1606827943282614e-01
94,3,1,8.8398851980450333e-01
94,3,2,8.2222692750178417e-01
94,3,3,8.5158419741407332e-01
95,0,1,7.1360352695100677e-03
95,0,2,4.1968032256170049e-03
95,0,3,4.9012121182380659e-04
95,1,1,5.0312377563037269e-01
95,1,2,4.7709939818505481e-01
95,1,3,4.8795614524076580e-01
95,2,1,7.3812563818097054e-01
95,2,2,6.7481998158984013e-01
95,2,3,7.3652048523694813e-01
95,3,1,8.6608423634842568e-01
95,3,2,8.6042229375710566e-01
95,3,3,8.1190242906364063e-01
96,0,1,-1.3199589224482383e-02
96,0,2,1.2187129419771217e-02
96,0,3,-7.2663157427516004e-03
96,1,1,4.8091264504553360e-01
96,1,2,4.9815994539524960e-01
96,1,3,4.6598466510733255e-01
96,2,1,7.0592584876553222e-01
96,2,2,7.6676110996731273e-01
96,2,3,7.0860064187338145e-01
96,3,1,8.5119488314736713e-01
96,3,2,9.1249432226937233e-01
96,3,3,7.3059855723094436e-01
97,0,1,1.3252833119864683e-02
97,0,2,1.3423634900848637e-02
97,0,3,-4.9910519552871981e-03
97,1,1,4.9731196447442544e-01
97,1,2,5.0215261000046019e-01
97,1,3,4.6442614069987431e-01
97,2,1,7.3841934384962815e-01
97,2,2,7.4434167436462706e-01
97,2,3,6.0829032286811435e-01
97,3,1,8.8613134141925687e-01
97,3,2,8.5345385912534977e-01
97,3,3,5.8449532966656070e-01
98,0,1,2.7525842456370509e-02
98,0,2,-5.1939236977963342e-03
98,0,3,1.4161434476481591e-03
98,1,1,5.1766136175191713e-01
98,1,2,4.7136742410512511e-01
98,1,3,5.0990312151384742e-01
98,2,1,7.5319337180144563e-01
98,2,2,6.7126878184977878e-01
98,2,3,8.1719997918758724e-01
98,3,1,9.0912302081672902e-01
98,3,2,8.1296533087581946e-01
98,3,3,9.6413607681960922e-01
99,0,1,9.8947292866560753e-03
99,0,2,4.1085700108318066e-03
99,0,3,8.7545740517279771e-03
99,1,1,4.9705499248486196e-01
99,1,2,4.8180873876941616e-01
99,1,3,4.8259643310199185e-01
99,2,1,7.3081417393546877e-01
99,2,2,6.9963826184573108e-01
99,2,3,6.9839083601694518e-01
99,3,1,8.9128889785336696e-01
99,3,2,8.7121222554761335e-01
99,3,3,8.3265164443978601e-01
100,0,1,-7.8081566121491960e-03
100,0,2,6.2744887847763046e-03
100,0,3,-9.3549436521934131e-03
100,1,1,4.7049417376205238e-01
100,1,2,4.9240780052461308e-01
100,1,3,4.6602066953271809e-01
100,2,1,6.9152512149738088e-01
100,2,2,7.4093726471922272e-01
100,2,3,6.5892692420753740e-01
100,3,1,8.1254673137491884e-01
100,3,2,8.7154428214773727e-01
100,3,3,8.4485067813826831e-01
