T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status
1,0,100,0.010267105774200373,0.00015697909661821778,3.681486143704668e-05,1.528951781257398,2.0,ok
1,1,100,0.4983495968789391,0.00024050848857567334,5.6404240259332575e-05,0.048260997918314466,2.0,ok
1,2,100,0.7271364170840251,0.0004278082887642124,0.00010032993699013774,0.05883466688132834,2.0,ok
1,3,100,0.8700035749606094,0.0007335438500077997,0.0001720312817299069,0.08431503859521633,2.0,ok
1,4,100,0.9793979278410692,0.0010076652162662487,0.00023631844055005486,0.10288619034425468,2.0,ok
1,5,100,1.0752158932774676,0.0013337440841668035,0.0003127907135973621,0.12404430519542374,2.0,ok
1,6,100,1.166444534385764,0.0016954505553334314,0.00039761840023686565,0.14535200820553684,2.0,ok
2,0,100,0.002934579360501857,0.00015848475312294226,3.36196930943725e-05,5.400595235422053,2.0,ok
2,1,100,0.4848101582831369,0.0002710599281844814,6.356918795065493e-05,0.055910529833860884,2.0,ok
2,2,100,0.7095782988420127,0.0003653312749643423,5.776394646902856e-05,0.051485688832443165,2.0,ok
2,3,100,0.8499716214870996,0.0009543445106369486,0.00022381362664962613,0.11227957340119656,2.0,ok
2,4,100,0.9570746559150238,0.00127852593699407,0.00023919030081679687,0.13358685543414775,2.0,ok
2,5,100,1.0524017949058337,0.0016806598355176773,0.0003144226644109498,0.1596975455242414,2.0,ok
2,6,100,1.1402634426734766,0.00280860783451596,0.00059579569364397,0.24631218799147514,2.0,ok
3,0,100,0.0010385735598274913,0.00011966234396226276,1.8920277853762403e-05,11.521797645430032,2.0,ok
3,1,100,0.4810381914553206,0.00022279027282472882,2.728612440380195e-05,0.0463144666644253,2.0,ok
3,2,100,0.7038813865260903,0.000843309227250349,0.0001788929019677727,0.11980842843598771,2.0,ok
3,3,100,0.8447523480468945,0.0012145752243387922,0.00014875447769282244,0.14377885153523928,2.0,ok
3,4,100,0.949178495950437,0.0014698099533378846,0.00023239735900667605,0.15485074299603954,2.0,ok
3,5,100,1.045138135706251,0.0026167546375476447,0.0004895499659477556,0.2503740460852455,2.0,ok
3,6,100,1.1211821112889826,0.005600594638292193,0.0011880655342240286,0.4995258648796485,2.0,ok
4,0,100,0.0005046669761230306,0.00012118764550381238,1.4842394730681617e-05,24.013389272031258,2.0,ok
4,1,100,0.4800775303771847,0.00042525259074768627,9.020969719045099e-05,0.08857998215696038,2.0,ok
4,2,100,0.7025289587681101,0.0011841416060858843,0.00022153260936988038,0.16855413450319337,2.0,ok
4,3,100,0.8422977280467685,0.0033064740868864978,0.0007014090745965121,0.39255407877615767,2.0,ok
4,4,100,0.9467271472223386,0.004636883893293735,0.0005678999767549766,0.4897803878232683,2.0,ok
4,5,100,1.027266832551244,0.0068975881532072885,0.0008447785715612007,0.6714504873166155,2.0,ok
4,6,100,1.1166084281950515,0.011993838002406151,0.0014689391581748472,1.0741310650676053,2.0,ok
5,0,100,0.00037733576988433675,0.00016584060597390172,3.889306959393281e-05,43.95040682857504,2.0,ok
5,1,100,0.47892349328476536,0.0006788296203586759,0.0001440015083477728,0.1417407226575639,2.0,ok
5,2,100,0.7000260172165294,0.00230892416277318,0.00028278430267885703,0.3298340498763194,2.0,ok
5,3,100,0.8491329104029447,0.0061826162597663145,0.0009775574639826398,0.7281093670992491,2.0,ok
5,4,100,0.9334382018097038,0.011563539912055179,0.0014162386202421526,1.2388115131388837,2.0,ok
5,5,100,1.0296027464846373,0.018739410930132958,0.0022950997429579826,1.8200622515931262,2.0,ok
5,6,100,1.1542382102383764,0.039550871039388306,0.0062535417964029085,3.426577866558425,2.0,ok
6,0,100,2.8592934749702853e-05,0.0001226658459103203,1.939517320939313e-05,429.0075397440449,2.0,ok
6,1,100,0.47844261905296537,0.0008846655974743636,0.00016550577838073675,0.18490526601193694,2.0,ok
6,2,100,0.6987788780159423,0.004068994609282961,0.0004983480279439329,0.5823007445268157,2.0,ok
6,3,100,0.8349477798542004,0.013226757314320093,0.001619940318585472,1.5841418629353998,2.0,ok
6,4,100,0.9032187812873369,0.028498669584387806,0.003490359941496243,3.1552343878156863,2.0,ok
6,5,100,0.9975531194074794,0.055945017939668835,0.0088456840214167,5.60822444953094,2.0,ok
6,6,100,1.209489866943553,0.11816691147370144,0.014472431879559974,9.769979451941643,2.0,ok
7,0,100,-1.0478526503747672e-05,0.00011794380789695106,1.864855344338596e-05,1125.576271193933,2.0,ok
7,1,100,0.47864713110197166,0.001359285227388382,0.00016647776110022708,0.2839848270392742,2.0,ok
7,2,100,0.6935414326028372,0.009215894673020981,0.001724136018951979,1.328816742560577,2.0,ok
7,3,100,0.8437470645897027,0.030190651120622778,0.0036975845123955477,3.578163692374312,2.0,ok
7,4,100,0.7235086321427593,0.05716220077683922,0.012125933939054985,7.900693680398308,2.0,ok
7,5,100,1.0874408754159073,0.18024164835969608,0.022075003443970394,16.574845808583394,2.0,ok
7,6,100,1.4371430811654355,0.5119698519843008,0.08094954128048332,35.62413921716997,2.0,ok
