dx,rho_S_tau4,err_tau4,rho_S_tau6,err_tau6,delta_tau6_minus_tau4,pull
-2,-0.0011459986363382,0.0004790410294543,0.0064758373314754,0.0041450930986624,0.0076218359678136005,1.8266034946343417
-1,-0.0060875848035537,0.0004483686927575,-0.0069605492294697,0.0045322944236524,-0.0008729644259159999,-0.19167418178762227
0,-0.0107944006546166,0.0005267227814153,-0.0102982258983668,0.0041437037799631,0.0004961747562497992,0.11878602499968795
1,-0.0147617613197844,0.0004789265135665,-0.0119131126274489,0.0037215325679694,0.0028486486923355,0.7591896625188851
2,-0.0076364939850956,0.0004459430064586,-0.0117369210226995,0.0041815531952365,-0.004100427037603899,-0.9750698715687007
3,-0.0068665281951805,0.0004126899224441,-0.0116160664227546,0.003959083484684,-0.0047495382275741,-1.193191068139908
4,-0.0082294196941069,0.0004719924829779,-0.0127421376054233,0.0040221272317164,-0.0045127179113164,-1.1143265995471623
5,-0.0156361591553206,0.0004728804891666,-0.0156478755914461,0.0041474906387372,-1.171643612549872e-05,-0.0028067612055475044
6,-0.0101697090137151,0.0004636588359204,-0.0165682310285762,0.0038216610257867,-0.0063985220148611004,-1.6620898762902816
7,-0.0066471897245023,0.0004607176154509,-0.0041267012968051,0.0049551177022599,0.0025204884276972,0.5064791561870653
8,-0.0009706220644023,0.000445134777399,0.0057006234039389,0.0042446782904245,0.0066712454683412,1.5631012215321543
