R,fit_window,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude
1,3-5,3,5,3,0.4815517118587157,0.001265547350437947,0.0012655473504379186,1.0443267367076154,2,0.5221633683538077,0.5932357712547514,3,3.6838038942881832,0.5438142568644647
2,3-5,3,5,3,0.6968944896227726,0.003997810473075704,0.00399781047307569,0.05113839857689841,2,0.025569199288449206,0.9747549242846871,3,10.863494690082259,0.6594982040914138
3,3-5,3,5,3,0.8342234859158046,0.0073392715643333046,0.007339271564333306,1.9438680448720058,2,0.9719340224360029,0.3783505915149726,3,19.02712349898844,0.6836042508349524
4,3-5,3,5,3,0.9243324315387739,0.011325811353236985,0.011325811353237014,0.5051842772649773,2,0.25259213863248864,0.7767846376676919,3,29.174488947431687,0.7645892931795841
