R,fit_window,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude
1,3-5,3,5,3,0.48049377597159376,0.0005062001326683105,0.0005062001326683334,0.3244130413905538,2,0.1622065206952769,0.8502655889661286,3,4.1146795310743345,0.45599035404790267
2,3-5,3,5,3,0.7022607175367254,0.0013934995882821965,0.0013934995882821483,3.3897124166439068,2,1.6948562083219534,0.18362563096709192,3,16.759040195687778,0.7113346918265344
3,3-5,3,5,3,0.8365061122950331,0.002918914708154064,0.0029189147081540526,2.9881160592027123,2,1.4940580296013561,0.22445993979819104,3,23.30652144326394,0.7295114637453439
4,3-5,3,5,3,0.9381153976082581,0.004887911784138985,0.004887911784139093,0.582385689508081,2,0.2911928447540405,0.7473715374398462,3,30.885265030434773,0.7504051635131266
