dx,rho_S_tau4,err_tau4,rho_S_tau6,err_tau6,delta_tau6_minus_tau4,pull
-2,-0.0007351582663788,0.0006489160463448,0.0040661102073443,0.007280205508584,0.0048012684737231,0.6568919673325372
-1,-0.0069113558514573,0.0006011807411654,-0.0006902992067725,0.0075805848036299,0.0062210566446847994,0.818087977438449
0,-0.0104557493711168,0.000608891257586,-0.003102101244512,0.0079023014172123,0.0073536481266048,0.9278202507974188
1,-0.0156434857840771,0.0006874337328739,-0.0130954516391614,0.0067733054608151,0.0025480341449157003,0.37426506208838045
2,-0.008090329810086,0.0006764541767081,-0.0142474988976521,0.0075373331962468,-0.006157169087566099,-0.8136195000827603
3,-0.0068417111919892,0.0006706308698176,-0.0132469047805293,0.0077334842737671,-0.0064051935885400995,-0.8251449003472596
4,-0.0060392909171325,0.0006107543389309,0.0010531934572445,0.0078134270869844,0.007092484374377,0.9049697540212349
5,-0.0075115163281923,0.0006243814407884,-0.0159223437308054,0.0081060026822087,-0.008410827402613102,-1.0345403029283913
6,-0.0142418295791974,0.0006659853701339,-0.0182138079081709,0.0073308286119976,-0.003971978328973502,-0.5395963409213916
7,-0.0088873544349205,0.0006936686648519,-0.0004088792321869,0.0065074145335819,0.0084784752027336,1.2955547869975326
8,-0.0053983864162308,0.0006390433319492,-0.0042110641588074,0.0081803415093891,0.0011873222574233996,0.14470249854761216
9,-0.0023978412094305,0.000743221972082,-0.0126251311960222,0.0066838928323651,-0.0102272899865917,-1.5207668212562955
