R,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude,selected_common_window
1,1,3,3,0.48931019835642076,0.0002907902211603191,0.0002907902211603267,437.1895768625132,2,218.5947884312566,1.1627587370010499e-95,3,2.85641994480787,0.40251550617166165,False
1,1,4,4,0.4888055304180497,0.000283374138692443,0.0002833741386924616,497.00327409442565,3,165.66775803147522,2.1286348930636222e-107,4,4.656736972110146,0.3716978434795273,False
1,1,5,5,0.488151984466404,0.00027803367150464595,0.0002780336715046983,639.4638042944289,4,159.86595107360722,4.4498089885094035e-137,5,11.489938789382062,0.3526996993278288,False
1,1,6,6,0.4876341160063268,0.00026911198827344793,0.0002691119882734626,694.4038689010252,5,138.88077378020506,7.965768365482192e-148,6,27.312089169311548,0.3458717528027552,False
1,1,7,7,0.48760780434304757,0.00026761695665298554,0.0002676169566530149,695.2666313020185,6,115.87777188366975,6.433993783754271e-147,7,55.47763757384375,0.3315060742053272,False
1,2,4,3,0.4834847446173332,0.00037717006783138,0.00037717006783135124,40.05643862565439,2,20.028219312827193,2.0038022969095543e-09,3,4.127469233168895,0.5839277693726572,False
1,2,5,4,0.48305412779788187,0.000348294397323749,0.0003482943973237792,48.90828270974001,3,16.302760903246668,1.36444115397164e-10,4,9.931246130358012,0.49554953227861787,False
1,2,6,5,0.4828025684378348,0.0003299588591889721,0.00032995885918899674,53.9968487370943,4,13.499212184273574,5.2706826561067357e-11,5,23.95338612053223,0.4692662754073048,False
1,2,7,6,0.48276988953467537,0.0003298171698526529,0.00032981716985271885,65.42040287175051,5,13.084080574350102,9.1682780862131e-13,6,50.60958109925281,0.4649924075387813,False
1,3,5,3,0.48049377597159376,0.0005062001326683105,0.0005062001326683334,0.3244130413905538,2,0.1622065206952769,0.8502655889661286,3,4.1146795310743345,0.45599035404790267,True
1,3,6,4,0.48031679958029894,0.00047569469452950913,0.0004756946945295436,1.3700680723895577,3,0.4566893574631859,0.7125656930771535,4,9.823222725619113,0.411873141375475,False
1,3,7,5,0.48020370068511403,0.00046172062508865075,0.00046172062508861747,2.3465445394297575,4,0.5866361348574394,0.6723082894502964,5,19.917359267209477,0.38747075012458,False
1,4,6,3,0.48043090285164775,0.0006500049868817491,0.0006500049868817703,1.3037165919628824,2,0.6518582959814412,0.5210765620147797,3,6.817981704695484,0.5578628461751497,False
1,4,7,4,0.48021597201797456,0.0006149549653341192,0.0006149549653341375,2.345631809056234,3,0.7818772696854114,0.5038354705459178,4,13.929071040212778,0.5092330916735345,False
1,5,7,3,0.4793588707164538,0.0010297538985229138,0.00102975389852292,1.2688253661432003,2,0.6344126830716001,0.5302468198169981,3,5.683016395616698,0.5804984725831541,False
2,1,3,3,0.7170316282352351,0.0006360882336047697,0.0006360882336047645,259.99605230141475,2,129.99802615070737,3.4879848059789516e-57,3,3.74599622066397,0.492778682556541,False
2,1,4,4,0.7166907991818486,0.0006313253037675113,0.0006313253037674748,279.23940284512923,3,93.07980094837642,3.09321085805206e-60,4,15.651539860807548,0.47679776035201576,False
2,1,5,5,0.7163785356145104,0.0006278418110970462,0.0006278418110971068,301.46965350802066,4,75.36741337700516,5.22133770352612e-64,5,62.27240739246827,0.4658614234281798,False
2,1,6,6,0.7163343586545877,0.0006266916825732321,0.000626691682573246,302.822233682402,5,60.5644467364804,2.4767559866959845e-63,6,251.63574942347566,0.4636297657152611,False
2,1,7,7,0.7163264751422184,0.0006247160596285776,0.0006247160596285338,302.8473720230921,6,50.47456200384868,2.0073465333342143e-62,7,833.2763341979754,0.46431572995937676,False
2,2,4,3,0.7073971344288021,0.0008557086053893027,0.0008557086053893377,20.380802511671444,2,10.190401255835722,3.7528824915876944e-05,3,11.080578087825433,0.6582777560890976,False
2,2,5,4,0.7071356051330165,0.000836936272112913,0.0008369362721129182,22.53336903392744,3,7.511123011309146,5.051529535058276e-05,4,43.85271556819878,0.6331729558271675,False
2,2,6,5,0.7071358063983032,0.0008334396320821199,0.0008334396320819949,22.533375969344835,4,5.633343992336209,0.00015691588032922937,5,177.18134567645996,0.6272777810032388,False
2,2,7,6,0.7071182008130233,0.0008324436046562046,0.0008324436046561202,22.720179499707083,5,4.5440358999414165,0.0003817783533162438,6,584.6136046945738,0.6277900705696303,False
2,3,5,3,0.7022607175367254,0.0013934995882821965,0.0013934995882821483,3.3897124166439068,2,1.6948562083219534,0.18362563096709192,3,16.759040195687778,0.7113346918265344,True
2,3,6,4,0.7023940638009057,0.0013751184879847677,0.0013751184879847366,3.7391158363173282,3,1.2463719454391093,0.29104784867755046,4,67.8167654407128,0.6976897632712062,False
2,3,7,5,0.702385236909139,0.001375016536316496,0.0013750165363164472,4.01700220845694,4,1.004250552114235,0.4037097412407574,5,230.65637416508386,0.6957537411142194,False
2,4,6,3,0.7058831160551232,0.0027756591199219614,0.00277565911992198,1.645052710495211,2,0.8225263552476055,0.43932037202265395,3,16.815551745170875,0.7098586425418213,False
2,4,7,4,0.7049488806057173,0.0026221914539959457,0.0026221914539959375,2.69865071386079,3,0.8995502379535966,0.4404566401063773,4,56.410072153173154,0.6650612856259087,False
2,5,7,3,0.6992586078807845,0.005274779056335168,0.0052747790563352015,1.1529126127699265,2,0.5764563063849633,0.5618859945243098,3,14.189325648246092,0.6765814523397575,False
3,1,3,3,0.8591448829610216,0.0010661079752333831,0.0010661079752334402,160.77849020250744,2,80.38924510125372,1.2229098643482513e-35,3,6.502945181129564,0.5575018676371327,False
3,1,4,4,0.8587562071195702,0.0010579228382677699,0.0010579228382677594,169.4678610193584,3,56.4892870064528,1.657851681097945e-36,4,23.06147512816613,0.5481432916757923,False
3,1,5,5,0.8589607469695695,0.0010416621500473598,0.0010416621500473771,170.6932768442267,4,42.67331921105667,7.424570217340467e-36,5,151.66098855260816,0.5515425166666809,False
3,1,6,6,0.8589927104822468,0.0010413980526369176,0.0010413980526368534,172.55040997044176,5,34.51008199408835,2.083895644879109e-35,6,783.2523805267424,0.5518298874154278,False
3,1,7,7,0.8591926783649299,0.0010261324769459805,0.0010261324769458315,173.81734801697684,6,28.969558002829473,6.968384497682542e-35,7,5274.66657580702,0.5611326831289387,False
3,2,4,3,0.8453435662603266,0.0015120233956347198,0.0015120233956346834,15.314669913834527,2,7.657334956917263,0.0004725651405583372,3,12.047855698825973,0.6819554329546916,False
3,2,5,4,0.8454390778536368,0.001505005615614478,0.001505005615614439,15.745526705263941,3,5.248508901754647,0.0012786636655400384,4,77.4795330071603,0.6721152186674252,False
3,2,6,5,0.8454361500290773,0.001505003090947049,0.0015050030909470869,16.873550294080744,4,4.218387573520186,0.002045402185645685,5,400.56490250066605,0.6720441224862916,False
3,2,7,6,0.8454257058847988,0.0015035862331475172,0.0015035862331475172,16.8991394847329,5,3.37982789694658,0.004695107623829676,6,2596.0225279385227,0.6696726082808526,False
3,3,5,3,0.8365061122950331,0.002918914708154064,0.0029189147081540526,2.9881160592027123,2,1.4940580296013561,0.22445993979819104,3,23.30652144326394,0.7295114637453439,True
3,3,6,4,0.836333075802059,0.0029088934318064192,0.0029088934318064843,3.5007969434725394,3,1.1669323144908466,0.32065877461880893,4,121.14435589410098,0.7301181499958489,False
3,3,7,5,0.8364635985012223,0.0028817255997684015,0.0028817255997682792,3.6090878814815857,4,0.9022719703703964,0.4614862576959341,5,792.5371473663091,0.7278983740644199,False
3,4,6,3,0.842596707256552,0.005827836479875379,0.00582783647987545,1.9623665150717964,2,0.9811832575358982,0.3748672717980137,3,35.11343400098331,0.8392555740074854,False
3,4,7,4,0.8427628797537248,0.00579772407927209,0.00579772407927203,2.0412450817560197,3,0.6804150272520065,0.5638904149956474,4,227.44925249058429,0.8303970958268164,False
3,5,7,3,0.8621087138842759,0.014775551619692691,0.014775551619692713,0.014961548560909362,2,0.007480774280454681,0.9925471370685957,3,33.962201178463836,0.8072173287456126,False
4,1,3,3,0.968182727748369,0.0015163741741924415,0.001516374174192467,77.58655149154272,2,38.79327574577136,1.42001982832867e-17,3,8.831669112376641,0.5919974701164813,False
4,1,4,4,0.9673962976259884,0.0015017422011214408,0.001501742201121501,91.59149639764722,3,30.53049879921574,9.969955703142682e-20,4,38.49051690010504,0.577945762862328,False
4,1,5,5,0.9672574564857903,0.0014977539410225228,0.0014977539410226197,93.20290085948425,4,23.30072521487106,2.747055385621286e-19,5,268.227094762474,0.5757478508621788,False
4,1,6,6,0.9669352188643714,0.0014622384293351014,0.0014622384293350972,94.19064353651216,5,18.83812870730243,8.837910790820793e-19,6,1396.1278812775117,0.5671825304525059,False
4,1,7,7,0.9670010678735094,0.0014618598877275822,0.0014618598877278405,98.10799822724573,6,16.351333037874287,6.225005590111795e-19,7,6145.815440710569,0.5673214042200513,False
4,2,4,3,0.952039716220403,0.0022694542766176075,0.0022694542766176413,10.137656755526939,2,5.068828377763469,0.006289785077556661,3,18.80636238523286,0.7250647302864536,False
4,2,5,4,0.9518857784393564,0.002259747641479161,0.002259747641479225,10.676670769049924,3,3.5588902563499745,0.01360910513926856,4,131.10741994592237,0.7169198294097312,False
4,2,6,5,0.9517551036251782,0.002213623250189116,0.002213623250189108,10.759430339368365,4,2.689857584842091,0.029404965698970515,5,701.007733835333,0.7190239490943273,False
