model,fit_label,Rmin,Rmax,n_points,n_parameters,covariance_rank,covariance_condition,normal_condition,chi2,dof,chi2_per_dof,p_value,V0,err_V0,sigma,err_sigma,alpha,err_alpha,a_sqrt_sigma,err_a_sqrt_sigma,status
cornell,R1-6,1,6,6,3,6,524.3536276819804,1412.4444096942048,3.327450729450115,3,1.1091502431500384,0.34384025234202426,0.6645795663917289,0.008224310436602246,0.08645922916141557,0.0023721372819008996,0.2705220344844431,0.006043846882665782,0.2940395027227049,0.004034848634417701,ok
cornell,R1-5,1,5,5,3,5,249.87652826134757,1561.4878694151619,3.1115393549832207,2,1.5557696774916103,0.21102689746529796,0.6633092220965334,0.008666806084298923,0.08685855995728461,0.0025230145860178775,0.2696674507436114,0.006317479987892849,0.29471776321980425,0.004282722317732609,ok
cornell,R1-4,1,4,4,3,4,101.67654622959866,2323.4460326850476,2.5446204256427425,1,2.5446204256427425,0.1106705047795606,0.6678956704212791,0.010593323124773828,0.08550693212665827,0.003096466586670959,0.2728923187000931,0.0076324916131403145,0.2924156837904873,0.005296229362645295,ok
cornell,R2-6,2,6,5,3,5,77.68174271291203,7835.894965437536,2.726191895024934,2,1.363095947512467,0.2558673974239937,0.6859309289865204,0.02873760001091371,0.08310723049509514,0.004930955288114489,0.30032408018965856,0.03890628196896594,0.2882832469899962,0.00855352179417989,ok
cornell,R2-5,2,5,4,3,4,36.96358247256454,13483.151851680714,2.725754792654887,1,2.725754792654887,0.09874143236012733,0.6864591920150245,0.038265983789595684,0.08301282941800192,0.0066859657205192045,0.30100872870503625,0.05085358746814496,0.28811947073740424,0.01159807138425761,ok
cornell,R3-6,3,6,4,3,4,17.976749255883668,69127.64508694751,1.338743162560796,1,1.338743162560796,0.2472557356730279,0.5760465607433991,0.09761437992833528,0.0962811518544241,0.012222995194070909,0.08518819521513166,0.18674145787512958,0.31029204284741835,0.019693809029422155,ok
linear,R3-6,3,6,4,2,4,17.976749255883668,144.20254175700268,1.5468456852476633,2,0.7734228426238317,0.46143095664988476,0.5317185414020027,0.00928624027481917,0.10170873235413391,0.0028005992212880816,,,0.31891806526776423,0.004390534544980106,ok
linear,R3-5,3,5,3,2,3,8.444109251856752,208.68221577347848,0.374362297951205,1,0.374362297951205,0.5406359910775349,0.5249605550665347,0.011188659139023602,0.10374812852280946,0.0033750028755697324,,,0.32209956305901666,0.005239172078980523,ok
linear,R4-6,4,6,3,2,3,6.839176422057309,415.65055116499326,1.5112687282586619,1,1.5112687282586619,0.21894559173158806,0.535226596808298,0.020788098339726616,0.10098071478574415,0.004768742849806802,,,0.31777462892078745,0.007502577283976959,ok
