T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status
1,0,100,0.009785879737605354,0.0003693608906528378,5.8401084652568225e-05,3.7744270372897706,2.0,ok
1,1,100,0.4977756748511606,0.0005129740351916663,6.282623187580419e-05,0.10305325493156132,2.0,ok
1,2,100,0.7264195953849683,0.0009300855853362937,0.00017400308003527544,0.12803696255514582,2.0,ok
1,3,100,0.869986150468662,0.001423992649461502,0.00026640463077847126,0.16367992165098216,2.0,ok
1,4,100,0.9790821427536076,0.0020190797102418,0.000377735225615581,0.2062216868304087,2.0,ok
2,0,100,0.0033969215934051885,0.00037307885570836354,5.898894654438702e-05,10.9828515451361,2.0,ok
2,1,100,0.4857195602262138,0.000531728522969894,8.407366147310125e-05,0.10947233064327336,2.0,ok
2,2,100,0.7101035120195777,0.0010805661779392686,0.00017085251424154394,0.15217023428965623,2.0,ok
2,3,100,0.8502666785234455,0.0019896384982374983,0.00024367995466396394,0.2340017018769524,2.0,ok
2,4,100,0.9571813869680814,0.002876080453873989,0.0003522464785591762,0.3004739219787917,2.0,ok
3,0,100,0.001054882346640364,0.0004170620244253953,5.107945754671965e-05,39.53635452841475,2.0,ok
3,1,100,0.48015726140143833,0.0007999958679097637,9.797908363569461e-05,0.16661121932735332,2.0,ok
3,2,100,0.7008143055123909,0.001744664445102284,0.00021367688314382748,0.24894817805220115,2.0,ok
3,3,100,0.8341414682634378,0.0037342044103076703,0.0006986056757775763,0.4476703955363525,2.0,ok
3,4,100,0.9401848115350065,0.00653512312936546,0.0012226095865233754,0.6950892047166551,2.0,ok
4,0,100,0.0006176796721808058,0.0003629996637205968,5.739528636161387e-05,58.76827100995163,2.0,ok
4,1,100,0.4808566399825244,0.0011208483936303649,0.00020969153357403806,0.23309408676796048,2.0,ok
4,2,100,0.7081735484677993,0.0035430296876706635,0.00043393074391627885,0.5003052846772298,2.0,ok
4,3,100,0.838952803429067,0.006659871898729752,0.0008156643952094227,0.7938315327761867,2.0,ok
4,4,100,0.9297531174003407,0.01216535828421768,0.0014899460167236785,1.3084503893068873,2.0,ok
5,0,100,0.00028292778712412514,0.00035220262706952947,5.568812497172939e-05,124.48498984478054,2.0,ok
5,1,100,0.4806330846601883,0.0015525941387057693,0.00019015317087325324,0.32303105804783844,2.0,ok
5,2,100,0.6977573138796535,0.0070236377615781895,0.0008602164327005188,1.0066018115274962,2.0,ok
5,3,100,0.861728246370484,0.01781251818107383,0.0028164064157676434,2.0670690854220495,2.0,ok
5,4,100,0.9432678404638611,0.03231673092151984,0.005109723812139744,3.426039724372218,2.0,ok
6,0,100,-2.918338894355886e-05,0.0003682101255168335,4.509634628211951e-05,1261.7113325287812,2.0,ok
6,1,100,0.4778486030405269,0.003542291354787793,0.0008307409598191476,0.7412999289415871,2.0,ok
6,2,100,0.7118811787292124,0.014159602697783857,0.0017341900785053286,1.989040182669295,2.0,ok
6,3,100,0.8658732340826367,0.0665406220271463,0.016964596508151047,7.684799507360201,2.0,ok
6,4,100,0.9105443971576467,0.08197400110009848,0.015335931336979934,9.002746198426825,2.0,ok
7,0,100,0.0005932154212305981,0.0003189723928848176,5.9674270500721884e-05,53.77007769338229,2.0,ok
7,1,100,0.477117883990498,0.003491613719275254,0.0004276335995562879,0.7318136327383593,2.0,ok
7,2,100,0.6802980675958655,0.026205040207902604,0.004902514113230346,3.851993920916124,2.0,ok
7,3,100,0.8555746785159373,0.09754357192935413,0.011946598945769304,11.400941890724402,2.0,ok
7,4,100,0.6888783904416297,0.20543382071718513,0.04357909431425492,29.82149296125904,2.0,ok
