R,T,Ncfg,Veff,err_pyerrors,relative_err_percent,status,err_jackknife,relative_err_jackknife_percent,n_valid_jackknife,jackknife_status,reliability,mean_Re,sem_Re,relative_err_Re_percent,nonpositive_configs,region
2,2,100,0.7101035120195777,0.0010805661779392,0.1521702342896561,ok,0.0010598186165443,0.1492484685127332,100,ok,good,3.642379019440747e-08,3.5544528096960383e-11,0.0975860225068447,0,validated_R1-6
2,3,100,0.7008143055123909,0.0017446644451022,0.2489481780522008,ok,0.0017277840085513,0.2465394891287319,100,ok,good,1.790569154839121e-08,2.430111134660056e-11,0.1357172454407881,0,validated_R1-6
2,4,100,0.7081735484677993,0.0035430296876706,0.5003052846772298,ok,0.0035080969525645,0.4953724916942541,100,ok,good,8.88446566137514e-09,1.9841783437217743e-11,0.2233311961965153,0,validated_R1-6
2,5,100,0.6977573138796535,0.0070236377615781,1.0066018115274964,ok,0.0069553579642004,0.9968162032623428,100,ok,good,4.3759812130163904e-09,1.7983746986922527e-11,0.4109649039038315,0,validated_R1-6
2,6,100,0.7118811787292124,0.0141596026977838,1.9890401826692956,ok,0.0140221432638771,1.9697308599882093,100,ok,good,2.177926893463281e-09,1.6209075359794338e-11,0.7442433172777027,0,validated_R1-6
2,7,100,0.6802980675958653,0.0262050402079025,3.8519939209161222,ok,0.0251795023354332,3.7012456061232286,100,ok,good,1.068752712540514e-09,1.6054389302370418e-11,1.5021612683637362,0,validated_R1-6
2,8,100,0.6690478844185327,0.0806409947897451,12.053097643351787,ok,0.0548047156789609,8.191448916483992,100,ok,marginal,5.412869206712072e-10,1.3750245673457495e-11,2.540287811943969,0,validated_R1-6
2,9,100,0.5170568302419809,0.0858719306002977,16.607832171970326,ok,0.0834766601858859,16.144581272975188,100,ok,marginal,2.7724500401456343e-10,1.669025392943797e-11,6.0200377600172175,4,validated_R1-6
3,1,100,0.869986150468662,0.0014239926494615,0.1636799216509823,ok,0.0013835603562617,0.1590324576450399,100,ok,good,5.88996800907079e-08,6.057313827690955e-11,0.1028412008072445,0,validated_R1-6
3,2,100,0.8502666785234454,0.0019896384982374,0.2340017018769526,ok,0.0019701772813344,0.2317128650455699,100,ok,good,2.4676453979148512e-08,3.841454907651996e-11,0.1556728900715641,0,validated_R1-6
3,3,100,0.8341414682634378,0.0037342044103076,0.4476703955363524,ok,0.0034676029435777,0.4157092142651549,100,ok,good,1.0544272592213806e-08,2.744253704176981e-11,0.2602601251226582,0,validated_R1-6
3,4,100,0.838952803429067,0.0066598718987297,0.7938315327761865,ok,0.0065950002242785,0.7860990746228709,100,ok,good,4.5788201784859874e-09,1.8040868386396918e-11,0.3940069206291092,0,validated_R1-6
