cfg,T,R,Nsrc,Re,Im
7,1,2,13824,7.419709093044404e-08,-1.3116120385994885e-09
7,1,3,13824,5.784533270609285e-08,-1.4216963169397253e-09
7,1,4,13824,4.5203663123915806e-08,-1.4134122540166136e-09
7,2,0,13824,1.7601804389980543e-07,0.0
7,2,1,13824,6.198239649129643e-08,1.4308971720701992e-10
7,2,2,13824,3.632853816932548e-08,-4.2305178605930604e-10
7,2,3,13824,2.384411050175451e-08,-1.8852926209345437e-10
7,2,4,13824,1.7014468296310227e-08,-2.9178513453846586e-10
7,3,0,13824,1.745724742480777e-07,0.0
7,3,1,13824,3.8069235875517574e-08,-1.3679637052915725e-10
7,3,2,13824,1.803083335334398e-08,-7.746546078189157e-10
7,3,3,13824,9.911178754654737e-09,-5.721040635722797e-10
7,3,4,13824,6.361080231169831e-09,-5.487643662408796e-10
7,4,0,13824,1.7483339201845638e-07,0.0
7,4,1,13824,2.3897338848524348e-08,8.840132594533657e-10
7,4,2,13824,9.130915060974208e-09,-3.594892034512912e-10
7,4,3,13824,4.708851296055313e-09,-7.069318179184329e-11
7,4,4,13824,2.977944024656971e-09,-2.5710241531363326e-10
7,5,0,13824,1.7421925148064775e-07,0.0
7,5,1,13824,1.4906495533220515e-08,2.9702015950967733e-10
7,5,2,13824,4.041729083722635e-09,-3.156203698501542e-10
7,5,3,13824,1.7093874356763433e-09,1.942771024337976e-10
7,5,4,13824,1.130707191915317e-09,1.4913800774026557e-10
7,6,0,13824,1.7281888270279287e-07,0.0
7,6,1,13824,9.525936236781602e-09,5.035587883730308e-10
7,6,2,13824,2.2876304695696714e-09,-9.528707773897067e-11
7,6,3,13824,1.1548005672761458e-09,6.510948063352519e-11
7,6,4,13824,1.0247609528587066e-09,1.0292231222089726e-10
7,7,0,13824,1.7543944553294518e-07,0.0
7,7,1,13824,6.628803481196008e-09,9.205585925756845e-10
7,7,2,13824,1.2531753518983117e-09,-1.6534087378056314e-10
7,7,3,13824,1.501708700274968e-10,2.9961242994325705e-10
7,7,4,13824,1.7332470424792723e-10,6.944783128541385e-11
7,8,0,13824,1.7403151213659334e-07,0.0
7,8,1,13824,4.011719408370402e-09,2.022558744255746e-10
7,8,2,13824,8.87378612925314e-10,2.2762412113201984e-10
7,8,3,13824,7.790958999328684e-11,5.499378157876299e-10
7,8,4,13824,-2.6610195705666596e-10,2.773245150090066e-10
8,1,0,13824,1.8100809462216775e-07,0.0
8,1,1,13824,1.0598469585269265e-07,2.9897769949539835e-10
8,1,2,13824,7.842121566191196e-08,8.432547138257613e-10
8,1,3,13824,6.211517517195368e-08,1.2302696109006984e-09
8,1,4,13824,4.9367645691911593e-08,1.5235364917641758e-09
8,2,0,13824,1.7754515017864426e-07,0.0
8,2,1,13824,6.361889944002393e-08,-1.6639025539028982e-10
8,2,2,13824,3.7621333969293835e-08,3.6629379911006823e-10
