cfg,T,R,Nsrc,Re,Im
1,5,4,82944,7.451654827192534e-10,-1.0292847018218813e-10
1,5,5,82944,6.385357800273739e-10,-9.921413392419749e-11
1,5,6,82944,2.7599627850088455e-10,-1.230293372555232e-10
1,6,0,82944,1.7437452876717066e-07,0.0
1,6,1,82944,9.042522548575935e-09,1.2487872752589047e-10
1,6,2,82944,2.139739166528285e-09,-1.5367508711696157e-10
1,6,3,82944,8.32189249303165e-10,-2.5099390023456374e-10
1,6,4,82944,4.658413413368639e-10,1.0193689144465613e-10
1,6,5,82944,9.769164182323212e-11,2.1084122037026478e-10
1,6,6,82944,7.92288143243894e-11,2.8515118396457643e-11
1,7,0,82944,1.744798868504784e-07,0.0
1,7,1,82944,5.6167778904329244e-09,-2.5545427489506113e-10
1,7,2,82944,1.2379880175987681e-09,-2.6195519520742106e-10
1,7,3,82944,9.237541590729331e-12,-3.1569985776079583e-11
1,7,4,82944,1.6703732921385364e-10,9.740988085577401e-11
1,7,5,82944,8.389956140689887e-11,-4.91935114471403e-11
1,7,6,82944,1.4093494429782675e-10,8.533102371355294e-11
1,8,0,82944,1.7462535928886282e-07,0.0
1,8,1,82944,3.4620249579062973e-09,2.594251580033833e-10
1,8,2,82944,4.723397815441081e-10,-2.5504660396594026e-10
1,8,3,82944,5.988979779871445e-11,-8.873557602187138e-11
1,8,4,82944,-3.141742671196982e-11,5.6549339814553184e-11
1,8,5,82944,-4.260720567945461e-11,6.36125149260627e-11
1,8,6,82944,-7.519807774029331e-11,1.0629038506188804e-11
2,1,0,82944,1.7691166226631974e-07,0.0
2,1,1,82944,1.0284916756006587e-07,-4.020742354949684e-10
2,1,2,82944,7.556560153193141e-08,-5.935760685404999e-10
2,1,3,82944,5.91292660086894e-08,-7.129255305486703e-10
2,1,4,82944,4.637362799101393e-08,-7.012893286711931e-10
2,1,5,82944,3.592942890892094e-08,-5.377579427946309e-10
2,1,6,82944,2.7586604621054057e-08,-4.120414840653769e-10
2,2,0,82944,1.758577271185827e-07,0.0
2,2,1,82944,6.26154740960902e-08,-1.692392159047287e-10
2,2,2,82944,3.659257609345439e-08,-2.183348492950644e-11
2,2,3,82944,2.4740393437189734e-08,-3.2956488414202227e-12
2,2,4,82944,1.7241136366633697e-08,2.138477252342807e-11
2,2,5,82944,1.1857817669669344e-08,5.465440311493794e-12
2,2,6,82944,8.291765606592198e-09,-1.0405276422413786e-10
2,3,0,82944,1.7410732711992158e-07,0.0
2,3,1,82944,3.83006571279453e-08,-1.5133674409318763e-10
2,3,2,82944,1.7879865616900152e-08,1.513694145235222e-10
2,3,3,82944,1.0466504833876477e-08,1.8418965411794342e-10
2,3,4,82944,6.593773642543787e-09,1.6186608715048104e-10
2,3,5,82944,4.1379735962184365e-09,1.0530327919985058e-10
2,3,6,82944,2.5493371478372636e-09,2.5839305902031945e-10
2,4,0,82944,1.7486803928957268e-07,0.0
2,4,1,82944,2.372063164535444e-08,-1.396160102606893e-10
2,4,2,82944,8.760685961159945e-09,9.419196626060852e-11
2,4,3,82944,4.632097337580348e-09,6.54388618868253e-11
2,4,4,82944,2.5981243379439152e-09,-2.2030598370300886e-10
2,4,5,82944,1.357428561258228e-09,8.169636217475435e-12
2,4,6,82944,9.228650976516096e-10,-6.559440220775456e-11
2,5,0,82944,1.7318446771303741e-07,0.0
2,5,1,82944,1.453750745599506e-08,2.149558943813832e-10
2,5,2,82944,4.274157449915265e-09,1.2819942018339577e-10
2,5,3,82944,1.9078984773636644e-09,2.5079171342746013e-10
2,5,4,82944,9.774331351428694e-10,7.76562245935349e-11
2,5,5,82944,5.370461910037511e-10,-4.8967979190063263e-11
2,5,6,82944,2.6635584600613803e-10,-2.2834400099460612e-10
2,6,0,82944,1.739776008197824e-07,0.0
2,6,1,82944,8.998536264980906e-09,-1.3420656509744364e-11
2,6,2,82944,1.8783562603173834e-09,1.175108130675336e-10
2,6,3,82944,7.347436195037186e-10,2.6433030071997775e-10
2,6,4,82944,4.3533479804371807e-10,6.278559411536608e-11
2,6,5,82944,2.5258413573542957e-10,-2.062895122722206e-11
2,6,6,82944,-4.933259138584128e-11,-1.6377057006062606e-10
2,7,0,82944,1.7404254955413493e-07,0.0
2,7,1,82944,5.6540211025023006e-09,1.4843581619372422e-10
2,7,2,82944,9.083981691296106e-10,8.919244887549662e-11
2,7,3,82944,2.0344657854447412e-10,1.1027077795654531e-10
2,7,4,82944,1.7131107490430294e-10,-5.4712137211418347e-11
2,7,5,82944,4.01952234107118e-10,-2.4671458393552123e-11
2,7,6,82944,5.773571027020259e-11,-1.3565825995514337e-10
2,8,0,82944,1.7383887993039635e-07,0.0
2,8,1,82944,3.668437747464414e-09,3.880001035075307e-10
2,8,2,82944,4.1902416642734084e-10,6.073541516157991e-12
2,8,3,82944,1.0802634702493814e-10,1.709259137144353e-10
2,8,4,82944,2.663964439659416e-10,-1.4206602639956574e-10
2,8,5,82944,3.0545449490381785e-10,6.772056933541177e-11
2,8,6,82944,-3.1697538732125454e-11,-8.775725706760933e-11
3,1,0,82944,1.7719086864601388e-07,0.0
3,1,1,82944,1.023853030306237e-07,-1.5243704486175396e-10
3,1,2,82944,7.490829476304882e-08,-1.4885927283181596e-10
3,1,3,82944,5.851520327228486e-08,-1.3025459564030496e-10
3,1,4,82944,4.5886236699987525e-08,-2.014964346537689e-10
