model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-6,1,6,1,0.6738043194573695,0.08535873513416094,0.27866495463075586,0.2921621726612823
cornell,R1-6,1,6,2,0.6739051858225673,0.08534678408868186,0.2787555774514554,0.2921417191855382
cornell,R1-6,1,6,3,0.6736573078268486,0.08537916773521037,0.27853147807990414,0.2921971384788194
cornell,R1-6,1,6,4,0.6739958629202077,0.08532681934399405,0.27880647021280625,0.29210754756423885
cornell,R1-6,1,6,5,0.6739338541395768,0.08535730258844328,0.2788152435528976,0.2921597210233527
cornell,R1-6,1,6,6,0.6742637869869348,0.0852407556079906,0.2789922186391979,0.2919601952458427
cornell,R1-6,1,6,7,0.6739871799325773,0.08531226061326233,0.27875433644278225,0.29208262634614596
cornell,R1-6,1,6,8,0.6736466067895344,0.08535698619342533,0.27845334325521864,0.2921591795467418
cornell,R1-6,1,6,9,0.673411170268927,0.08544194224812102,0.27836239285652403,0.2923045368243897
cornell,R1-6,1,6,10,0.6735682816593348,0.08540968970648902,0.27843735601917996,0.2922493622003118
cornell,R1-6,1,6,11,0.6732956934540849,0.08548858970194409,0.27824271580218835,0.292384318495271
cornell,R1-6,1,6,12,0.6739612764186927,0.08531842170560157,0.2787791709686227,0.29209317298697957
cornell,R1-6,1,6,13,0.6741825421027319,0.08526344132959116,0.27889838922526183,0.29199904337102056
cornell,R1-6,1,6,14,0.6734685179216139,0.0854774899693576,0.2784312514310537,0.2923653364702416
cornell,R1-6,1,6,15,0.6740365783473509,0.08529839589163953,0.2788215649995495,0.29205889113608496
cornell,R1-6,1,6,16,0.6744669135997486,0.08519442323660091,0.27912792849355206,0.2918808373919071
cornell,R1-6,1,6,17,0.6742067849480692,0.08526422616754115,0.27895398793309834,0.2920003872729301
cornell,R1-6,1,6,18,0.6744274005950444,0.08520855366042043,0.2791156426844622,0.2919050421976647
cornell,R1-6,1,6,19,0.67382983896796,0.08540244096504421,0.278731023627359,0.29223696029941904
cornell,R1-6,1,6,20,0.6739051369411415,0.08538536950625357,0.27877267578803505,0.2922077505923715
cornell,R1-6,1,6,21,0.6735326048104728,0.08543783171732869,0.27844400941243275,0.29229750549282607
cornell,R1-6,1,6,22,0.6739188627643383,0.0853735708086914,0.2787648596042974,0.29218756100951904
cornell,R1-6,1,6,23,0.6737926428385821,0.08538745996387201,0.27866966070235233,0.29221132757624574
cornell,R1-6,1,6,24,0.6743471714718658,0.08520170478431253,0.27899056592503946,0.29189331061932977
cornell,R1-6,1,6,25,0.6742004075664959,0.08529580894926664,0.27900504020804173,0.29205446229987075
cornell,R1-6,1,6,26,0.674100368131819,0.08524265054796994,0.2788597328497177,0.2919634404304243
cornell,R1-6,1,6,27,0.6740001078186858,0.0852849257166121,0.27877748507610856,0.29203582950831924
cornell,R1-6,1,6,28,0.6746298444067071,0.08515617385536339,0.279254303657578,0.2918153077810748
cornell,R1-6,1,6,29,0.6742853177660701,0.0852201805845427,0.27899956732120995,0.2919249571114856
cornell,R1-6,1,6,30,0.6745742775043698,0.08516011885222927,0.2792317694547461,0.2918220671097874
cornell,R1-6,1,6,31,0.6735623890366157,0.08544965511706769,0.278502093674381,0.2923177297343897
cornell,R1-6,1,6,32,0.673964288250855,0.08528689030180076,0.2787318079329599,0.292039193091956
cornell,R1-6,1,6,33,0.6739026690233716,0.08537213204166061,0.2787682042127691,0.2921850989384308
cornell,R1-6,1,6,34,0.6740165149387445,0.08532651013622082,0.27883682355757466,0.2921070182933317
cornell,R1-6,1,6,35,0.6744431400202133,0.08519271205182011,0.2791000853899557,0.2918779060700212
cornell,R1-6,1,6,36,0.6736106580727969,0.08540970043020864,0.278538959913658,0.2922493805471769
cornell,R1-6,1,6,37,0.6746032703601857,0.08521897811775876,0.27931015492200323,0.29192289755645884
cornell,R1-6,1,6,38,0.6736560501520569,0.08537013530492503,0.2784855781465942,0.29218168201467565
cornell,R1-6,1,6,39,0.6739005055400998,0.08533672014828077,0.2787247771573622,0.29212449426277276
cornell,R1-6,1,6,40,0.6739694232317096,0.08532015954841354,0.27875037281883164,0.29209614778085236
cornell,R1-6,1,6,41,0.6739395304108448,0.08532448972471568,0.278727516914204,0.29210355993160314
cornell,R1-6,1,6,42,0.6736059041166893,0.0854341080995498,0.2785220070408149,0.29229113585524585
cornell,R1-6,1,6,43,0.6745730127982883,0.08514673224756261,0.27916838761914364,0.2917991299636834
cornell,R1-6,1,6,44,0.6740451034344028,0.08525948653976244,0.27883026579580106,0.2919922713699156
cornell,R1-6,1,6,45,0.6737406966513997,0.08536822169089639,0.27859615410199,0.29217840729748734
cornell,R1-6,1,6,46,0.6739514577277749,0.08534032144817773,0.27877690336306726,0.2921306581791403
cornell,R1-6,1,6,47,0.6737061200678686,0.08537837501973009,0.27861489154965974,0.2921957820019483
cornell,R1-6,1,6,48,0.6741334705120505,0.0853136964766934,0.27893251405298775,0.2920850843105368
cornell,R1-6,1,6,49,0.6739632434609705,0.08532529892373991,0.2787633537059231,0.2921049450518425
cornell,R1-6,1,6,50,0.6734799476124179,0.08548141537209451,0.27843924620467586,0.29237204957398805
cornell,R1-6,1,6,51,0.6739694271228222,0.0853366356341317,0.2787875632722357,0.29212434960840167
cornell,R1-6,1,6,52,0.6744461624071644,0.08519211271530683,0.2791260948666632,0.2918768793777726
cornell,R1-6,1,6,53,0.6744328558725682,0.08519739906036031,0.27907901749737846,0.2918859350163353
cornell,R1-6,1,6,54,0.6739375395205341,0.08534664374288772,0.2787636619251731,0.29214147898387816
cornell,R1-6,1,6,55,0.6740400665608887,0.08529536665227923,0.2788102814753583,0.292053705082266
cornell,R1-6,1,6,56,0.6739289283126794,0.08533985510707062,0.27874658185853485,0.2921298600059067
cornell,R1-6,1,6,57,0.6734764169832483,0.0854134258052972,0.2783454201964575,0.2922557541012618
cornell,R1-6,1,6,58,0.673773398817899,0.0853384483263467,0.27858788114405897,0.29212745219569264
cornell,R1-6,1,6,59,0.6737997864016217,0.08542279881019982,0.27870757578374994,0.2922717892821677
cornell,R1-6,1,6,60,0.673896775431251,0.08530882525612014,0.27866151156897023,0.2920767454901539
cornell,R1-6,1,6,61,0.6735075907555776,0.08543803794748502,0.2784384567144189,0.29229785826701676
cornell,R1-6,1,6,62,0.6737977065081021,0.08535892868588346,0.27865997754844873,0.2921625039013108
cornell,R1-6,1,6,63,0.6736904188239834,0.08538430105456324,0.27855497036777105,0.29220592234683274
cornell,R1-6,1,6,64,0.6734163861086276,0.08545480369060424,0.2783626306240076,0.29232653606986186
cornell,R1-6,1,6,65,0.6737491261710977,0.08536235317190888,0.27860865212181907,0.29216836442693256
cornell,R1-6,1,6,66,0.6742413913128117,0.08526095720122687,0.2790044240925849,0.2919947896816429
cornell,R1-6,1,6,67,0.6738983423195447,0.08534592083473605,0.27874710114998413,0.2921402417243062
cornell,R1-6,1,6,68,0.6741707261131215,0.08526581894241746,0.27888691997711107,0.2920031146108162
cornell,R1-6,1,6,69,0.6745523975502794,0.08518222222473774,0.2791941163657893,0.2918599359705572
cornell,R1-6,1,6,70,0.6737118398743759,0.08537472257245343,0.2785978139820019,0.29218953193510105
cornell,R1-6,1,6,71,0.6739845458989117,0.0853535623329401,0.278846233759,0.2921533199074419
cornell,R1-6,1,6,72,0.674200903825975,0.0852557777636002,0.2789228458874392,0.2919859204886431
cornell,R1-6,1,6,73,0.6741448162167679,0.08526958462453765,0.2788683808963293,0.2920095625566698
cornell,R1-6,1,6,74,0.674253932288569,0.08528355345446283,0.27901181490160437,0.29203348002320356
cornell,R1-6,1,6,75,0.6742943470589687,0.08519196292848653,0.2789685901854777,0.29187662278518733
cornell,R1-6,1,6,76,0.6742130005815693,0.08521095461172949,0.27893827471064914,0.29190915472408446
cornell,R1-6,1,6,77,0.6748615726631436,0.08513517770968108,0.2794863187217801,0.291779330504546
cornell,R1-6,1,6,78,0.6741125025739153,0.08529384887253443,0.27889412077112463,0.29205110661069994
cornell,R1-6,1,6,79,0.6742428734182333,0.08524799590345694,0.2789351706678384,0.2919725944390277
cornell,R1-6,1,6,80,0.6736342796789669,0.08538584398749648,0.27851129077230474,0.29220856248148597
cornell,R1-6,1,6,81,0.6746510960020996,0.08518077570031103,0.2792746588387284,0.29185745784596806
cornell,R1-6,1,6,82,0.674165957177304,0.08527248509262629,0.27891171232682116,0.29201452890674173
cornell,R1-6,1,6,83,0.6743436737659224,0.08531671461411602,0.2791173645925673,0.29209025080292567
cornell,R1-6,1,6,84,0.6738561096314529,0.08536614849377203,0.27870311896298733,0.29217485944853644
cornell,R1-6,1,6,85,0.67405002648316,0.08529531283910677,0.27883161870302214,0.29205361295335275
cornell,R1-6,1,6,86,0.6739317487733496,0.08533270600045208,0.27877052599279156,0.29211762357045845
cornell,R1-6,1,6,87,0.6735578245722924,0.0854373609454065,0.27846613529936876,0.2922967001958908
cornell,R1-6,1,6,88,0.6741457309883421,0.08525022072300263,0.27887878962305285,0.29197640439426376
cornell,R1-6,1,6,89,0.6741931531854355,0.08521943236590376,0.2788846497334766,0.2919236755830259
cornell,R1-6,1,6,90,0.6737829967135055,0.08537773981016819,0.27865739132205,0.29219469504111156
cornell,R1-6,1,6,91,0.6744586319354212,0.08519635338408281,0.27910394730250104,0.2918841437695491
cornell,R1-6,1,6,92,0.6740613674936048,0.08526319130920192,0.2787941790027025,0.2919986152521993
