,R1,R2,R3,R4,R5,R6
R1,0.9999999999999998,0.17267613443662597,0.019495211051273165,0.006443046308934893,0.016297247377754533,0.06149817555194815
R2,0.1726761344366259,0.9999999999999998,0.3063258886836132,0.11418572898277198,0.22730921204543883,0.08102805962629207
R3,0.01949521105127317,0.3063258886836132,1.0,0.3084393101910693,0.23627029496841534,0.2687402016233684
R4,0.0064430463089349055,0.11418572898277196,0.3084393101910693,1.0,0.37499423497556345,0.3013761531297243
R5,0.016297247377754516,0.22730921204543883,0.23627029496841534,0.37499423497556345,1.0,0.42890418627258864
R6,0.061498175551948135,0.08102805962629206,0.2687402016233684,0.3013761531297243,0.42890418627258864,1.0
