T,R,Ncfg,mean_Re_T,mean_Re_Tp1,Veff_log_ratio_of_means,err_Veff_jackknife,relative_err_Veff_percent,n_valid_jackknife,status
1,0,100,1.770782651891042e-07,1.7535384980391588e-07,0.009785879737605354,0.0003552067108239289,3.6297882290432626,100,ok
1,1,100,1.0270740311016853e-07,6.243390794210993e-08,0.4977756748511606,0.000507993290476875,0.10205265466794244,100,ok
1,2,100,7.531216935052158e-08,3.642379019440747e-08,0.7264195953849683,0.0009036905934244828,0.12440338878049803,100,ok
1,3,100,5.8899680090707907e-08,2.4676453979148512e-08,0.869986150468662,0.001383560356261993,0.15903245764506346,100,ok
1,4,100,4.630734191415227e-08,1.7395618748079514e-08,0.9790821427536076,0.001961744702290958,0.20036569115372416,100,ok
2,0,100,1.7535384980391588e-07,1.747591970911623e-07,0.0033969215934051885,0.00035721638224056764,10.515885410310043,100,ok
2,1,100,6.243390794210993e-08,3.841273188214736e-08,0.4857195602262138,0.0005215266255745058,0.10737196281154822,100,ok
2,2,100,3.642379019440747e-08,1.790569154839121e-08,0.7101035120195777,0.0010598186165443812,0.14924846851273732,100,ok
2,3,100,2.4676453979148512e-08,1.0544272592213806e-08,0.8502666785234455,0.0019701772813343105,0.23171286504554986,100,ok
2,4,100,1.7395618748079514e-08,6.679458968033213e-09,0.9571813869680814,0.0028478209567581207,0.2975215560531042,100,ok
3,0,100,1.747591970911623e-07,1.7457494389904367e-07,0.001054882346640364,0.00041301387375802085,39.152600768550705,100,ok
3,1,100,3.841273188214736e-08,2.3765422844984144e-08,0.48015726140143833,0.0007922304393802273,0.16499395157910116,100,ok
3,2,100,1.790569154839121e-08,8.88446566137514e-09,0.7008143055123909,0.0017277840085513103,0.24653948912873067,100,ok
3,3,100,1.0544272592213806e-08,4.578820178485987e-09,0.8341414682634378,0.003467602943577718,0.4157092142651494,100,ok
3,4,100,6.679458968033213e-09,2.6087004355637843e-09,0.9401848115350065,0.005740430830845731,0.6105640891468489,100,ok
4,0,100,1.7457494389904367e-07,1.7446714580069947e-07,0.0006176796721808058,0.0003501888966186354,56.69425632581428,100,ok
4,1,100,2.3765422844984144e-08,1.4693056903059916e-08,0.4808566399825244,0.0010192786163899692,0.2119714134397754,100,ok
4,2,100,8.88446566137514e-09,4.37598121301639e-09,0.7081735484677993,0.0035080969525646743,0.4953724916942711,100,ok
4,3,100,4.578820178485987e-09,1.978795959669731e-09,0.838952803429067,0.006595000224278448,0.7860990746228614,100,ok
4,4,100,2.6087004355637843e-09,1.029526576924668e-09,0.9297531174003407,0.01204753260244966,1.2957775969749328,100,ok
5,0,100,1.7446714580069947e-07,1.7441779117943835e-07,0.00028292778712412514,0.0003454452559957731,122.09661677529769,100,ok
5,1,100,1.4693056903059916e-08,9.086065516561531e-09,0.4806330846601883,0.001537589272601049,0.31990916182728824,100,ok
5,2,100,4.37598121301639e-09,2.1779268934632813e-09,0.6977573138796535,0.006955357964200589,0.99681620326236,100,ok
5,3,100,1.978795959669731e-09,8.35905519020863e-10,0.861728246370484,0.016689852449254576,1.9367883691350052,100,ok
5,4,100,1.029526576924668e-09,4.00849682748607e-10,0.9432678404638611,0.03169187591768856,3.359796078927462,100,ok
6,0,100,1.7441779117943835e-07,1.7442288135595095e-07,-2.918338894355886e-05,0.00036463380045116325,1249.4566726173264,100,ok
6,1,100,9.086065516561531e-09,5.634415272271378e-09,0.4778486030405269,0.002414298930813705,0.5052434841185348,100,ok
6,2,100,2.1779268934632813e-09,1.068752712540514e-09,0.7118811787292124,0.01402214326387717,1.9697308599882166,100,ok
6,3,100,8.35905519020863e-10,3.5165210791457863e-10,0.8658732340826367,0.03795353131682762,4.383266490162165,100,ok
6,4,100,4.00849682748607e-10,1.61263891996991e-10,0.9105443971576467,0.07220919087567872,7.930331689600942,100,ok
7,0,100,1.7442288135595095e-07,1.7431944169694898e-07,0.0005932154212305981,0.000309914648292309,52.24318808998683,100,ok
7,1,100,5.634415272271378e-09,3.496545534635435e-09,0.477117883990498,0.0034576930411833627,0.7247041364838516,100,ok
7,2,100,1.068752712540514e-09,5.412869206712071e-10,0.6802980675958655,0.025179502335433177,3.701245606123225,100,ok
7,3,100,3.5165210791457863e-10,1.494658111285236e-10,0.8555746785159373,0.09662173975828531,11.293197681572746,100,ok
7,4,100,1.61263891996991e-10,8.097688255988442e-11,0.6888783904416297,0.15135455375497076,21.97115715270726,100,ok
