T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status
1,0,100,0.008963510041060095,0.0010436921800236845,0.00019525692774519088,11.643788819812034,2.0,ok
1,1,100,0.49632700400367646,0.001453379557386536,0.0003083083621997768,0.29282701639497544,2.0,ok
1,2,100,0.7246283482303422,0.0021919283294708535,0.00041007224126218426,0.3024900053694962,2.0,ok
1,3,100,0.867601805348946,0.0034700267045634867,0.0005486593964014408,0.3999561415352122,2.0,ok
1,4,100,0.974409865242096,0.004848515845996244,0.0007666176672383156,0.4975848479111622,2.0,ok
2,0,100,0.004602271139171327,0.0007912660240648581,9.690990048798485e-05,17.192946702556323,2.0,ok
2,1,100,0.48731887892953973,0.0013303656614881121,0.00016293585209830442,0.2729969469704182,2.0,ok
2,2,100,0.7121329412232265,0.002878018046589047,0.00035248378423323744,0.4041405585936655,2.0,ok
2,3,100,0.8494263401121179,0.004990885906065678,0.0007891283502600357,0.587559588204778,2.0,ok
2,4,100,0.9539428283456381,0.008087672967538092,0.0012787733773996705,0.8478152701838563,2.0,ok
3,0,100,0.0010985348190006442,0.0009835619917123865,0.00012046125050454419,89.5339842397667,2.0,ok
3,1,100,0.4799924694828356,0.0020021196333852255,0.00024520857529009634,0.4171148008931046,2.0,ok
3,2,100,0.6968158740619944,0.0051972202973490705,0.0006365268904670544,0.745852741134121,2.0,ok
3,3,100,0.8272637869806589,0.009278835433594805,0.0011364206109781788,1.1216295913859142,2.0,ok
3,4,100,0.920558068342564,0.013459476733830735,0.00212813012964745,1.462099697639292,2.0,ok
4,0,100,0.0007879795262784599,0.0008763038476006307,0.00013855580403935352,111.2089614484423,2.0,ok
4,1,100,0.48363484781537286,0.0029263873787878014,0.0004627024716469683,0.6050819935756464,2.0,ok
4,2,100,0.696374146711977,0.008675722742541872,0.0010625546934543528,1.2458421645182334,2.0,ok
4,3,100,0.8531394146818982,0.015842477255565122,0.0019402992768891277,1.8569622951334572,2.0,ok
4,4,100,0.9433765351503604,0.033395781193330656,0.006247778569455596,3.5400266965520677,2.0,ok
5,0,100,-2.2289920449648202e-05,0.0008957931024670303,0.00010971180080744555,4018.825928475525,2.0,ok
5,1,100,0.48289654582702807,0.0035483589530562938,0.0004345834429612124,0.7348072757445865,2.0,ok
5,2,100,0.7005314653532884,0.0169229648579529,0.00267575568570595,2.415732296823869,2.0,ok
5,3,100,0.8328472761956899,0.04167102694796418,0.006588767879691083,5.003441583949294,2.0,ok
5,4,100,0.8995117518137298,0.0711045279688633,0.008708490596258512,7.90479144107809,2.0,ok
6,0,100,0.000893118942288689,0.0008900720575629312,0.00014073274917856805,99.6588489414467,2.0,ok
6,1,100,0.4752404736116005,0.008689224881468784,0.0018432629510824357,1.8283848628116262,2.0,ok
6,2,100,0.7572416114150743,0.03732046312532583,0.007916865765882117,4.92847494943975,2.0,ok
6,3,100,0.7193463846029341,0.09340638214902802,0.019814485867103937,12.984896309805826,2.0,ok
6,4,100,0.7766721853426792,0.1495400904025465,0.018314845878795342,19.253952082314783,2.0,ok
7,0,100,0.0002096325789790106,0.0008395980669328569,0.00013275211052911646,400.50934402563513,2.0,ok
7,1,100,0.46889763880305696,0.010490314328498583,0.001962558104840362,2.2372290795229723,2.0,ok
7,2,100,0.6284381622066347,0.06226993644864641,0.007626478530735986,9.908681584517083,2.0,ok
7,3,100,1.5080671467760443,0.3583144188542007,0.06703448960467161,23.759845151471378,2.0,ok
7,4,100,1.1534501672537165,0.5371343201489451,0.06578525038508284,46.56762254652267,2.0,ok
