R,Tmin,Tmax,fit_window,n_points,plateau_value,err_plateau_jackknife,gls_error,chi2,dof,chi2_per_dof,p_value,covariance_rank,status
1,1,3,1-3,3,0.48931019835642076,0.00029079022116033524,0.0002907902211603267,437.1895768625128,2,218.5947884312564,1.1627587370012824e-95,3,ok
1,1,4,1-4,4,0.4888055304180496,0.00028337413869243777,0.0002833741386924617,497.00327409442554,3,165.6677580314752,2.1286348930637435e-107,4,ok
1,1,5,1-5,5,0.48815198446640395,0.0002780336715047412,0.0002780336715046984,639.4638042944289,4,159.86595107360722,4.4498089885094035e-137,5,ok
1,1,6,1-6,6,0.4876341160063267,0.0002691119882734123,0.0002691119882734628,694.4038689010255,5,138.8807737802051,7.965768365481283e-148,6,ok
1,1,7,1-7,7,0.48760780434304757,0.0002676169566529697,0.00026761695665301563,695.2666313020194,6,115.8777718836699,6.433993783751335e-147,7,ok
1,2,4,2-4,3,0.48348474461733326,0.000377170067831365,0.0003771700678313512,40.05643862565441,2,20.028219312827204,2.003802296909532e-09,3,ok
1,2,5,2-5,4,0.48305412779788187,0.00034829439732376836,0.0003482943973237793,48.90828270973999,3,16.302760903246664,1.364441153971645e-10,4,ok
1,2,6,2-6,5,0.48280256843783476,0.00032995885918897733,0.00032995885918899695,53.996848737094275,4,13.499212184273569,5.270682656106794e-11,5,ok
1,2,7,2-7,6,0.4827698895346753,0.0003298171698527589,0.00032981716985271896,65.42040287175057,5,13.084080574350114,9.168278086212859e-13,6,ok
1,3,5,3-5,3,0.48049377597159376,0.0005062001326683136,0.0005062001326683336,0.32441304139055355,2,0.16220652069527677,0.8502655889661287,3,ok
1,3,6,3-6,4,0.4803167995802989,0.00047569469452956404,0.00047569469452954366,1.370068072389558,3,0.456689357463186,0.7125656930771533,4,ok
1,3,7,3-7,5,0.48020370068511414,0.0004617206250886675,0.00046172062508861747,2.3465445394297597,4,0.5866361348574399,0.6723082894502961,5,ok
1,4,6,4-6,3,0.48043090285164786,0.0006500049868817971,0.0006500049868817706,1.3037165919628817,2,0.6518582959814408,0.5210765620147799,3,ok
1,4,7,4-7,4,0.4802159720179746,0.0006149549653341434,0.0006149549653341375,2.3456318090562345,3,0.7818772696854115,0.5038354705459178,4,ok
1,5,7,5-7,3,0.4793588707164538,0.0010297538985229453,0.0010297538985229201,1.2688253661432,2,0.6344126830716,0.5302468198169981,3,ok
2,1,3,1-3,3,0.7170316282352351,0.000636088233604769,0.0006360882336047647,259.9960523014147,2,129.99802615070735,3.487984805979052e-57,3,ok
2,1,4,1-4,4,0.7166907991818489,0.0006313253037675509,0.0006313253037674752,279.23940284512906,3,93.07980094837636,3.093210858052326e-60,4,ok
2,1,5,1-5,5,0.7163785356145104,0.0006278418110971265,0.0006278418110971057,301.4696535080212,4,75.3674133770053,5.2213377035246254e-64,5,ok
2,1,6,1-6,6,0.7163343586545877,0.0006266916825733378,0.0006266916825732542,302.82223368239755,5,60.56444673647951,2.4767559867014415e-63,6,ok
2,1,7,1-7,7,0.7163264751422179,0.0006247160596286502,0.0006247160596285342,302.8473720231055,6,50.47456200385091,2.0073465333209444e-62,7,ok
2,2,4,2-4,3,0.7073971344288021,0.0008557086053892309,0.0008557086053893377,20.380802511671433,2,10.190401255835717,3.7528824915877134e-05,3,ok
2,2,5,2-5,4,0.7071356051330165,0.0008369362721129211,0.0008369362721129183,22.533369033927436,3,7.511123011309145,5.0515295350582844e-05,4,ok
2,2,6,2-6,5,0.7071358063983033,0.0008334396320820568,0.0008334396320819949,22.533375969344807,4,5.633343992336202,0.00015691588032923137,5,ok
2,2,7,2-7,6,0.7071182008130232,0.0008324436046562335,0.000832443604656129,22.720179499706195,5,4.544035899941239,0.0003817783533163928,6,ok
2,3,5,3-5,3,0.7022607175367253,0.0013934995882821473,0.0013934995882821486,3.389712416643907,2,1.6948562083219536,0.18362563096709186,3,ok
2,3,6,3-6,4,0.7023940638009056,0.0013751184879847072,0.0013751184879847375,3.739115836317327,3,1.246371945439109,0.2910478486775502,4,ok
2,3,7,3-7,5,0.702385236909139,0.0013750165363164075,0.001375016536316458,4.017002208456842,4,1.0042505521142104,0.4037097412407708,5,ok
2,4,6,4-6,3,0.7058831160551232,0.0027756591199219636,0.00277565911992198,1.6450527104952108,2,0.8225263552476054,0.43932037202265395,3,ok
2,4,7,4-7,4,0.7049488806057173,0.0026221914539959756,0.002622191453995938,2.6986507138607894,3,0.8995502379535965,0.44045664010637753,4,ok
2,5,7,5-7,3,0.6992586078807843,0.00527477905633514,0.0052747790563352015,1.1529126127699258,2,0.5764563063849629,0.5618859945243099,3,ok
3,1,3,1-3,3,0.8591448829610218,0.0010661079752334792,0.0010661079752334402,160.7784902025075,2,80.38924510125375,1.222909864348216e-35,3,ok
