# R/a=4, Ncfg=100, axis-averaged rho_S = <LS>/<L> - <S>
# Errors from pyerrors/Gamma method with correlated ensemble labels
# dx  rhoS_tau4  err4  rhoS_tau6  err6  delta  pull
 -2 -0.00196759 0.00023087 +0.00071384 0.00121314 +0.00268143 +2.171
 -1 -0.00657056 0.00023693 -0.00569803 0.00138588 +0.00087253 +0.621
  0 -0.01054847 0.00021687 -0.01076615 0.00139163 -0.00021768 -0.155
  1 -0.01735278 0.00030263 -0.01802417 0.00137780 -0.00067139 -0.476
  2 -0.01096064 0.00021991 -0.01005585 0.00129639 +0.00090479 +0.688
  3 -0.01695743 0.00023684 -0.01757037 0.00134035 -0.00061294 -0.450
  4 -0.01020458 0.00022891 -0.01049543 0.00158738 -0.00029086 -0.181
  5 -0.00650478 0.00021703 -0.00652299 0.00138294 -0.00001821 -0.013
  6 -0.00104108 0.00018986 -0.00116958 0.00148076 -0.00012849 -0.086
