T,R,Ncfg,Veff,err_pyerrors,dd_err_pyerrors,relative_err_percent,S,status,Veff_jackknife_central,err_Veff_jackknife,relative_err_jackknife_percent,n_valid_jackknife,status_jackknife,ratio_pyerrors_over_jackknife
4,1,100,0.48363484781537286,0.0029263873787878014,0.0004627024716469683,0.6050819935756464,2.0,ok,0.4836348478153728,0.0027655142620553,0.5718186508990027,100,ok,1.058171139791173
4,2,100,0.696374146711977,0.008675722742541872,0.0010625546934543528,1.2458421645182334,2.0,ok,0.696374146711977,0.0085928430971631,1.2339405673997863,100,ok,1.0096451947791454
4,3,100,0.8531394146818982,0.015842477255565122,0.0019402992768891277,1.8569622951334572,2.0,ok,0.8531394146818982,0.0156877707883742,1.8388285101355384,100,ok,1.0098615966078222
4,4,100,0.9433765351503604,0.033395781193330656,0.006247778569455596,3.5400266965520677,2.0,ok,0.9433765351503604,0.0295510745711498,3.132479287969554,100,ok,1.130103783973202
5,0,100,-2.2289920449648202e-05,0.0008957931024670303,0.00010971180080744555,4018.825928475525,2.0,ok,-2.22899204496482e-05,0.0008870816743302,3979.743563168368,100,ok,1.0098203225124764
5,1,100,0.48289654582702807,0.0035483589530562938,0.0004345834429612124,0.7348072757445865,2.0,ok,0.482896545827028,0.0035139565478116,0.7276830986217806,100,ok,1.009790219308807
5,2,100,0.7005314653532884,0.0169229648579529,0.00267575568570595,2.415732296823869,2.0,ok,0.7005314653532884,0.0166039114703108,2.3701878204624656,100,ok,1.0192155558172298
5,3,100,0.8328472761956899,0.04167102694796418,0.006588767879691083,5.003441583949294,2.0,ok,0.8328472761956899,0.0397323463907371,4.77066414531941,100,ok,1.0487935078930817
5,4,100,0.8995117518137298,0.0711045279688633,0.008708490596258512,7.90479144107809,2.0,ok,0.8995117518137298,0.07044507471712,7.831479085746034,100,ok,1.009361240007075
6,0,100,0.000893118942288689,0.0008900720575629312,0.00014073274917856805,99.6588489414467,2.0,ok,0.0008931189422886,0.000872989165657,97.74612588777342,100,ok,1.0195682748171049
6,1,100,0.4752404736116005,0.008689224881468784,0.0018432629510824357,1.8283848628116262,2.0,ok,0.4752404736116005,0.0067847829218125,1.4276525882258069,100,ok,1.2806931307313703
6,2,100,0.7572416114150743,0.03732046312532583,0.007916865765882117,4.92847494943975,2.0,ok,0.7572416114150743,0.02853546461929,3.768343444038311,100,ok,1.307862465995986
6,3,100,0.7193463846029341,0.09340638214902802,0.019814485867103937,12.984896309805826,2.0,ok,0.7193463846029341,0.0769791833559543,10.701267845871692,100,ok,1.2133979353497921
6,4,100,0.7766721853426792,0.1495400904025465,0.018314845878795342,19.253952082314783,2.0,ok,0.7766721853426792,0.1480519810561216,19.06235138197963,100,ok,1.0100512626430902
7,0,100,0.0002096325789790106,0.0008395980669328569,0.00013275211052911646,400.50934402563513,2.0,ok,0.000209632578979,0.0008147460195458,388.65429386688,100,ok,1.030502815344727
7,1,100,0.46889763880305696,0.010490314328498583,0.001962558104840362,2.2372290795229723,2.0,ok,0.4688976388030569,0.0101939250367443,2.1740192726852112,100,ok,1.0290750903784303
7,2,100,0.6284381622066347,0.06226993644864641,0.007626478530735986,9.908681584517083,2.0,ok,0.6284381622066347,0.0616837588154707,9.81540627623259,100,ok,1.0095029493084116
7,3,100,1.5080671467760443,0.3583144188542007,0.06703448960467161,23.759845151471378,2.0,ok,1.5080671467760445,0.3480025466402516,23.076064443431036,100,ok,1.0296315998647245
7,4,100,1.1534501672537165,0.5371343201489451,0.06578525038508284,46.56762254652267,2.0,ok,1.1534501672537163,0.5332129395467592,46.22765288736327,100,ok,1.007354248765079
