R,N,mean_Re,err_Re,mean_Im,err_Im
0,100,1.7708381208953242e-07,1.2163373251776528e-10,0.0000000000000000e+00,0.0000000000000000e+00
1,100,1.0268488085891263e-07,9.1646203119782797e-11,-1.8227484407555581e-11,4.6926008395783695e-11
2,100,7.5249352907655883e-08,1.1151113004316111e-10,-2.8226568552098160e-11,7.9422261714534280e-11
3,100,5.8860789932569354e-08,1.4071289251641376e-10,-1.8740915065949643e-11,1.0190045915901914e-10
