r,tau,dx,dy,dz,ncfg,naxis,L_Re_mean,L_Re_err,rho_E2_mean,rho_E2_err,rho_B2_mean,rho_B2_err,rho_S_mean,rho_S_err,x_mid,R
5,4,6,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.0095816629300838,0.0004488910028787,-0.0023956163171385,0.0004639491775525,-0.0059886396236137,0.0003374008322305,3.5,5
5,4,7,0,0,100,3,1.5061377002393882e-09,4.757082262907005e-12,-0.001266019640463,0.0004130747438301,-0.00124815256873,0.0004919991864492,-0.0012570861046025,0.0003303260599005,4.5,5
6,4,-2,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0021231442508465,0.0005779954064103,-0.0001688530218235,0.000716394111249,-0.0011459986363382,0.0004790410294543,-5.0,6
6,4,-1,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0090133672456326,0.0006539066140438,-0.0031618023614722,0.0007235546892861,-0.0060875848035537,0.0004483686927575,-4.0,6
6,4,0,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0159066674782485,0.0007107729510337,-0.0056821338309712,0.0006971751243942,-0.0107944006546166,0.0005267227814153,-3.0,6
6,4,1,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0228490552957864,0.0006152740954969,-0.0066744673437759,0.000713288011069,-0.0147617613197844,0.0004789265135665,-2.0,6
6,4,2,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0090405610179067,0.00062551866165,-0.0062324269522748,0.0006592539191873,-0.0076364939850956,0.0004459430064586,-1.0,6
6,4,3,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0077127155402435,0.0006522205111401,-0.0060203408501174,0.0005891641980896,-0.0068665281951805,0.0004126899224441,0.0,6
6,4,4,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0095278339902922,0.000664861029716,-0.0069310053979148,0.0006455818022551,-0.0082294196941069,0.0004719924829779,1.0,6
6,4,5,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0241375670990099,0.000676150754733,-0.0071347512116238,0.0006585253040156,-0.0156361591553206,0.0004728804891666,2.0,6
6,4,6,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.014461715799474,0.0006376730188721,-0.0058777022279449,0.0007056132912222,-0.0101697090137151,0.0004636588359204,3.0,6
6,4,7,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0095038251785353,0.0006590112088826,-0.0037905542704618,0.0006289789692948,-0.0066471897245023,0.0004607176154509,4.0,6
6,4,8,0,0,100,3,8.826051906680184e-10,3.74865411887431e-12,-0.0011652058022728,0.0006352178403742,-0.0007760383265203,0.000670985374082,-0.0009706220644023,0.000445134777399,5.0,6
