T,R,Ncfg,mean_Re,err_pyerrors,dd_err_pyerrors,relative_err_Re_percent,snr_Re,n_nonpositive_Re,S
1,0,100,1.770838120895325e-07,1.2282598159226052e-10,1.504304910287588e-11,0.06936036679070386,1441.7455475942304,0,2.0
1,1,100,1.0268488085891266e-07,9.254451560820195e-11,1.133434208665642e-11,0.09012477283326316,1109.5728383693868,0,2.0
1,2,100,7.524935290765591e-08,1.5835328565741813e-10,3.7137137333368775e-11,0.21043806961602082,475.1991889227391,0,2.0
1,3,100,5.886078993256935e-08,2.008924623282655e-10,4.7113458566711556e-11,0.341300996059358,292.9965079346218,0,2.0
1,4,100,4.627384159111621e-08,2.343302173518757e-10,5.495530722350437e-11,0.5063988838931045,197.4727891009905,0,2.0
2,0,100,1.755036122105182e-07,1.5553495850615638e-10,2.9097926319806927e-11,0.08862208392587997,1128.3869163315553,0,2.0
2,1,100,6.251070896656365e-08,1.0681478911285429e-10,2.5050288511857394e-11,0.17087438437146577,585.2252247628227,0,2.0
2,2,100,3.645865781825306e-08,1.1691964971860568e-10,2.7420088383659157e-11,0.32069104217015293,311.8266083245998,0,2.0
2,3,100,2.471902914872294e-08,1.0086049533087855e-10,1.8869270869423018e-11,0.4080277373518503,245.08137767547908,0,2.0
2,4,100,1.746444255226252e-08,8.373503072344857e-11,1.5665389811906716e-11,0.4794600828103769,208.56793627916946,0,2.0
3,0,100,1.746977528153415e-07,1.305097392391997e-10,1.5984113379986345e-11,0.0747060206190235,1338.580199713322,0,2.0
3,1,100,3.839852343344046e-08,5.3215521404209856e-11,8.414112725537252e-12,0.13858741598867208,721.5662351924784,0,2.0
3,2,100,1.788649600319711e-08,5.659860576384772e-11,8.949025330184646e-12,0.31643204881342346,316.023615101524,0,2.0
3,3,100,1.0571344778794116e-08,6.002119559546973e-11,9.490184298407534e-12,0.5677725667965245,176.1268610849201,0,2.0
3,4,100,6.727638102141041e-09,6.11357129289516e-11,1.1437444593815148e-11,0.9087247560105148,110.044322374379,0,2.0
4,0,100,1.745059466232519e-07,1.0828081655332122e-10,1.3261637474377363e-11,0.062049929328249855,1611.6053810632204,0,2.0
4,1,100,2.3760547499028933e-08,5.21351470433965e-11,9.753592902273507e-12,0.21941896349622084,455.7491221661083,0,2.0
4,2,100,8.910498077217873e-09,4.919865289177155e-11,6.0255797808572176e-12,0.5521425678499542,181.11264340548942,0,2.0
4,3,100,4.622257540181683e-09,4.5581734056124035e-11,5.582599501437325e-12,0.9861357498987906,101.4059169949606,0,2.0
4,4,100,2.67959607014658e-09,4.289324190252094e-11,8.02459077036245e-12,1.6007353638257344,62.471288046639664,0,2.0
5,0,100,1.743684936722667e-07,1.2485444792461515e-10,1.974122157223334e-11,0.07160378878955312,1396.5741434982535,0,2.0
5,1,100,1.4649287351074353e-08,4.38230229850859e-11,5.367202264985968e-12,0.2991478147356567,334.2829032141366,0,2.0
5,2,100,4.440895272776571e-09,4.177955768548586e-11,5.116929900430785e-12,0.9407913296582677,106.293496599638,0,2.0
5,3,100,1.969429321222574e-09,3.302685527458584e-11,4.044947161574125e-12,1.6769759096550652,59.631148798415865,0,2.0
5,4,100,1.0431964695336102e-09,4.0272575323255204e-11,7.53430894713339e-12,3.860497662656026,25.90339607438071,0,2.0
6,0,100,1.7437238037543658e-07,1.3144013446523962e-10,2.0782510043447755e-11,0.07537898730420456,1326.629656039729,0,2.0
6,1,100,9.038517282010047e-09,4.399894893267846e-11,8.23144961421229e-12,0.48679387956974374,205.42575450699115,0,2.0
6,2,100,2.2041116078464474e-09,4.1977980090813475e-11,6.6373014330086226e-12,1.9045306027778035,52.506376035201335,0,2.0
6,3,100,8.563265772918383e-10,3.499993932722196e-11,4.2865996190031875e-12,4.087218621417829,24.466516049809602,0,2.0
6,4,100,4.243391659189081e-10,3.1429070157005576e-11,3.849259248739902e-12,7.406591868310295,13.501486483663037,8,2.0
7,0,100,1.742167146238744e-07,1.300167010633262e-10,2.055744546106734e-11,0.0746292922260795,1339.9564302052245,0,2.0
7,1,100,5.619567310140224e-09,5.71160686465639e-11,1.2116147836410507e-11,1.0163784059228342,98.38855235142827,0,2.0
7,2,100,1.0336362420789007e-09,3.9440369753858536e-11,7.378617541331018e-12,3.8156914539426463,26.207569770001403,0,2.0
7,3,100,4.170914216363998e-10,5.019776340985499e-11,1.0648553672251925e-11,12.035194397648146,8.308964250676455,14,2.0
7,4,100,1.951680280320038e-10,2.967470335624529e-11,3.634394074562819e-12,15.204694977693382,6.576915889908266,26,2.0
8,0,100,1.741801969524671e-07,1.2224433419512138e-10,1.4971812136215434e-11,0.07018268226466712,1424.8529234446794,0,2.0
8,1,100,3.5161162100711135e-09,4.0170877102658844e-11,4.919907571078323e-12,1.1424786526565454,87.52898775611717,0,2.0
8,2,100,5.513666609091507e-10,3.815351253583059e-11,4.672831880383321e-12,6.919807678055671,14.451268684406273,6,2.0
8,3,100,9.231792141757675e-11,3.6027044357087224e-11,6.740042832116393e-12,39.024973487139086,2.5624617024520364,41,2.0
8,4,100,6.158452999104692e-11,3.477137637806163e-11,4.258606489025763e-12,56.461219048219824,1.7711271858051199,42,2.0
