r,tau,dx,dy,dz,ncfg,naxis,L_Re_mean,L_Re_err,rho_E2_mean,rho_E2_err,rho_B2_mean,rho_B2_err,rho_S_mean,rho_S_err
4,6,-2,-6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0002439414494265657,0.001785083829186221,-0.0018711071802785372,0.0018410046911909023,-0.0010575243148547141,0.001340153659134326
4,6,-2,-5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.001195632697575455,0.002036585224894416,-0.0018196170319575255,0.0017705517798642845,-0.0015076248647674317,0.0013976206959565294
4,6,-2,-4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0009643798393792747,0.0019855413948618944,0.0022554092336930466,0.0017064060968485194,0.0006455146971541969,0.0013074394400785763
4,6,-2,-3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.00011504983926083679,0.002112316805561279,0.003799367255903272,0.0020354463295830763,0.0019572085475815302,0.0015113832110123199
4,6,-2,-2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0009195066770834059,0.0016576367065697397,-0.0003066784745420881,0.0020701881094501006,0.0003064141012689059,0.0012805477666580749
4,6,-2,-1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.001051237741927633,0.0021588665414312403,-0.0021472755769847175,0.0017868230663993707,-0.0015992566594584035,0.0013646737306393332
4,6,-2,0,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.00010524826029913115,0.0018137697538727377,0.0015329436454881895,0.0016122435827190533,0.0007138476925912629,0.0011898155142461508
4,6,-2,1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0005660996927161399,0.002006122724370114,-0.00258574561519733,0.002103281588609802,-0.0010098229612420994,0.0014551539294763481
4,6,-2,2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0010621544382127324,0.001986915561068396,-0.0008441338309324231,0.002148846386843518,-0.0009531441345731939,0.001413881208747849
4,6,-2,3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0012323538655319565,0.0020719397300824082,-1.794338442194787e-05,0.0017121231137194048,0.0006072052405531391,0.0013506307188052302
4,6,-2,4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.00029361929449016165,0.002060349593455855,-0.0033622230778391194,0.0020092832904056537,-0.0015343018916790508,0.0014551904844174945
4,6,-2,5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0006469149483915704,0.0018545344483247082,-0.0003586744673538189,0.0017657191253136085,0.0001441202405175246,0.00124904670727839
4,6,-2,6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.002642174829956503,0.0017197429921381859,-0.0008238193464774612,0.0018258181476132561,-0.0017329970882204516,0.0012062680930356453
4,6,-1,-6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0032843850128532726,0.002040049089527493,-0.004334002175527163,0.0018133116201950626,-0.0005248085813376701,0.0012844219742741626
4,6,-1,-5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0017809791303586065,0.0018779971764204238,-0.0017701604666494107,0.0019721509409908484,5.409331848884591e-06,0.0013422577825924883
4,6,-1,-4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.000371428850563551,0.001794576110599095,0.0011244140533917268,0.0017183795327181297,0.0007479214519756772,0.00128988377274117
4,6,-1,-3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0006762970014315894,0.002070977407600046,-0.0005105933978652622,0.002325732570609026,-0.0005934451996519652,0.0014992472041877962
4,6,-1,-2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0007981008112088306,0.002088760993496459,-0.006370409183211565,0.0018283833223537115,-0.0027861541860011376,0.0014628446138212
4,6,-1,-1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0015018000438672718,0.0019830066849670725,-0.003953249780615782,0.0018984676857196389,-0.002727524912246111,0.0014397838516534045
4,6,-1,0,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.010568059490174595,0.0020200415874964558,-0.000828026950167966,0.0019435541796147492,-0.005698043220169709,0.0013591058957747042
4,6,-1,1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.002285803022843309,0.0017427227244870404,-0.003649518707426533,0.0018444459766926307,-0.00296766086513802,0.001274169101027621
4,6,-1,2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.00299725936164839,0.001813905251501091,-0.00023351146356100915,0.001968707709492819,-0.0016153854126067912,0.0014381638348691034
4,6,-1,3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.00042617666152540147,0.0018698705244477975,-0.00045386281779130844,0.0018851850595950263,-1.3843078131869912e-05,0.0013767967867125014
4,6,-1,4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.00036012472765730054,0.001990579333105025,4.031744781167301e-05,0.001663196519309047,-0.00015990363992658186,0.0013086825676861514
4,6,-1,5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.002146740506014699,0.0017715462827492116,0.0017451547820095791,0.00187215774384119,-0.00020079286200682,0.0013226101253622509
4,6,-1,6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0034394488124426205,0.002114256560286454,0.0003197799928036726,0.0018810697016773258,-0.0015598344098214701,0.0013177488917879732
4,6,0,-6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.001245055186986297,0.001941400040857327,0.0013775430053082015,0.001991606454951743,0.0013112990961441828,0.0014385987280696657
4,6,0,-5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0015246808846659254,0.0020821092936147596,0.0005608090305383784,0.0017643124297962978,-0.0004819359270659751,0.0013446089080635746
4,6,0,-4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.00036471605375637317,0.0018809648993634704,-0.0013174966392239607,0.0018337610407700674,-0.0008411063464940894,0.0012243947004608913
4,6,0,-3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0020065975119338496,0.0018968491052929815,-0.005066526951365351,0.0018322503351798972,-0.0035365622316508773,0.001340503815471385
4,6,0,-2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.004512291218039302,0.0017349671964709589,-0.0011169054511614006,0.0018801278029672672,-0.0028145983346038396,0.0011681741772430914
4,6,0,-1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.014811955828818097,0.0017956971592260633,-0.005891066051155396,0.0018798678405038073,-0.01035151093998828,0.0012883672410179017
4,6,0,0,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.014698237233220461,0.0017660011247212564,-0.006834068396870943,0.0019243016513974783,-0.010766152815049074,0.0013648634090609045
4,6,0,1,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.014012033985266953,0.0020082203145215206,-0.0060230630599355985,0.0015321646831542033,-0.010017548522600677,0.0012392188786915098
4,6,0,2,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.004632420188521145,0.0021946139241466145,-0.000896894369090715,0.0019360589689771776,-0.002764657278804832,0.0014923544771567353
4,6,0,3,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0015960716647598016,0.0017818065200255722,-0.0036138579256497416,0.001886416992216588,-0.002604964795206841,0.0013859803988174799
4,6,0,4,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,0.0003160677963370695,0.001748180769184097,-0.0002718078350496178,0.0018390491587321788,2.2129980642016102e-05,0.0012429744305153263
4,6,0,5,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.0015451060634041535,0.0020391002401808074,-9.396230388003524e-05,0.0017677428791214968,-0.0008195341836435955,0.0013318381943303952
4,6,0,6,0,100,3,3.8687203188536963e-10,2.8743703802327064e-12,-0.005569214851564488,0.002284978496236949,-0.0035473736511026075,0.0018478011352659372,-0.004558294251334591,0.001440718810692897
