R,fit_window,V_fixed,err_fixed,p_fixed,V_t0avg6,err_t0avg6,p_t0avg6,delta_V,err_delta_paired,z_delta,error_reduction_factor,corr_fixed_t0avg6
1,3-5,0.4815517118587156,0.0012655473504379765,0.5932357712547514,0.48049377597159376,0.0005062001326683136,0.8502655889661286,-0.0010579358871218303,0.0011557743367321324,-0.9153481380397032,2.500092885726728,0.40744447581214244
2,3-5,0.6968944896227726,0.003997810473075648,0.9747549242846872,0.7022607175367253,0.0013934995882821473,0.1836256309670919,0.0053662279139526925,0.003726062318380615,1.440187376223195,2.8688996442431645,0.3626662666731676
3,3-5,0.8342234859158044,0.007339271564333318,0.3783505915149726,0.8365061122950332,0.002918914708153985,0.224459939798191,0.002282626379228825,0.00657171197369262,0.3473412085566839,2.5143837001578264,0.44806595313708475
4,3-5,0.9243324315387739,0.011325811353237021,0.7767846376676919,0.9381153976082582,0.004887911784139147,0.7473715374398462,0.01378296606948437,0.010293190784085209,1.3390372682875817,2.317106333626622,0.4174157294803334
