T,R,Ncfg,mean_Re_T,mean_Re_Tp1,Veff_log_ratio_of_means,err_Veff_jackknife,relative_err_Veff_percent,n_valid_jackknife,status
1,0,100,1.7709207087369834e-07,1.7528314993194578e-07,0.010267105774200373,0.00012234955489536222,1.191665475998187,100,ok
1,1,100,1.0270480137135916e-07,6.239650538663825e-08,0.4983495968789391,0.00019119207786458497,0.03836505117330918,100,ok
1,2,100,7.529972755423186e-08,3.6391677179277096e-08,0.7271364170840251,0.0003302425006522091,0.045416856162500185,100,ok
1,3,100,5.887691548862444e-08,2.46664867770053e-08,0.8700035749606094,0.0004880410213895687,0.05609643861654998,100,ok
1,4,100,4.630179214099546e-08,1.738804219245748e-08,0.9793979278410692,0.000701066124561617,0.07158133631209619,100,ok
1,5,100,3.5963904459728085e-08,1.2271750189582746e-08,1.0752158932774676,0.0009280704473657395,0.08631479995490021,100,ok
1,6,100,2.7453771072855192e-08,8.551092083337531e-09,1.166444534385764,0.001153112414416334,0.09885702923916133,100,ok
2,0,100,1.7528314993194578e-07,1.74769521628025e-07,0.002934579360501857,0.00011493110714444841,3.9164422912315944,100,ok
2,1,100,6.239650538663825e-08,3.842464736310008e-08,0.4848101582831369,0.0001742270519925707,0.03593717025434506,100,ok
2,2,100,3.6391677179277096e-08,1.7899303486762155e-08,0.7095782988420127,0.0003583214325553151,0.050497800332968634,100,ok
2,3,100,2.46664867770053e-08,1.0543123961141868e-08,0.8499716214870996,0.0006619152566580018,0.07787498310825051,100,ok
2,4,100,1.738804219245748e-08,6.6772624036455455e-09,0.9570746559150238,0.0010668565091045035,0.11147056319075979,100,ok
2,5,100,1.2271750189582746e-08,4.284046870631601e-09,1.0524017949058337,0.0015145028387342572,0.14390918431204033,100,ok
2,6,100,8.551092083337531e-09,2.734081536920807e-09,1.1402634426734766,0.002162673852291003,0.18966440309796914,100,ok
3,0,100,1.74769521628025e-07,1.7458810484744112e-07,0.0010385735598274913,0.00011736678094725774,11.300767272252967,100,ok
3,1,100,3.842464736310008e-08,2.375186183948218e-08,0.4810381914553206,0.00022062630317851005,0.04586461264354767,100,ok
3,2,100,1.7899303486762155e-08,8.85409810197395e-09,0.7038813865260903,0.0006284748083751538,0.08928703335613186,100,ok
3,3,100,1.0543123961141868e-08,4.529998200033944e-09,0.8447523480468945,0.0012027875776028049,0.14238345479402384,100,ok
3,4,100,6.6772624036455455e-09,2.584493595956871e-09,0.949178495950437,0.0014414950798463206,0.15186765039413522,100,ok
3,5,100,4.284046870631601e-09,1.5064561284787347e-09,1.045138135706251,0.0023713715965154214,0.22689551892707172,100,ok
3,6,100,2.734081536920807e-09,8.910216527982021e-10,1.1211821112889826,0.004431622649617436,0.3952634103769779,100,ok
4,0,100,1.7458810484744112e-07,1.7450001822557482e-07,0.0005046669761230306,0.0001200109661426056,23.780229700100023,100,ok
4,1,100,2.375186183948218e-08,1.4696118190989102e-08,0.4800775303771847,0.00034352468613977895,0.07155608509106443,100,ok
4,2,100,8.85409810197395e-09,4.385709680293635e-09,0.7025289587681101,0.0011505728444705754,0.1637758600710373,100,ok
4,3,100,4.529998200033944e-09,1.9511595055764223e-09,0.8422977280467685,0.0024119444080777813,0.2863529519034697,100,ok
4,4,100,2.584493595956871e-09,1.0028063710705158e-09,0.9467271472223386,0.004592208541353334,0.4850614619879338,100,ok
4,5,100,1.5064561284787347e-09,5.392872736215731e-10,1.027266832551244,0.006830026747441266,0.664873675564772,100,ok
