R,tau,dx,x_mid,dy,profile_label,rho_S_mean,rho_S_err,minus_rho_S
5,4,2,-0.5,1,midpoint_region,-0.0065347685026356,0.0003239643753429,0.0065347685026356
5,4,2,-0.5,2,midpoint_region,-0.0031010901183807,0.0003073455828435,0.0031010901183807
5,4,2,-0.5,3,midpoint_region,-0.0010916054842393,0.0003109098485268,0.0010916054842393
5,4,2,-0.5,4,midpoint_region,-0.0012360842237274,0.0002796768858395,0.0012360842237274
5,4,2,-0.5,5,midpoint_region,-0.0009745073773544,0.0002887655433387,0.0009745073773544
5,4,2,-0.5,6,midpoint_region,-0.0003639365856088,0.0002988801967813,0.0003639365856088
5,4,3,0.5,-6,midpoint_region,-0.0003454944066964,0.0003315815235402,0.0003454944066964
5,4,3,0.5,-5,midpoint_region,-0.0007797450829515,0.0003111437806661,0.0007797450829515
5,4,3,0.5,-4,midpoint_region,-0.0012164290491222,0.0003017110640697,0.0012164290491222
5,4,3,0.5,-3,midpoint_region,-0.0019608611167305,0.0002699236720559,0.0019608611167305
5,4,3,0.5,-2,midpoint_region,-0.0036422187815052,0.0003309467032018,0.0036422187815052
5,4,3,0.5,-1,midpoint_region,-0.0063702594490181,0.0003180290506997,0.0063702594490181
5,4,3,0.5,0,midpoint_region,-0.0091146065956555,0.0003469870664901,0.0091146065956555
5,4,3,0.5,1,midpoint_region,-0.0071535745624126,0.0002905662422539,0.0071535745624126
5,4,3,0.5,2,midpoint_region,-0.0040475445547588,0.0003184977783488,0.0040475445547588
5,4,3,0.5,3,midpoint_region,-0.0019643618260885,0.000304662098239,0.0019643618260885
5,4,3,0.5,4,midpoint_region,-0.0012201559092438,0.0003377189781044,0.0012201559092438
5,4,3,0.5,5,midpoint_region,-0.0005744873019469,0.0003112833334318,0.0005744873019469
5,4,3,0.5,6,midpoint_region,-0.0006197067596737,0.0003650831192053,0.0006197067596737
5,4,4,1.5,-6,right_dip,-0.0004667181683099,0.0002891692189571,0.0004667181683099
5,4,4,1.5,-5,right_dip,-0.0003527997169702,0.0003174617124506,0.0003527997169702
5,4,4,1.5,-4,right_dip,-0.0010351105463091,0.0003243208851661,0.0010351105463091
5,4,4,1.5,-3,right_dip,-0.0015748072827687,0.0003738758624075,0.0015748072827687
5,4,4,1.5,-2,right_dip,-0.0033085094649238,0.0003323723896808,0.0033085094649238
5,4,4,1.5,-1,right_dip,-0.0078514140907788,0.0003386200920296,0.0078514140907788
5,4,4,1.5,0,right_dip,-0.0159945522811123,0.000343092171475,0.0159945522811123
5,4,4,1.5,1,right_dip,-0.0073098979133172,0.0003359008469566,0.0073098979133172
5,4,4,1.5,2,right_dip,-0.0041391363958307,0.0003135760598698,0.0041391363958307
5,4,4,1.5,3,right_dip,-0.0021812745450901,0.0003296296184486,0.0021812745450901
5,4,4,1.5,4,right_dip,-0.000896533676748,0.0003107329743596,0.000896533676748
5,4,4,1.5,5,right_dip,-0.00055931910054,0.0002561533864934,0.00055931910054
5,4,4,1.5,6,right_dip,-0.0007292143888181,0.0003037191857771,0.0007292143888181
6,4,1,-2.0,-6,left_dip,-0.0001541928864271,0.0005038739303022,0.0001541928864271
6,4,1,-2.0,-5,left_dip,-0.0011542575235797,0.000432943572551,0.0011542575235797
6,4,1,-2.0,-4,left_dip,-0.0007333233204631,0.0004900493020107,0.0007333233204631
6,4,1,-2.0,-3,left_dip,-0.0020930464456632,0.0004958242143592,0.0020930464456632
6,4,1,-2.0,-2,left_dip,-0.003016282119905,0.0004130527741925,0.003016282119905
6,4,1,-2.0,-1,left_dip,-0.0075984921097482,0.0004288167987792,0.0075984921097482
6,4,1,-2.0,0,left_dip,-0.0147617613197844,0.0004789265135665,0.0147617613197844
6,4,1,-2.0,1,left_dip,-0.0066365652314197,0.0004966244045749,0.0066365652314197
6,4,1,-2.0,2,left_dip,-0.0029940527894822,0.0004242672857921,0.0029940527894822
6,4,1,-2.0,3,left_dip,-0.0015641533657737,0.000457549779702,0.0015641533657737
6,4,1,-2.0,4,left_dip,-0.0007147293129191,0.000462184969779,0.0007147293129191
6,4,1,-2.0,5,left_dip,0.0001704046583277,0.0004649035841042,0.0
6,4,1,-2.0,6,left_dip,0.0002288320115777,0.0004633378992492,0.0
6,4,3,0.0,-6,midpoint_region,-0.0008519052159886,0.00047809215717,0.0008519052159886
6,4,3,0.0,-5,midpoint_region,-0.0012523409566803,0.0004165980406523,0.0012523409566803
6,4,3,0.0,-4,midpoint_region,-0.0022920234955655,0.0004656878245512,0.0022920234955655
6,4,3,0.0,-3,midpoint_region,-0.0025971267657132,0.0004426067332468,0.0025971267657132
6,4,3,0.0,-2,midpoint_region,-0.0039227369660927,0.0004244543794637,0.0039227369660927
6,4,3,0.0,-1,midpoint_region,-0.0064053773947609,0.0005395327677086,0.0064053773947609
6,4,3,0.0,0,midpoint_region,-0.0068665281951805,0.0004126899224441,0.0068665281951805
6,4,3,0.0,1,midpoint_region,-0.0061454010998496,0.0004843118306942,0.0061454010998496
6,4,3,0.0,2,midpoint_region,-0.0037761797273447,0.0004693861193573,0.0037761797273447
6,4,3,0.0,3,midpoint_region,-0.0008405998435402,0.0005294379214936,0.0008405998435402
6,4,3,0.0,4,midpoint_region,-0.0005378613415902,0.0004833321445452,0.0005378613415902
6,4,3,0.0,5,midpoint_region,-0.0001863851982687,0.0004118236238936,0.0001863851982687
6,4,3,0.0,6,midpoint_region,-0.0001155363921715,0.0004669777587553,0.0001155363921715
6,4,5,2.0,-6,right_dip,-0.0002798281290004,0.0005377705625253,0.0002798281290004
6,4,5,2.0,-5,right_dip,-0.0014131621206084,0.0004872740364767,0.0014131621206084
6,4,5,2.0,-4,right_dip,-0.0017325352657465,0.0004824697822863,0.0017325352657465
6,4,5,2.0,-3,right_dip,-0.0019200180934761,0.0003808841482927,0.0019200180934761
6,4,5,2.0,-2,right_dip,-0.0032258615438464,0.0005026990468158,0.0032258615438464
6,4,5,2.0,-1,right_dip,-0.0070186279310429,0.0005059502331323,0.0070186279310429
6,4,5,2.0,0,right_dip,-0.0156361591553206,0.0004728804891666,0.0156361591553206
6,4,5,2.0,1,right_dip,-0.0082426991684934,0.0004427576530472,0.0082426991684934
6,4,5,2.0,2,right_dip,-0.0035402177700555,0.0004530905877067,0.0035402177700555
6,4,5,2.0,3,right_dip,-0.0017743185994613,0.0004348094192953,0.0017743185994613
6,4,5,2.0,4,right_dip,-0.0005657395671033,0.0005067560398706,0.0005657395671033
6,4,5,2.0,5,right_dip,-0.0007863072106281,0.000501386504435,0.0007863072106281
6,4,5,2.0,6,right_dip,-0.0004218539689409,0.0004674881230793,0.0004218539689409
