R,T,delta_to_T3,err_delta_jackknife,significance_sigma
1,1,0.016334534520840827,0.0023571634086668276,6.929742104761149
1,2,0.007326409446704096,0.002714142445604636,2.6993459604777574
1,3,0.0,0.0,0.0
2,1,0.027812474168347534,0.0057458051520950845,4.84048334952784
2,2,0.015317067161232045,0.006222622208668298,2.461513273278091
2,3,0.0,0.0,0.0
3,1,0.040338018368286765,0.010100058558292017,3.9938400490925643
3,2,0.022162553131458762,0.011149670045293297,1.9877317482425791
3,3,0.0,0.0,0.0
