r,tau,dx,dy,dz,ncfg,naxis,L_Re_mean,L_Re_err,rho_E2_mean,rho_E2_err,rho_B2_mean,rho_B2_err,rho_S_mean,rho_S_err
4,4,-2,-6,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0001479490431462982,0.00029810415710099404,0.00047810600522310456,0.0002626707604290993,0.00016507848103170853,0.00021099076052841784
4,4,-2,-5,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0006557680689028778,0.00026594950521586065,-2.604423543416612e-05,0.0002824222284100948,-0.0003409061521735968,0.00020789025804176256
4,4,-2,-4,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0010151753085223824,0.00032924087676955557,-0.00016547459364069317,0.0002759457894230012,-0.0005903249510837516,0.0002068683913154437
4,4,-2,-3,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-9.780871550104875e-05,0.00028707031365200324,-0.000372538796804962,0.00030117719691313507,-0.00023517375615522029,0.00021175723676512698
4,4,-2,-2,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0007040279950327655,0.0002896242255092598,-0.0008902718037981016,0.0003283856677552384,-0.0007971498994185388,0.00022981591410207221
4,4,-2,-1,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0014142031798903098,0.0003053830178152557,-0.0011371260755933777,0.0003072846758232815,-0.0012756646277444217,0.00021172275640011837
4,4,-2,0,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.002301982951713799,0.0003495453942708012,-0.0016331992918634675,0.0002784811641208013,-0.001967591121790846,0.00022862113156203243
4,4,-2,1,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0012630039433376972,0.00027684928439430267,-0.001160741479081433,0.0002906230118801451,-0.0012118727112113482,0.00019952648866091292
4,4,-2,2,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.0008362336820489125,0.0003274300082506439,-0.0011560599849705256,0.0003297953775292473,-0.000996146833512781,0.00024076088502810532
4,4,-2,3,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,-0.000331000894737703,0.00030148082199219715,-0.0005186521561756518,0.0002949971382702409,-0.00042482652546175,0.00021347794708525064
4,4,-2,4,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,0.00021959947597136154,0.00028971986422842057,-0.0003133285066962688,0.0003470509864934086,-4.6864515366655815e-05,0.00023416950829914542
4,4,-2,5,0,100,3,2.579555882554337e-09,5.3071623385838064e-12,0.00020558615715314145,0.0003493089798775813,-2.119697895583972e-06,0.00029864323886474566,0.00010173322962338416,0.00022650993164535397
