model,fit_label,Rmin,Rmax,n_points,n_parameters,covariance_rank,covariance_condition,normal_condition,chi2,dof,chi2_per_dof,p_value,V0,err_V0,sigma,err_sigma,alpha,err_alpha,a_sqrt_sigma,err_a_sqrt_sigma,status
cornell,R1-6,1,6,6,3,6,507.89113657886253,1485.4879052622964,107.67772750674395,3,35.89257583558132,3.467848405864243e-23,0.6740020872459278,0.0032653762916337267,0.08531352513135096,0.0008431538460301165,0.27879734112316157,0.002440601538207607,0.2920847909962978,0.0014433726686354446,ok
cornell,R1-5,1,5,5,3,5,153.75114398144444,1631.2967488165184,68.20978911501642,2,34.10489455750821,1.5432365045084531e-15,0.667207386580348,0.003439831513934852,0.08731019491318359,0.0009010656266161484,0.2740445743539264,0.0025551650776114198,0.2954829858269061,0.0015248274559911575,ok
cornell,R1-4,1,4,4,3,4,61.18282434651901,2049.9089951600217,40.05705430640572,1,40.05705430640572,2.4665239483555597e-10,0.6566200031364358,0.003976686094415241,0.09045275248743845,0.0010782894821098669,0.26652327062442493,0.00292203100265239,0.30075364085483397,0.0017928107168180432,ok
cornell,R2-6,2,6,5,3,5,54.157943508023834,8283.973235166033,4.065238931368635,2,2.0326194656843173,0.13099194245047557,0.7772973976370381,0.010660290121619231,0.06978336424092685,0.0017431801416441157,0.4264953412538385,0.014713862543584005,0.2641654107579697,0.003300518819092413,ok
cornell,R2-5,2,5,4,3,4,16.238874138490644,11209.353848430805,1.76193844797557,1,1.76193844797557,0.18438291459586242,0.7668315257303604,0.012696347051141817,0.07162657807588224,0.0021245486522086052,0.4129032037038156,0.01722518758387687,0.26763142206378204,0.003970347460893317,ok
cornell,R3-6,3,6,4,3,4,17.239257371354498,90101.00782508058,4.043388610049704,1,4.043388610049704,0.044344695156880144,0.7719523905380381,0.037697916324205535,0.07044660957638871,0.0048136105587860125,0.41617918863037673,0.07132351785351174,0.2654178019206487,0.009072325540255059,ok
linear,R3-6,3,6,4,2,4,17.239257371354498,156.39589973804092,38.091670927826165,2,19.045835463913082,5.351786192980806e-09,0.5528057116224123,0.003260070365717824,0.09803022824952962,0.0009079987842987578,,,0.31309779342807514,0.0014500958108513483,ok
linear,R3-5,3,5,3,2,3,5.140502694856006,195.39024332948898,9.065453422687698,1,9.065453422687698,0.0026048393457924254,0.5436268166526477,0.0036784072559335372,0.10073305996301825,0.0010373722246768034,,,0.31738471917062777,0.0016343484246545883,ok
linear,R4-6,4,6,3,2,3,10.569204635003924,673.0228811892553,10.746317431894612,1,10.746317431894612,0.0010448703075252098,0.5890963804878514,0.007667481228606345,0.09009372562161036,0.00176858433841604,,,0.3001561687215679,0.002946866905442999,ok
