R_over_a,aV,err_aV_jackknife,lower_1sigma,upper_1sigma
1.0,0.48051827125411717,0.0002012593314749316,0.48031701192264226,0.4807195305855921
1.0125,0.4850266328012611,0.000203873142573972,0.48482275965868715,0.4852305059438351
1.025,0.48945104453174637,0.00020833196539725188,0.4892427125663491,0.48965937649714364
1.0375,0.4937945407762957,0.0002143281465291421,0.49358021262976653,0.49400886892282486
1.05,0.4980600113736925,0.00022156615109082364,0.4978384452226017,0.4982815775247833
1.0625,0.5022502101703067,0.00022977768078625337,0.5020204324895204,0.5024799878510929
1.075,0.506367762926631,0.00023872905076340178,0.5061290338758676,0.5066064919773944
1.0875,0.5104151746785371,0.00024822273244361215,0.5101669519460935,0.5106633974109808
1.1,0.5143948365966305,0.00025809528695511463,0.5141367413096755,0.5146529318835856
1.1125,0.5183090323831746,0.0002682135040210178,0.5180408188791535,0.5185772458871957
1.125,0.522159944242554,0.00027846996030549435,0.5218814742822485,0.5224384142028594
1.1375,0.5259496584580822,0.00028877869178601997,0.5256608797662962,0.5262384371498682
1.15,0.5296801706051018,0.0002990713137108577,0.5293810992913909,0.5299792419188126
1.1625,0.5333533904277585,0.0003092937035983087,0.5330440967241602,0.5336626841313569
1.175,0.5369711464044894,0.00031940324597265604,0.5366517431585167,0.5372905496504621
1.1875,0.5405351900251657,0.000329366583588471,0.5402058234415772,0.5408645566087542
1.2,0.5440471998009143,0.0003391578012081322,0.5437080419997062,0.5443863576021224
1.2125,0.547508785025908,0.00034875696728719384,0.5471600280586209,0.5478575419931953
1.225,0.5509214893088437,0.0003581489662178823,0.5505633403426258,0.5512796382750615
1.2375,0.5542867938903896,0.00036732256380452754,0.553919471326585,0.5546541164541942
1.25,0.5576061207615872,0.0003762696587682593,0.557229851102819,0.5579823904203555
1.2625,0.5608808355970016,0.00038498468217537456,0.5604958509148262,0.561265820279177
1.275,0.5641122505153324,0.0003934641143969211,0.5637187864009355,0.5645057146297293
1.2875,0.5673016266792128,0.0004017060955190763,0.5668999205836938,0.5677033327747318
1.3,0.5704501767450214,0.0004097101101876177,0.5700404666348338,0.570859886855209
1.3125,0.5735590671727029,0.0004174767318909306,0.5731415904408119,0.5739765439045938
1.325,0.5766294204048459,0.00042500741484793674,0.5762044129899979,0.5770544278196938
1.3375,0.5796623169235684,0.0004323043241471818,0.5792300125994212,0.5800946212477156
1.35,0.582658797193132,0.0004393701967289658,0.582219426996403,0.583098167389861
1.3625,0.5856198634956236,0.00044620822732518,0.5851736552682983,0.5860660717229488
1.375,0.5885464816665088,0.00045282197466404924,0.5880936596918448,0.5889993036411728
1.3875,0.5914395827363715,0.0004592152841892507,0.5909803674521823,0.5918987980205608
1.4,0.5943000644847037,0.0004653922242825919,0.5938346722604212,0.5947654567089863
1.4125,0.5971287929111918,0.00047135703356238095,0.5966574358776294,0.5976001499447542
1.425,0.5999266036295685,0.0004771140772982873,0.5994494895522702,0.6004037177068668
1.4375,0.6026943031887412,0.00048266781134974807,0.6022116353773914,0.6031769710000909
1.45,0.6054326703255856,0.0004880227523328386,0.6049446475732527,0.6059206930779184
1.4625,0.608142457153495,0.0004931834529552859,0.6076492737005398,0.6086356406064503
1.475,0.6108243902904932,0.0004981544816518947,0.6103262358088413,0.6113225447721451
1.4875,0.6134791719304684,0.000502940405805849,0.6129762315246625,0.6139821123362743
1.5,0.6161074808608465,0.0005075457779650625,0.6155999350828815,0.6166150266388116
1.5125000000000002,0.6187099734297994,0.0005119751245670704,0.6181979983052324,0.6192219485543664
1.525,0.6212872844658862,0.0005162329367655275,0.6207710515291207,0.6218035174026517
1.5375,0.6238400281528358,0.0005203236630211388,0.6233197044898147,0.6243603518158569
1.55,0.6263687988619981,0.0005242517031765732,0.6258445471588215,0.6268930505651747
1.5625,0.6288741719448403,0.0005280214037776779,0.6283461505410626,0.629402193348618
1.5750000000000002,0.631356704487703,0.0005316370544439321,0.6308250674332591,0.6318883415421469
1.5875,0.6338169360309008,0.0005351028851225555,0.6332818331457782,0.6343520389160234
1.6,0.6362553892541134,0.0005384230640848292,0.6357169661900286,0.6367938123181982
1.6125,0.6386725706298985,0.0005416016965466994,0.6381309689333517,0.6392141723264452
1.625,0.641068971047043,0.0005446428238146286,0.6405243282232284,0.6416136138708576
1.6375000000000002,0.6434450664053629,0.0005475504228695623,0.6428975159824933,0.6439926168282325
1.65,0.6458013181834681,0.0005503284063198279,0.6452509897771482,0.6463516465897879
1.6625,0.6481381739809121,0.0005529806226586821,0.6475851933582535,0.6486911546035707
1.675,0.650456068036068,0.0005555108567780728,0.64990055717929,0.6510115788928461
1.6875,0.6527554217209869,0.0005579228306900468,0.6521974988902969,0.6533133445516769
1.7000000000000002,0.6550366440144235,0.0005602202044214087,0.6544764238100022,0.6555968642188449
1.7125,0.6573001319541479,0.0005624065770475871,0.6567377253771004,0.6578625385311955
1.725,0.6595462710695885,0.0005644854878381912,0.6589817855817504,0.6601107565574267
1.7375,0.6617754357958017,0.000566460417491208,0.6612089753783105,0.6623418962132929
1.75,0.6639879898696998,0.0005683347894347391,0.663419655080265,0.6645563246591345
1.7625000000000002,0.6661842867094167,0.0005701119711794634,0.6656141747382371,0.6667543986805962
1.775,0.6683646697776467,0.0005717952757068862,0.6677928745019399,0.6689364650533536
1.7875,0.6705294729297356,0.0005733879628812454,0.6699560849668544,0.6711028608926168
1.8,0.6726790207472697,0.0005748932408717838,0.6721041275063979,0.6732539139881415
1.8125,0.6748136288578606,0.0005763142675800944,0.6742373145902805,0.6753899431254407
1.8250000000000002,0.6769336042417876,0.0005776541520598774,0.6763559500897277,0.6775112583938475
1.8375,0.6790392455261258,0.0005789159559261048,0.6784603295701997,0.6796181614820519
1.85,0.681130843266948,0.00058010269474522,0.6805507405722028,0.6817109459616931
1.8625,0.6832086802201635,0.0005812173394025143,0.6826274628807609,0.683789897559566
1.875,0.6852730316015246,0.0005822628174415105,0.6846907687840831,0.6858552944189662
1.8875000000000002,0.6873241653363003,0.0005832420143723667,0.6867409233219279,0.6879074073506726
1.9,0.6893623422990938,0.000584157774946076,0.6887781845241477,0.6899465000740398
1.9125,0.691387816544258,0.0005850129043911273,0.6908028036398668,0.6919728294486491
1.925,0.6934008355273308,0.0005858101696099858,0.6928150253577208,0.6939866456969408
1.9375,0.6954016403179013,0.0005865523003355856,0.6948150880175658,0.6959881926182369
