R,tau,dx,dy,rho_S_pyerrors,err_pyerrors
5,4,-2,0,-0.0018999778461108452,0.0002941644543505297
5,4,-1,0,-0.006754007795792827,0.00034280347561918177
5,4,0,0,-0.010726706269084119,0.00036959355006003917
5,4,1,0,-0.015812366166867653,0.00036074715042421857
5,4,2,0,-0.008713408304714232,0.00031328734186640393
5,4,3,0,-0.009114605004733933,0.00042999112461856434
5,4,4,0,-0.015994553226073238,0.00036392728931138935
5,4,5,0,-0.01044027383926971,0.0003222539086325675
5,4,6,0,-0.005988639300605225,0.00034074506432778875
5,4,7,0,-0.0012570878123581153,0.00033373425053619175
5,6,-2,0,-0.005413654199456497,0.0022782986311769247
5,6,-1,0,-0.004118426832311783,0.002782779868049364
5,6,0,0,-0.00848415726237306,0.0023956455141646
5,6,1,0,-0.018042333208261985,0.002571168804301909
5,6,2,0,-0.010461347129669063,0.0024217821998989294
5,6,3,0,-0.011549830235322522,0.0025540606131955047
5,6,4,0,-0.014652496650975788,0.0023923344656473365
5,6,5,0,-0.01080911156386577,0.00314823611986949
5,6,6,0,-0.005949491794096984,0.0023367461645901846
5,6,7,0,0.000594510596718667,0.0026523436040181976
