model,fit_label,Rmin,Rmax,omitted_cfg,V0,sigma,alpha,a_sqrt_sigma
cornell,R1-6,1,6,29,0.6655644487172316,0.08625937634268156,0.27132020675436314,0.2936994660238278
cornell,R1-6,1,6,30,0.6663543901086362,0.0859327110799574,0.27180332447479594,0.2931428168657001
cornell,R1-6,1,6,31,0.664225170020434,0.08655279655415925,0.27036239022400377,0.29419856653994636
cornell,R1-6,1,6,32,0.6642254566465327,0.08635597635702037,0.2700168001800919,0.2938638738549201
cornell,R1-6,1,6,33,0.6649565783105397,0.0863400953765005,0.2708791978701159,0.2938368516311399
cornell,R1-6,1,6,34,0.6643022780913213,0.08648698075639294,0.2702951677116192,0.29408668918601694
cornell,R1-6,1,6,35,0.6655948009801154,0.08617965048588329,0.27122314335502207,0.29356370771245427
cornell,R1-6,1,6,36,0.6635464357605788,0.08665941661598116,0.269661893206808,0.29437971502123095
cornell,R1-6,1,6,37,0.6660538691843116,0.08616699799125019,0.27172399666707897,0.29354215709374726
cornell,R1-6,1,6,38,0.6635186908323096,0.08674037204561245,0.2697082153638587,0.29451718463548515
cornell,R1-6,1,6,39,0.6644224544015382,0.08655559314014195,0.2704734255335057,0.2942033193900809
cornell,R1-6,1,6,40,0.6637921375081556,0.08677364570160197,0.26999669061404,0.29457366769893395
cornell,R1-6,1,6,41,0.6642567120569765,0.08665762474711591,0.27039102024229444,0.29437667154024943
cornell,R1-6,1,6,42,0.6642456412630409,0.08648944498335764,0.2702951258627964,0.2940908787830008
cornell,R1-6,1,6,43,0.6651756338820204,0.08622637872465869,0.270857798023426,0.2936432848281375
cornell,R1-6,1,6,44,0.6646170389284065,0.0864691961680955,0.2706263909753952,0.2940564506486731
cornell,R1-6,1,6,45,0.6648555883360792,0.08643779479404362,0.27078164155598067,0.2940030523549775
cornell,R1-6,1,6,46,0.6639121442431086,0.08665161898984632,0.2700155232251087,0.2943664705598216
cornell,R1-6,1,6,47,0.6646396706786267,0.08652747323624171,0.2706459649611914,0.2941555255918911
cornell,R1-6,1,6,48,0.6643081676813022,0.08656968313382467,0.2703441524382141,0.2942272644297681
cornell,R1-6,1,6,49,0.6639788955171335,0.08675399169891942,0.2702087540759997,0.2945403057289773
cornell,R1-6,1,6,50,0.6644708729440113,0.08671545566282514,0.2706933468314364,0.29447488120861026
cornell,R1-6,1,6,51,0.6653865149807376,0.08626680850222325,0.2711525317024216,0.2937121184122699
cornell,R1-6,1,6,52,0.6643551095444934,0.08651165596534821,0.2703755769194391,0.294128638465125
cornell,R1-6,1,6,53,0.6643694474690013,0.08657928402708696,0.2703613928090135,0.2942435794152303
cornell,R1-6,1,6,54,0.665808699778396,0.0861640082956419,0.2714119987504658,0.29353706460282303
cornell,R1-6,1,6,55,0.6645706262183603,0.08642678528749587,0.2704727809753912,0.2939843283025404
