R,tau,dx,dy,rho_S_pyerrors,err_pyerrors
6,4,-2,0,-0.001145996724683629,0.00048367842803144837
6,4,-1,0,-0.006087586033374448,0.00045714835643236577
6,4,0,0,-0.010794404390189083,0.0005319178494540716
6,4,1,0,-0.01476176194229728,0.0004919442627407374
6,4,2,0,-0.007636495764453688,0.00045038851713631426
6,4,3,0,-0.006866527550513757,0.0004331569052493829
6,4,4,0,-0.008229416829983238,0.00048122115973141683
6,4,5,0,-0.015636160458087023,0.00047752425484578185
6,4,6,0,-0.01016970547775875,0.00046823722927985555
6,4,7,0,-0.006647192406872282,0.00046523258201339694
6,4,8,0,-0.0009706264604807391,0.0004494996239276395
6,6,-2,0,0.006475745849498393,0.004266035063925564
6,6,-1,0,-0.006960389755892971,0.0045779890666106555
6,6,0,0,-0.010298294860624724,0.004224652270795704
6,6,1,0,-0.011913239151382538,0.003756649410549558
6,6,2,0,-0.011737013837808785,0.004223216888656187
6,6,3,0,-0.011615988915096853,0.004034794077177308
6,6,4,0,-0.01274212041221734,0.004162357029130482
6,6,5,0,-0.01564769966331503,0.004576744317431102
6,6,6,0,-0.016568242675659928,0.0038596876426490634
6,6,7,0,-0.004126745291355816,0.005235656983513995
6,6,8,0,0.005700545120039147,0.004284769633344066
