R,Tmin,Tmax,Npoints,plateau_value,err_plateau_jackknife,err_plateau_GLS,chi2,dof,chi2_per_dof,p_value,covariance_rank,covariance_condition_number,max_weight_magnitude,selected_common_window
1,3,6,4,0.48133817298498477,0.001240213037417179,0.0012402130374171776,1.7626256740364705,3,0.5875418913454902,0.6231015792954606,4,13.751963498829536,0.5198008556693579,False
1,3,7,5,0.48080304991775735,0.0011590454606350707,0.001159045460635079,3.2330670759396485,4,0.8082667689849121,0.5196066617505464,5,32.56540874408756,0.48393064351740367,False
1,4,6,3,0.4824937827526914,0.0020483985228773247,0.002048398522877308,1.2601688111910523,2,0.6300844055955261,0.5325468491758807,3,6.118280897954595,0.5688809631500422,False
1,4,7,4,0.4813726890249931,0.001872552233709478,0.0018725522337094875,3.083053720232245,3,1.0276845734107483,0.3789963458953869,4,14.368473755789177,0.5139068843007236,False
1,5,7,3,0.47964973252639886,0.0028196350158317903,0.0028196350158317513,2.4150400520220554,2,1.2075200260110277,0.2989377186820068,3,8.806437742027683,0.6834545618057654,False
2,1,3,3,0.7175708802190537,0.0011920887234940154,0.0011920887234940652,28.295991301010226,2,14.147995650505113,7.171393595100149e-07,3,8.989959066189916,0.5681287210760565,False
2,1,4,4,0.71683482218846,0.0011691426268193343,0.001169142626819283,38.2954559854204,3,12.765151995140135,2.4473020736394162e-08,4,25.100146026564957,0.5466671366343101,False
2,1,5,5,0.7167351576436788,0.001162986675484259,0.0011629866754841736,38.98734043740495,4,9.746835109351238,7.00852029506616e-08,5,93.09126530035748,0.5433728558428464,False
2,1,6,6,0.7167103417032427,0.001162716939678659,0.0011627169396786542,39.96901719436593,5,7.9938034388731865,1.5150063015363498e-07,6,276.4241773801368,0.544476030573576,False
2,1,7,7,0.7166931054064545,0.001162084968406415,0.001162084968406391,40.171228129112464,6,6.69520468818541,4.215478454302862e-07,7,1298.8965264193089,0.5461355647621677,False
2,2,4,3,0.7068038062735783,0.0021767729177866197,0.002176772917786598,8.450313975414696,2,4.225156987707348,0.01462303889204124,3,9.500529083943833,0.6547494230620275,False
2,2,5,4,0.7067098930780904,0.0021576160555078967,0.002157616055507959,8.556532674060657,3,2.852177558020219,0.03580679404075208,4,35.19283252625932,0.644451383278119,False
2,2,6,5,0.7071382396011326,0.0021442173936352016,0.0021442173936352758,11.739817304957024,4,2.934954326239256,0.019394653514815906,5,103.84162519742067,0.6390035900347474,False
2,2,7,6,0.7073989883797914,0.0021331531530490683,0.0021331531530490635,13.176451106479574,5,2.635290221295915,0.021780163611385482,6,494.8215707077975,0.6425809374069426,False
2,3,5,3,0.6968944896227726,0.003997810473075704,0.00399781047307569,0.05113839857689841,2,0.025569199288449206,0.9747549242846871,3,10.863494690082259,0.6594982040914138,True
2,3,6,4,0.6982363993550778,0.003947141572121879,0.003947141572121813,4.524292303228636,3,1.5080974344095452,0.21013367740245845,4,32.18205117569612,0.6526561472071671,False
2,3,7,5,0.6981737653818354,0.00394660900573536,0.0039466090057352615,5.457466610750407,4,1.3643666526876017,0.24349357427804566,5,151.97318996180547,0.6511346678895165,False
2,4,6,3,0.6999445878843368,0.007210734273942469,0.007210734273942471,4.4441624911171225,2,2.2220812455585612,0.1083833016611836,3,11.328042970887175,0.7301291616197658,False
2,4,7,4,0.6985962605330439,0.0070845885091969886,0.0070845885091970215,5.452309924659239,3,1.8174366415530796,0.14151900002978257,4,53.143911889437334,0.713837398506967,False
2,5,7,3,0.7105900976757157,0.013674380539529206,0.013674380539529206,4.40073843028344,2,2.20036921514172,0.1107622557099201,3,13.847358326593032,0.68917786608889,False
3,1,3,3,0.8571948308811442,0.0022317801500691264,0.002231780150069091,20.724655226449542,2,10.362327613224771,3.160081605357058e-05,3,8.344824491102614,0.5612025961843682,False
3,1,4,4,0.8569032209966954,0.002054757280880186,0.002054757280880215,20.83671983685931,3,6.945573278953103,0.00011382393472782853,4,25.588644377008343,0.5259764013494161,False
3,1,5,5,0.8567764361181999,0.002050992722192485,0.0020509927221925113,21.87670787398365,4,5.469176968495913,0.0002120692470168437,5,163.94198317443272,0.5228338715776314,False
3,1,6,6,0.8569208811743424,0.0020491410192167545,0.0020491410192167736,24.624829921934925,5,4.924965984386985,0.00016460109296909591,6,618.2375950320777,0.5230932167064157,False
3,1,7,7,0.8574454283409086,0.0020376622194784024,0.0020376622194774236,30.490111722811466,6,5.081685287135245,3.171110255981706e-05,7,12748.779441966537,0.5237801231339297,False
3,2,4,3,0.8447290867701456,0.00363349668136445,0.0036334966813645238,4.3328136696810375,2,2.1664068348405188,0.11458861389374013,3,11.169003139129018,0.6769130478052129,False
3,2,5,4,0.8444923280956763,0.003591595950125697,0.003591595950125778,4.517973501656009,3,1.5059911672186697,0.2106926840550782,4,71.56398905433291,0.660477780188651,False
3,2,6,5,0.8445520853574385,0.003591398708467982,0.00359139870846791,7.038418297437905,4,1.7596045743594761,0.13387186909305793,5,269.770464215368,0.6600405594108332,False
3,2,7,6,0.8449364902908066,0.0035876603512352387,0.0035876603512354343,12.544334274253812,5,2.5088668548507624,0.028044355517387116,6,5531.846142457989,0.6616415726587573,False
3,3,5,3,0.8342234859158046,0.0073392715643333046,0.007339271564333306,1.9438680448720058,2,0.9719340224360029,0.3783505915149726,3,19.02712349898844,0.6836042508349524,True
3,3,6,4,0.8355471699850474,0.007300506072362508,0.007300506072362513,5.031239638267018,3,1.6770798794223394,0.16952386476982115,4,72.84318220294301,0.6861853014951477,False
3,3,7,5,0.8345943421781424,0.007287687497715693,0.00728768749771574,9.88622127678431,4,2.4715553191960775,0.04238850908625423,5,1483.068693396794,0.6831589107174839,False
3,4,6,3,0.8499515303156582,0.01396244704593978,0.013962447045939807,3.56648935149107,2,1.783244675745535,0.16809185790757522,3,26.056401910102988,0.8394367242738264,False
3,4,7,4,0.845603664140783,0.013837533757183907,0.013837533757183875,9.010252204430317,3,3.0034174014767725,0.029154887978245232,4,534.0880516861282,0.8342674344899077,False
3,5,7,3,0.7957583199808689,0.033496957037243924,0.03349695703724388,6.340317041776337,2,3.1701585208881684,0.04199693998352326,3,80.69716276298584,0.7750792146802786,False
4,1,3,3,0.9625015612163582,0.0037102218191862163,0.0037102218191861886,19.00539660920559,2,9.502698304602795,7.465012909805087e-05,3,7.870014903965128,0.6122364123011909,False
