R,tau,left_min_dx,left_min_rho,left_min_err,right_min_dx,right_min_rho,right_min_err,midpoint_rho,midpoint_err_diag,source0_rho,source0_err,sourceR_rho,sourceR_err,outer_left_rho,outer_left_err,outer_right_rho,outer_right_err,dip_asymmetry_right_minus_left
4,4,1,-0.0173527760945215,0.0002420833195753,3,-0.0169574302788793,0.0002200790215178,-0.010960638443532,0.0002177627669637,-0.0105484694007781,0.0002127140919591,-0.0102045761771409,0.0001943217015586,-0.0019675911217908,0.000228621131562,-0.0010410812012038,0.0001844583954653,0.00039534581564219795
4,6,1,-0.018024184375186,0.0013644936115979,3,-0.0175703778166895,0.0013274027589184,-0.0100558620660984,0.0012835716923653,-0.010766152815049,0.0013648634090609,-0.0104954274945564,0.0015156910888896,0.0007138476925912,0.0011898155142461,-0.0011695631653654,0.0014665771162504,0.0004538065584965001
5,4,1,-0.0158123655556924,0.0003538203978132,4,-0.0159945522811123,0.000343092171475,-0.00891400744935025,0.00023273143632831055,-0.0107267037010784,0.000362522855324,-0.0104402734217791,0.0003121756998325,-0.0018999774486893,0.000291307650542,-0.0012570861046025,0.0003303260599005,-0.0001821867254198986
5,6,1,-0.0180423731189592,0.0021313693156373,4,-0.0146525058038551,0.0023672912556341,-0.011005624578339101,0.001742726904046187,-0.0084840729761539,0.0023497879994867,-0.010809116408557,0.0022934843588951,-0.0054136998830244,0.0022563246160125,0.0005945113743207,0.0026262844756544,0.0033898673151041003
6,4,1,-0.0147617613197844,0.0004789265135665,5,-0.0156361591553206,0.0004728804891666,-0.0068665281951805,0.0004126899224441,-0.0107944006546166,0.0005267227814153,-0.0101697090137151,0.0004636588359204,-0.0011459986363382,0.0004790410294543,-0.0009706220644023,0.000445134777399,-0.0008743978355362
