]633;E;echo "cfg,T,R,Nsrc,Re,Im";635ec2c7-46c9-44f0-9801-9319e5a385b0]633;Ccfg,T,R,Nsrc,Re,Im
13,4,1,13824,+2.4039851893832620e-08,-1.3914153353662435e-10
13,4,2,13824,+8.9384117774181257e-09,+2.9305516667277136e-10
13,4,3,13824,+4.2526272427718141e-09,-1.0267267230893942e-10
14,1,0,13824,+1.7672501578158731e-07,+0.0000000000000000e+00
14,1,1,13824,+1.0267615642969985e-07,+1.9491397759501910e-11
14,1,2,13824,+7.5271160383155391e-08,+4.1767357212820086e-11
14,1,3,13824,+5.8744124141460821e-08,+4.2124876804036846e-10
14,2,0,13824,+1.7490876641427012e-07,+0.0000000000000000e+00
14,2,1,13824,+6.2442709945118173e-08,-5.5807305740931540e-10
14,2,2,13824,+3.6178368212454729e-08,-6.1475139534387726e-10
14,2,3,13824,+2.4208568525525419e-08,-8.7499490436648628e-10
14,3,0,13824,+1.7365713629289454e-07,+0.0000000000000000e+00
14,3,1,13824,+3.9010917111833225e-08,-3.7632317024590328e-10
14,3,2,13824,+1.7788951146388250e-08,-7.5376289669915953e-10
14,3,3,13824,+1.0425582321367085e-08,-1.8731507673812230e-10
14,4,0,13824,+1.7478601965855854e-07,+0.0000000000000000e+00
14,4,1,13824,+2.4511403139493386e-08,-5.1391973573635730e-10
14,4,2,13824,+8.6403310071532788e-09,-5.7259338377864598e-10
14,4,3,13824,+4.5928402114074176e-09,+3.9424483717176371e-11
15,1,0,13824,+1.7796344562278062e-07,+0.0000000000000000e+00
15,1,1,13824,+1.0297530624092807e-07,-1.4331409572074644e-10
15,1,2,13824,+7.5444797401806784e-08,-6.8687256073963973e-10
15,1,3,13824,+5.9273630416370645e-08,-6.8343766226700188e-10
15,2,0,13824,+1.7877355700114444e-07,+0.0000000000000000e+00
15,2,1,13824,+6.3944564047507141e-08,-1.8414606481962065e-10
15,2,2,13824,+3.7165620514201285e-08,-3.7141040546748423e-10
15,2,3,13824,+2.4187335210617235e-08,-4.8873694293187158e-11
15,3,0,13824,+1.7367222572020270e-07,+0.0000000000000000e+00
15,3,1,13824,+3.8448872453144437e-08,+1.3721064326055773e-11
15,3,2,13824,+1.7777034272544936e-08,-2.9577933993753907e-10
15,3,3,13824,+9.7474383944914125e-09,-4.8826939461456920e-10
15,4,0,13824,+1.7572849936730346e-07,+0.0000000000000000e+00
15,4,1,13824,+2.4103136765875989e-08,+1.4461547360185706e-10
15,4,2,13824,+8.6509852243423499e-09,+9.8162781054525662e-11
15,4,3,13824,+4.3066045402935895e-09,-4.7988751806366193e-11
16,1,0,13824,+1.7803120231147766e-07,+0.0000000000000000e+00
16,1,1,13824,+1.0415101421934961e-07,+6.5535270806605017e-10
16,1,2,13824,+7.7065170993540428e-08,+5.8742938980829777e-10
16,1,3,13824,+6.0934982329092004e-08,+7.0261291403501138e-10
16,2,0,13824,+1.7805645830417889e-07,+0.0000000000000000e+00
16,2,1,13824,+6.4009131962568863e-08,+1.0543030080865052e-11
16,2,2,13824,+3.7951939266835924e-08,+2.2298561725043011e-10
16,2,3,13824,+2.5315595850539521e-08,+3.6395302830494648e-10
16,3,0,13824,+1.7671004669612067e-07,+0.0000000000000000e+00
16,3,1,13824,+3.9125511888696627e-08,+4.2552878569027100e-10
16,3,2,13824,+1.8511823752321307e-08,+3.6963125991630129e-10
16,3,3,13824,+1.0523572901363367e-08,+3.1181706525005605e-10
16,4,0,13824,+1.7485209096698853e-07,+0.0000000000000000e+00
16,4,1,13824,+2.3836943272610022e-08,-2.8866951022626351e-10
16,4,2,13824,+9.1617355286349857e-09,-2.4505702880254215e-10
16,4,3,13824,+5.0742118541408796e-09,+9.8615061769608819e-11
17,1,0,13824,+1.7845102836543885e-07,+0.0000000000000000e+00
17,1,1,13824,+1.0363025944274896e-07,-6.8077075021075006e-10
17,1,2,13824,+7.5852613760709196e-08,-1.0597649176499229e-09
17,1,3,13824,+5.9844698244005966e-08,-1.4238587121963055e-09
17,2,0,13824,+1.7821290686823991e-07,+0.0000000000000000e+00
17,2,1,13824,+6.4151502770829719e-08,-2.9527748042938199e-10
17,2,2,13824,+3.7445697724452916e-08,-6.0909329299704637e-10
17,2,3,13824,+2.6422227531211051e-08,-5.6792405213694738e-10
17,3,0,13824,+1.7563432239480452e-07,+0.0000000000000000e+00
17,3,1,13824,+3.8581902949831542e-08,+2.5257491868117759e-10
17,3,2,13824,+1.7779982450277161e-08,+7.7131992168691397e-11
17,3,3,13824,+1.0581154900816125e-08,+1.2009626830814344e-10
17,4,0,13824,+1.7232780274572672e-07,+0.0000000000000000e+00
17,4,1,13824,+2.3549362478695198e-08,-2.2907774357561089e-10
17,4,2,13824,+8.7774950033535428e-09,-3.2356145163579052e-10
17,4,3,13824,+4.0985048280409804e-09,+1.3867371118079232e-10
18,1,0,13824,+1.7690191171901834e-07,+0.0000000000000000e+00
18,1,1,13824,+1.0234058297711022e-07,-1.8882012064808876e-10
18,1,2,13824,+7.4934061359649909e-08,-1.3070229310577740e-10
18,1,3,13824,+5.8267507927643082e-08,-7.9474191489973450e-11
18,2,0,13824,+1.7512143822812492e-07,+0.0000000000000000e+00
18,2,1,13824,+6.2638445177752572e-08,-6.3473766332444802e-10
18,2,2,13824,+3.6711568156924109e-08,-5.4183466633210787e-10
18,2,3,13824,+2.4404395783728019e-08,-1.1162505151724645e-09
18,3,0,13824,+1.7551471622069369e-07,+0.0000000000000000e+00
18,3,1,13824,+3.8484689436722843e-08,-2.3845398791463081e-10
