cfg,R,Nsrc,Re,Im
1,0,13824,+1.7895493332311580e-07,+0.0000000000000000e+00
1,1,13824,+1.0324741812839347e-07,+6.5697193818478039e-10
1,2,13824,+7.4858580386907227e-08,+1.5169181320364696e-09
1,3,13824,+5.6859390292362228e-08,+1.8003593601629064e-09
2,0,13824,+1.7906749168647608e-07,+0.0000000000000000e+00
2,1,13824,+1.0433453836272854e-07,-3.6273150880832163e-10
2,2,13824,+7.5883024035172408e-08,-5.2175860150277245e-11
2,3,13824,+5.8574539970462584e-08,+2.1102385990610532e-11
3,0,13824,+1.7731309775026423e-07,+0.0000000000000000e+00
3,1,13824,+1.0282469550931366e-07,-2.0943309745021054e-10
3,2,13824,+7.5022427013920400e-08,-2.3317475445996683e-10
3,3,13824,+5.7865377576315870e-08,-3.8820191741058806e-10
4,0,13824,+1.7621817998341567e-07,+0.0000000000000000e+00
4,1,13824,+1.0266929349602462e-07,+2.7546303094400323e-10
4,2,13824,+7.5819314607373749e-08,+1.1177594763387121e-09
4,3,13824,+6.0270861404405051e-08,+1.4688690946267831e-09
5,0,13824,+1.7753792643401236e-07,+0.0000000000000000e+00
5,1,13824,+1.0363241999433577e-07,+1.4597824924045692e-10
5,2,13824,+7.6072274062634721e-08,+6.4647847350067523e-11
5,3,13824,+5.9729878021570237e-08,-2.9392988229263366e-10
