# R/a=5, Ncfg=100, axis-averaged rho_S = <LS>/<L> - <S>
# Errors from pyerrors/Gamma method with correlated ensemble labels
# dx  rhoS_tau4  err4  rhoS_tau6  err6  delta  pull
 -2 -0.00189998 0.00029416 -0.00541365 0.00227830 -0.00351368 -1.530
 -1 -0.00675401 0.00034280 -0.00411843 0.00278278 +0.00263558 +0.940
  0 -0.01072671 0.00036959 -0.00848416 0.00239565 +0.00224255 +0.925
  1 -0.01581237 0.00036075 -0.01804233 0.00257117 -0.00222997 -0.859
  2 -0.00871341 0.00031329 -0.01046135 0.00242178 -0.00174794 -0.716
  3 -0.00911461 0.00042999 -0.01154983 0.00255406 -0.00243523 -0.940
  4 -0.01599455 0.00036393 -0.01465250 0.00239233 +0.00134206 +0.555
  5 -0.01044027 0.00032225 -0.01080911 0.00314824 -0.00036884 -0.117
  6 -0.00598864 0.00034075 -0.00594949 0.00233675 +0.00003915 +0.017
  7 -0.00125709 0.00033373 +0.00059451 0.00265234 +0.00185160 +0.693
