cfg,R,Nsrc,Re,Im
21,1,13824,+1.0178582448276088e-07,+1.5866410646556277e-10
21,2,13824,+7.4065918234483697e-08,+5.2509692112252018e-10
21,3,13824,+5.7621655914394226e-08,+9.7856740179436285e-10
22,0,13824,+1.7887442046072349e-07,+0.0000000000000000e+00
22,1,13824,+1.0362934911387476e-07,+5.7869970809011237e-10
22,2,13824,+7.5743420846426240e-08,+1.2920932957834401e-09
22,3,13824,+5.9697276952061423e-08,+1.7583424609639383e-09
23,0,13824,+1.7596069027005008e-07,+0.0000000000000000e+00
23,1,13824,+1.0227735599289023e-07,-7.2640618573299301e-10
23,2,13824,+7.5841486064215606e-08,-7.8326887485119587e-10
23,3,13824,+5.9960565422878896e-08,-8.3776314057250828e-10
24,0,13824,+1.7667279416424139e-07,+0.0000000000000000e+00
24,1,13824,+1.0250159961915350e-07,+1.3622665270344658e-10
24,2,13824,+7.5060299654017337e-08,+6.4440847390082405e-11
24,3,13824,+5.8468799917051210e-08,-3.1873280394953618e-10
25,0,13824,+1.7755980444794992e-07,+0.0000000000000000e+00
25,1,13824,+1.0400146177134620e-07,-2.1468880890763915e-10
25,2,13824,+7.7446586523980377e-08,-2.2061092443166135e-10
25,3,13824,+6.1277125865534586e-08,-4.9164552775065386e-10
26,0,13824,+1.7708240279256534e-07,+0.0000000000000000e+00
26,1,13824,+1.0357743639527515e-07,-4.1037592842837441e-10
26,2,13824,+7.6377013465045801e-08,-8.4693812197998395e-10
26,3,13824,+5.9949330532337518e-08,-1.1380688813463716e-09
27,0,13824,+1.7734215186136185e-07,+0.0000000000000000e+00
27,1,13824,+1.0333978439743699e-07,+1.0112060909364190e-10
27,2,13824,+7.5889858768721616e-08,+3.8716537288148611e-10
27,3,13824,+5.9075429096069688e-08,+5.1874557812472597e-10
28,0,13824,+1.7780723014247675e-07,+0.0000000000000000e+00
28,1,13824,+1.0340806930430551e-07,-7.2498702083140074e-10
28,2,13824,+7.5746398432782111e-08,-1.6690791256134656e-09
28,3,13824,+5.9311859117207430e-08,-2.2221411599455977e-09
29,0,13824,+1.7586574610546532e-07,+0.0000000000000000e+00
29,1,13824,+1.0262505107466357e-07,+8.5574185765534267e-12
29,2,13824,+7.5770015961543131e-08,-2.2996544742008178e-10
29,3,13824,+5.9898733541977032e-08,-3.2065098539083200e-10
2,0,13824,+1.7906749168647608e-07,+0.0000000000000000e+00
2,1,13824,+1.0433453836272854e-07,-3.6273150880832163e-10
2,2,13824,+7.5883024035172408e-08,-5.2175860150277245e-11
2,3,13824,+5.8574539970462584e-08,+2.1102385990610532e-11
30,0,13824,+1.7890586491422697e-07,+0.0000000000000000e+00
30,1,13824,+1.0405697167735532e-07,-1.9235416198891007e-10
30,2,13824,+7.6429637621274934e-08,+1.0212369658523024e-10
30,3,13824,+6.0396064776989835e-08,-1.7782656278864453e-10
31,0,13824,+1.7790445025500837e-07,+0.0000000000000000e+00
31,1,13824,+1.0287094034680600e-07,-4.0875986915606400e-10
31,2,13824,+7.5407269770744188e-08,-4.6226470354252284e-10
31,3,13824,+5.8805957397324561e-08,-5.6465763154615761e-10
32,0,13824,+1.7765356756883088e-07,+0.0000000000000000e+00
32,1,13824,+1.0306542940899236e-07,-5.7907354248822018e-10
32,2,13824,+7.5223914513353481e-08,-8.3629447367374658e-10
32,3,13824,+5.8532032197154755e-08,-1.0822681590531926e-09
33,0,13824,+1.7853319503266765e-07,+0.0000000000000000e+00
33,1,13824,+1.0365901871090279e-07,-2.2510564027558572e-10
33,2,13824,+7.6625088824469222e-08,+1.9814331163878682e-10
33,3,13824,+6.0782412091331573e-08,+1.1550908304700219e-10
34,0,13824,+1.7829814734177978e-07,+0.0000000000000000e+00
34,1,13824,+1.0440336614908450e-07,+1.0707130699743287e-10
34,2,13824,+7.6602662429137867e-08,+2.1044809779458196e-10
34,3,13824,+6.0553364266992233e-08,-1.5604840639784453e-10
35,0,13824,+1.7504103068912543e-07,+0.0000000000000000e+00
35,1,13824,+1.0098365244010297e-07,+7.2760414548390997e-10
35,2,13824,+7.3802127711332325e-08,+8.6661459440437771e-10
35,3,13824,+5.7455564927782360e-08,+8.9329676545287474e-10
36,0,13824,+1.7689365530832639e-07,+0.0000000000000000e+00
36,1,13824,+1.0243835196585723e-07,+1.5865942407584081e-10
36,2,13824,+7.4087080934905832e-08,+3.6033047826978430e-10
36,3,13824,+5.7444771575058634e-08,+8.5966556720786570e-10
37,0,13824,+1.7806746215507560e-07,+0.0000000000000000e+00
37,1,13824,+1.0243615058380084e-07,+4.1470057148655211e-10
37,2,13824,+7.4672261479369974e-08,+5.3878548557310113e-10
37,3,13824,+5.8656909703443817e-08,+4.4856384005418053e-10
38,0,13824,+1.7715107579068887e-07,+0.0000000000000000e+00
38,1,13824,+1.0272497022878091e-07,-3.0760273450147498e-10
38,2,13824,+7.4999246089457189e-08,-9.4313001427887531e-10
38,3,13824,+5.8106158062029224e-08,-1.2829256283596512e-09
39,0,13824,+1.7537795071918232e-07,+0.0000000000000000e+00
39,1,13824,+1.0019793552617770e-07,+1.7742523672991427e-10
39,2,13824,+7.1663216080805739e-08,+9.4209418269923849e-11
39,3,13824,+5.4756456183139730e-08,+4.9812313986506891e-10
3,0,13824,+1.7731309775026423e-07,+0.0000000000000000e+00
3,1,13824,+1.0282469550931366e-07,-2.0943309745021054e-10
3,2,13824,+7.5022427013920400e-08,-2.3317475445996683e-10
3,3,13824,+5.7865377576315870e-08,-3.8820191741058806e-10
40,0,13824,+1.7561370885166241e-07,+0.0000000000000000e+00
40,1,13824,+1.0148037713964046e-07,-2.8586812252542446e-10
40,2,13824,+7.2949777146504764e-08,-6.2537001018171641e-10
40,3,13824,+5.5676064145348116e-08,-7.9367733410116167e-10
41,0,13824,+1.7907311183601446e-07,+0.0000000000000000e+00
41,1,13824,+1.0340939201351590e-07,-1.0773801443443813e-10
41,2,13824,+7.5734947723127925e-08,-3.2613951634776346e-10
41,3,13824,+5.8913822411241719e-08,-1.5162975208990069e-10
42,0,13824,+1.7885984346942252e-07,+0.0000000000000000e+00
42,1,13824,+1.0309240642560017e-07,-1.1412156213245657e-10
42,2,13824,+7.5777930970591155e-08,+1.0984466461216562e-10
42,3,13824,+5.9440569566819309e-08,+3.1873610315196917e-10
43,0,13824,+1.7857801978901319e-07,+0.0000000000000000e+00
43,1,13824,+1.0252033033486861e-07,-5.5508551654451192e-10
43,2,13824,+7.4273557317147745e-08,-9.0405576910160529e-10
43,3,13824,+5.7347628129695685e-08,-1.8099952404231658e-09
44,0,13824,+1.7899883560898443e-07,+0.0000000000000000e+00
44,1,13824,+1.0294300414860748e-07,-2.6294918531815599e-10
44,2,13824,+7.5165154603245683e-08,+4.1112718225956848e-12
44,3,13824,+5.8872856136458484e-08,+1.8919243012200802e-10
45,0,13824,+1.7639163593749777e-07,+0.0000000000000000e+00
45,1,13824,+1.0178216145244428e-07,+4.5020813972933423e-10
45,2,13824,+7.3635428200609564e-08,+6.9824201510346814e-10
45,3,13824,+5.6558236594773001e-08,+9.2624906559833288e-10
46,0,13824,+1.7604927600207657e-07,+0.0000000000000000e+00
46,1,13824,+1.0212106952269215e-07,+4.3842050735096253e-10
46,2,13824,+7.5189762492086700e-08,+7.1417747329500116e-11
46,3,13824,+5.9546322210727245e-08,+3.3143969468589298e-10
47,0,13824,+1.7726618943838933e-07,+0.0000000000000000e+00
47,1,13824,+1.0315261563774591e-07,+1.5166788620214452e-10
47,2,13824,+7.5647976593713724e-08,-1.8633271654163860e-10
47,3,13824,+5.9131344066606071e-08,-2.8124805154810998e-11
48,0,13824,+1.7662134296862985e-07,+0.0000000000000000e+00
48,1,13824,+1.0157623850539696e-07,-5.9507542908179466e-10
48,2,13824,+7.3094904970430483e-08,-1.0396107003598892e-09
48,3,13824,+5.5982734425456378e-08,-1.8851205306088404e-09
49,0,13824,+1.7711351976191107e-07,+0.0000000000000000e+00
49,1,13824,+1.0305971632738750e-07,-1.7376357047897486e-10
49,2,13824,+7.6187623803566660e-08,-2.3417282943729914e-10
49,3,13824,+5.9745643620647894e-08,-5.2630101214446789e-10
4,0,13824,+1.7621817998341567e-07,+0.0000000000000000e+00
4,1,13824,+1.0266929349602462e-07,+2.7546303094400323e-10
4,2,13824,+7.5819314607373749e-08,+1.1177594763387121e-09
4,3,13824,+6.0270861404405051e-08,+1.4688690946267831e-09
50,0,13824,+1.7738382729821484e-07,+0.0000000000000000e+00
50,1,13824,+1.0315361970078709e-07,-9.0074398189301018e-11
50,2,13824,+7.6204446954322099e-08,-1.1600112412673498e-10
50,3,13824,+6.0145978436836319e-08,-1.8308511304030422e-10
51,0,13824,+1.7605678266780110e-07,+0.0000000000000000e+00
51,1,13824,+1.0217479079034102e-07,-2.1135010033221190e-10
51,2,13824,+7.4372493049755007e-08,-2.6523053899885958e-10
51,3,13824,+5.6998605761445320e-08,-2.2740418167706655e-10
52,0,13824,+1.7762024202415680e-07,+0.0000000000000000e+00
52,1,13824,+1.0222493167581717e-07,+2.0624786449365399e-10
52,2,13824,+7.4383745095338602e-08,+1.6667765988270556e-10
52,3,13824,+5.7941279481026870e-08,+5.3325836072798999e-10
53,0,13824,+1.7528833408424629e-07,+0.0000000000000000e+00
53,1,13824,+1.0203123191758582e-07,-4.1450137263774814e-10
53,2,13824,+7.4412129627286723e-08,-1.0128850984011803e-09
53,3,13824,+5.7033537919199355e-08,-1.3502271362661775e-09
54,0,13824,+1.7738496567159249e-07,+0.0000000000000000e+00
54,1,13824,+1.0230067407964391e-07,-7.8833372534308045e-10
54,2,13824,+7.4120276005050963e-08,-8.0927370343478258e-10
54,3,13824,+5.8217253969626496e-08,-1.1346271537400299e-09
55,0,13824,+1.7706345630212505e-07,+0.0000000000000000e+00
55,1,13824,+1.0320321169512598e-07,-8.6030289674646002e-10
55,2,13824,+7.5657710536483479e-08,-1.4515760729836770e-09
55,3,13824,+5.9087452752703940e-08,-1.3377589665876551e-09
56,0,13824,+1.7881625262706478e-07,+0.0000000000000000e+00
56,1,13824,+1.0317300832041547e-07,-2.6893140143431206e-10
56,2,13824,+7.5532889407432284e-08,-1.2520122367496961e-10
56,3,13824,+5.9067977136024881e-08,-1.5677545207893695e-10
57,0,13824,+1.7713560287221957e-07,+0.0000000000000000e+00
57,1,13824,+1.0212828774654981e-07,+6.0720959934614577e-10
57,2,13824,+7.4232057997317696e-08,+1.1363503781247333e-09
57,3,13824,+5.7426177152963285e-08,+1.1677361035014426e-09
58,0,13824,+1.7705525929447739e-07,+0.0000000000000000e+00
58,1,13824,+1.0346510066497442e-07,+4.7657489464591203e-10
58,2,13824,+7.6993122493025174e-08,+1.0440849048682694e-09
