r,tau,dx,dy,dz,ncfg,naxis,L_Re_mean,L_Re_err,rho_E2_mean,rho_E2_err,rho_B2_mean,rho_B2_err,rho_S_mean,rho_S_err
6,6,-2,-6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.011486785057797875,0.006380061531564011,-0.004664959115139278,0.0061969690655012,-0.0080758720864686,0.004432203574423442
6,6,-2,-5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0018131719091056065,0.005724651021316819,-0.0026874383032224804,0.006778837948308296,-0.0004371331970616499,0.004239254654380068
6,6,-2,-4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0032628261083614252,0.005509196990305239,-0.0023013923550676794,0.006569468983326755,0.0004807168766453751,0.004184733764062399
6,6,-2,-3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.00013146042470542075,0.005771193874700805,0.001853280332729701,0.005746662868413709,0.0008609099540088705,0.004203477557099167
6,6,-2,-2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.004887468305532663,0.006071269267872846,-0.002332409129561639,0.006035787233083047,0.001277529587984274,0.00419473147367899
6,6,-2,-1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.009650227891669734,0.006258600552562259,0.008638237225617693,0.006628231155710968,0.009144232558642426,0.004409396159523954
6,6,-2,0,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.002938372708178749,0.006139678164927659,0.010013301954769446,0.0056535389669511256,0.006475837331475414,0.00414509309866247
6,6,-2,1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.008736961348979524,0.0068619576845382925,-0.014947803726179196,0.0058384317883424805,-0.003105421188604012,0.0046293332827624335
6,6,-2,2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.005263573876993317,0.00669943313828388,-0.01072416532542627,0.006714512401469702,-0.0027302957242181015,0.004455193442117951
6,6,-2,3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.003377381181754262,0.00638979550191139,-0.0013688444713380265,0.005909619327528146,-0.0023731128265501657,0.004254535600891378
6,6,-2,4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.012501896428901746,0.006864887502237848,-0.0039407786009152445,0.0054806123513080965,0.004280558913991839,0.004652723978288811
6,6,-2,5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.006654880584299519,0.005136023631253673,-0.001727775840014414,0.0063659521173500275,0.002463552372139379,0.003886219185720421
6,6,-2,6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0051756556136361345,0.006186632365175385,-0.0019236939686446974,0.006371236486508958,0.001625980822495292,0.004397484988350803
6,6,-1,-6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.004350632835929784,0.005813641681648526,0.001504932763152751,0.005535387526759407,-0.0014228500363905993,0.004377294654972374
6,6,-1,-5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.0013733214456973153,0.006485592664395564,-0.002411862239167144,0.006022712997001328,-0.001892591842434057,0.004574084211989488
6,6,-1,-4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.0018463593614646446,0.006215445022801495,0.0034154574082797496,0.0059960552047870685,0.0007845490234037312,0.004345263561440274
6,6,-1,-3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.002248199089571472,0.005874815960195372,-0.0006602401990391283,0.0051757004003713854,0.0007939794452629423,0.004105099707270296
6,6,-1,-2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.004519968514784773,0.005550805772914562,-0.006893135930921073,0.005412768655531169,-0.0011865837080737185,0.0038118082319469177
6,6,-1,-1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0031135553831342856,0.0061705520857899005,0.001890243009386512,0.00696935851392778,0.0025018991962604,0.0047577624631810105
6,6,-1,0,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.007524670816952428,0.0058375636148679045,-0.006396427641982541,0.006168854314858796,-0.006960549229469735,0.004532294423652492
6,6,-1,1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.010687776243062769,0.005888681785893084,-0.0033403904849377965,0.0059258352378408815,-0.007014083364001477,0.004290564675258641
6,6,-1,2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.004565220715048346,0.005990706849985686,-0.004429623910727487,0.006110056688911355,-0.004497422312890274,0.004081743097879993
6,6,-1,3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0108958712422707,0.006207107252765529,-0.0003450582027516802,0.005357465977704717,0.005275406519755801,0.004059822346194471
6,6,-1,4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.015141686177412515,0.00597674864909665,-0.013969221215701886,0.00630023287142474,0.0005862324808534991,0.004010238860573514
6,6,-1,5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.0019509590855119052,0.004980617231766029,-0.0029527954090229234,0.005894562317980074,-0.002451877247270511,0.0036840243380497676
6,6,-1,6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0013667523371987912,0.005951283177535056,0.003629501129262791,0.0056189955685187875,0.002498126733229786,0.003597576981024658
6,6,0,-6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0023431255275012195,0.0068533500576662965,0.007507285842477138,0.006436909032659879,0.004925205684988303,0.0047760404696222
6,6,0,-5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.007601482688251928,0.006182486495808335,-0.008261384066888346,0.006227721136478488,-0.0003299506893230952,0.003958147117640097
6,6,0,-4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.005429909044465129,0.006238327932737023,-0.0015179088607712643,0.006242971953162651,0.0019560000918433084,0.004342317938056869
6,6,0,-3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.007523521160950504,0.006006769289076999,-0.004389109809853222,0.005668803542489964,0.00156720567554548,0.003805545351530985
6,6,0,-2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.0030478485358157938,0.005494690935397153,0.004366101141570493,0.006205333799048022,0.0006591263028739247,0.0042284111961529884
6,6,0,-1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.02895714159010157,0.006928897317492721,-0.013847880540866189,0.006636406895467163,-0.021402511065486563,0.004549327599177129
6,6,0,0,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.02014434060370502,0.005687577153009673,-0.0004521111930287902,0.0066121666606001675,-0.010298225898366811,0.004143703779963193
6,6,0,1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.014754336736896509,0.005856535317972746,0.0019902072087524636,0.006718861233520672,-0.0063820647640720485,0.004914979599133977
6,6,0,2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.002533089732937397,0.005906491162318635,-0.0010681081604935394,0.006147110487466272,0.0007324907862190178,0.004613389101938643
6,6,0,3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0034353442159563417,0.006451897850311824,0.00166592637849861,0.006297589186337508,0.0025506352972204205,0.004613115039054995
6,6,0,4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.00047527269013572407,0.005935308084250796,-0.0051127693663181465,0.006701220171486695,-0.002318748338094452,0.004250656310054942
6,6,0,5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.00914307417516791,0.005876213837502425,0.012928318965971984,0.006123958047981418,0.0018926223953998433,0.004218026804440114
6,6,0,6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0025148851044125876,0.006327367757373523,0.003164690105581809,0.006541434159118715,0.0028397876049914106,0.004704034766512256
6,6,1,-6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.010392318619237253,0.005774862843415697,0.010491170750407232,0.0065990950722766084,4.942606558242968e-05,0.0046601477219229024
6,6,1,-5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.007837570508931286,0.005606395793777408,-0.01478971822220085,0.00609425863665332,-0.0034760738566381,0.0038904388890237296
6,6,1,-4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.012377077239179897,0.005861448823196774,4.809688129880696e-05,0.006376484187511721,-0.006164490178940356,0.0041987250419701075
6,6,1,-3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0034113709184680507,0.005837613054893178,-0.010881936994723491,0.005515990531451471,-0.0037352830381302215,0.004150725026208518
6,6,1,-2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.0026523216728324694,0.0057462762892920025,0.0015322326036903643,0.006418597339530296,-0.000560044534572417,0.004151957765295031
6,6,1,-1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.007464229267367901,0.006204823549444771,-0.00030447882348295653,0.006213937563133214,-0.0038843540454268875,0.004372283575752381
6,6,1,0,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.018771672896186108,0.005964613201804142,-0.005054552358709472,0.0055031688833544964,-0.011913112627448928,0.003721532567969451
6,6,1,1,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.00138126858030714,0.0062482039044378015,-0.015081830330500985,0.005323810916275607,-0.00823154945540678,0.003944348079914057
6,6,1,2,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.005498428143746268,0.005967790531105678,-0.012322407833017142,0.006754198458872672,-0.008910417988384772,0.00408596277205899
6,6,1,3,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.0018287480737515206,0.006122250639729506,-0.00010434759401899862,0.005145391966706729,0.0008622002398627914,0.0042709992223256684
6,6,1,4,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.01177346708339406,0.005673317277932583,0.003004876571894204,0.005742484719787807,-0.004384295255751243,0.0039028497748544925
6,6,1,5,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,-0.003516487343374861,0.006178163067263949,0.009485151732540515,0.005711985282342566,0.0029843321945801637,0.004463660043682586
6,6,1,6,0,100,3,9.388314580467695e-11,2.2177601113067177e-12,0.006939458438836954,0.006014062767466927,0.00010777383355164538,0.005703270716882705,0.003523616136194403,0.004334842987866814
