basis,basis_profiles,basis_size,radius,tau_ref,effective_time,state,principal_effective_energy,jackknife_error,jackknife_valid,jackknife_total,reference_time_condition_met,max_central_gevp_residual
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,1,6,1,1.072129969566836,0.27438485579591776,100,100,0,8.691695091066625e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,1,6,2,nan,nan,0,100,0,8.691695091066625e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,1,7,1,0.7088493707700603,0.10259444512807758,100,100,0,8.691695091066625e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,1,7,2,nan,nan,0,100,0,8.691695091066625e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,1,0.6960530274086122,0.34595602638643536,100,100,1,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,3,2,-0.72485960816553,nan,96,100,1,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,4,1,0.2674034011381001,0.9078752548984808,100,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,4,2,-0.172036038916608,nan,99,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,5,1,-0.04779747747388687,0.7241484137974784,100,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,5,2,0.7139781073053968,nan,99,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,6,1,1.8575529735443002,1.4398915605407345,100,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,6,2,nan,nan,0,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,7,1,0.6432266661417829,0.6639048964570675,100,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,2,7,2,nan,nan,0,100,0,1.1200305950139377e-21
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,4,1,-0.6620591379304608,nan,96,100,1,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,4,2,0.7574265001519586,nan,95,100,1,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,5,1,-0.10489327179700808,nan,96,100,1,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,5,2,0.7710739016285038,nan,95,100,1,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,6,1,4.270179601576554,nan,96,100,0,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,6,2,nan,nan,0,100,0,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,7,1,-1.4539586835263474,nan,96,100,0,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,2,3,7,2,nan,nan,0,100,0,1.8551047155465982e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,2,1,0.8536336174901071,0.03124238519107314,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,2,2,nan,nan,25,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,3,1,0.8236141045922396,0.030339198173069074,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,3,2,nan,nan,24,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,4,1,0.6576954281819698,0.1504089755198705,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,4,2,-2.055937725103512,nan,98,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,5,1,0.4836224849597135,0.28700551610085634,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,5,2,1.12966417969596,nan,99,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,6,1,1.105166139887611,0.4407341871163762,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,6,2,nan,nan,0,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,7,1,0.024094210927304266,1.230807242417152,100,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,1,7,2,nan,nan,0,100,0,2.069068597691509e-19
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,1,0.8327815430378008,0.16982095033407443,100,100,1,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,3,2,nan,nan,24,100,1,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,4,1,-0.3095079627663471,1.4260134050494289,100,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,4,2,-1.0887343341551925,nan,98,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,5,1,0.5645978852565254,0.35195868011989423,100,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,5,2,1.048688779399148,nan,99,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,6,1,1.929677456619388,1.5250858468056077,100,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,6,2,nan,nan,0,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,7,1,-1.0431084186215713,1.1296498112171014,100,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,2,7,2,nan,nan,0,100,0,1.2331817054802121e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,4,1,nan,nan,25,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,4,2,nan,nan,23,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,5,1,nan,nan,25,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,5,2,nan,nan,24,100,1,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,6,1,nan,nan,25,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,6,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,7,1,nan,nan,25,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,3,3,7,2,nan,nan,0,100,0,0.0
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,2,1,0.9566277948698699,0.017150250689883257,100,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,2,2,nan,nan,1,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,3,1,0.9175640357223837,0.0243717515332992,100,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,3,2,nan,nan,1,100,0,1.0901815784387525e-20
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,1,4,1,0.6839365409679947,0.29435963395416853,100,100,0,1.0901815784387525e-20
