basis,basis_profiles,basis_size,radius,tau_ref,tau_d,effective_time,state,projected_effective_energy,jackknife_error,jackknife_valid,jackknife_total
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,3,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,4,1,0.9424614468690915,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,4,2,-2.4154805573853397,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,5,1,0.9801067278719724,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,5,2,-0.7015816774860485,1.2058989803491904,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,6,1,0.7028766202896134,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,6,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,7,1,1.2625821754995938,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,4,2,3,7,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,1,1,1.101160052166374,1.2937372185050786,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,1,2,2.5183333239340326,1.5597906064250588,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,2,1,1.0376507848055196,0.7828847514893124,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,2,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,3,1,1.0341535503762127,0.5227619928770941,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,3,2,nan,nan,1,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,4,1,1.0478991721824227,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,4,2,-1.3085325321133838,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,5,1,0.8761079894220803,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,5,2,-1.0323968547618467,2.1697715191950326,100,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,6,1,1.1433025134570152,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,6,2,2.1082968920098213,nan,99,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,7,1,3.8592098343387744,nan,64,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,5,2,3,7,2,nan,nan,0,100
sigma001_sigma005,sigma=0.0100|sigma=0.0500,2,6,2,3,1,1,1.2159873941764858,2.2947848600856755,100,100
