profile,sigma,radius,effective_time,effective_energy,jackknife_error,plateau_fit_T3_5,plateau_fit_error,chi2_dof,p_value,z2,shift_from_constant,paired_shift_z
sigma=0.0100,0.0100,1,1,0.6796782709093158,0.34838333669947447,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,2,0.7073320401989976,0.35082139492603615,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,3,0.3290625420753266,0.2021284720866671,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,4,-0.027414047668846864,0.5112677946160773,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,5,0.09678847166650616,0.19485953947267398,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,6,0.8646463473216083,0.8130607165457325,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,1,7,0.8041305880396786,0.5988077048776912,0.19728226600642232,0.1652382192663759,0.6966125013187232,0.4982703382678432,1.120037088643357,-0.2842694458522932,-1.7183199624332457
sigma=0.0100,0.0100,2,1,0.9543517164748188,0.3686336639907219,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,2,0.9295853807023253,0.34714844021616525,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,3,0.5454725446007616,0.20200942982642806,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,4,0.3771160827527762,0.3504372306008969,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,5,0.3520746999071557,0.2938292593669465,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,6,1.6653156745245588,0.9444343536447387,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,2,7,0.4854155653234662,0.7137571203741355,0.5306244038604884,0.18179618003963247,0.29934798434570276,0.7413014032627766,0.8254257627687528,-0.1662700857622842,-0.9118204094650503
sigma=0.0100,0.0100,3,1,1.1246832862632914,0.38086407324808474,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,2,1.1049195013851087,0.34765830452266894,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,3,0.7280901901938247,0.2136467549550854,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,4,0.27823865280493887,0.5314222755479547,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,5,0.4896924724087971,0.26117249003129334,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,6,1.5789057720200916,1.016626810874704,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,3,7,0.09436319484529726,0.9979720147492068,0.6532905776330094,0.18508009173183923,0.39417475588090245,0.6742362191999636,0.9534045322253795,-0.1809329082827945,-0.97555467657196
sigma=0.0100,0.0100,4,1,1.2848219255165867,0.3699883290916442,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
sigma=0.0100,0.0100,4,2,1.208707230715297,0.345872139447599,1.123865717232026,0.23446690040999962,4.256330825010501,0.014174214788520951,0.16783425664469576,0.19953328569325246,0.8549331437578496
